sentence,label,phrase,updated_label,review,comments
"i'm here at this institution becauase in order to do what i want to be when i grow up, i need a college degree.",0,['Planning to become a physical therapist requires a degree or some form of education'],0,,No update; unclear theme alignment.
planning to become a physical therapist requires a degree or some form of education.,1,['Planning to become a physical therapist requires a degree or some form of education'],1,,No update; unclear theme alignment.
that is the main reason i'm here.,0,['Planning to become a physical therapist requires a degree or some form of education'],0,,No update; unclear theme alignment.
another reason why i'm here is because of the college experience.,0,['Planning to become a physical therapist requires a degree or some form of education'],0,,No update; unclear theme alignment.
"after graduating high school there are three paths a person might take: work immediately, enroll into the military, or go back to school.",0,['Planning to become a physical therapist requires a degree or some form of education'],0,,No update; unclear theme alignment.
"so, i chose to go back to school.",0,['Planning to become a physical therapist requires a degree or some form of education'],0,,No update; unclear theme alignment.
i'm bad at math and physics is math.,0,['here to get a kin degree bc I find the subject interesting and I want to help people.'],0,,No update; unclear theme alignment.
here to get a kin degree bc i find the subject interesting and i want to help people.,1,['here to get a kin degree bc I find the subject interesting and I want to help people.'],1,Updated to 1 for clear personal aspiration or specific goal.,
why am i here?,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
i'm here because i want to become a doctor in the near future.,1,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",1,,No update; unclear theme alignment.
i want to save lifes.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",0,,No update; unclear theme alignment.
"i'm the first one in my family to go to college and even though it's taken me longer than i had hoped, i'm almost there.",0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",0,,No update; unclear theme alignment.
i don't want to give up because this is something that i really want to do.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",0,,No update; unclear theme alignment.
i'm here because i have a dream and i will accomplish it.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",0,,No update; unclear theme alignment.
i struggle and don't understand everything right away.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",0,,No update; unclear theme alignment.
it takes me time but i get it eventually.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",0,,No update; unclear theme alignment.
i want to be the first in my family to graduate and become a doctor.,1,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",1,,No update; unclear theme alignment.
that's why i'm here.,0,"[""I'm here because I want to become a doctor in the near future."", 'I want to be the first in my family to graduate and become a doctor.']",0,,No update; unclear theme alignment.
i feel the importance of me being here is to better myself.,0,['My dream is to get my masters and PHD in Psychology'],0,,No update; unclear theme alignment.
over time i actually didn't know if i would end up here but i love to be here.,0,['My dream is to get my masters and PHD in Psychology'],0,,No update; unclear theme alignment.
my dream is to get my masters and phd in psychology and i feel so much closer to that goal then any before.,1,['My dream is to get my masters and PHD in Psychology'],1,,No update; unclear theme alignment.
gives me a clear view of what i want in life.,0,['My dream is to get my masters and PHD in Psychology'],0,,No update; unclear theme alignment.
i don't know if this question is pertaining to why am i here at san francisco state university or why am i here in this class.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
i am going to answer both.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,,No update; unclear theme alignment.
"i am here at san francisco state university because i wanted to be able to be far from home, but not too far.",0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,,No update; unclear theme alignment.
"a one hour airplane trip back home, 7 hour drive.",0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,,No update; unclear theme alignment.
i wanted to experience a different environment and a different culture because not everything done in socal is done in norcal.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,,No update; unclear theme alignment.
i am in college specifically to pursue my one and only career which is to be a veterinarian.,1,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],1,,No update; unclear theme alignment.
getting declined from uc davis because they have a great vet program lead me over here where i can get my degree then try uc davis later.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,,No update; unclear theme alignment.
"i am here to get my degree, network, and to make great friendships.",0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,,No update; unclear theme alignment.
why am i here in this sci 111 course?,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
i am in this course because i am new to physics i never took physics in high school because i was told it can mess up my gpa. hearing that i already knew it would be a challenging course.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,,No update; unclear theme alignment.
i am in the course to get more help with understanding the concept and formulas of physics because the first class was very confusing and my professor teaches very fast.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,,No update; unclear theme alignment.
what i hope to get out of this sci class is a clear understanding of how to solve and physics problem and be confident that i know how to do it.,0,['I am in college specifically to pursue my one and only career which is to be a veterinarian.'],0,,No update; unclear theme alignment.
i am here for many reasons.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
one of the main reasons i am here is to get an education.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
after college i want to go onto medical school to become a neonatal surgeon.,1,['After college i want to go onto medical school to become a neonatal surgeon.'],1,,No update; unclear theme alignment.
i can only achieve this dream if i have an education.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
i personally believe that an education is the key to success.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
having an education opens up doors that you would not be able to access if you didnt have an education.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
being here at san francisco state gives me an opportunity to get an education.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
"secondly, i am here to make friends and experience new things.",0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
san francisco is a really good place to explore new concepts and get to know new people.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
finally i am here to find myself.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
being away from home in a new city has taught me so many things especially about myself.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
i have learned that i am capable of more than i thought i was.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
"i have learned a lot since being here and i cant wait to learn more not only about myself, but about becoming a doctor as well as learning new things in the world.",0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
i am very lucky to be at san francisco state because not everyone is able to get a college education.,0,['After college i want to go onto medical school to become a neonatal surgeon.'],0,,No update; unclear theme alignment.
i am here to learn more about physics.,0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
"i come here to achieve the skills needed to solve physics problems, all sorts.",0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
"i need to be able to remember, comprehend, and manipulate various formulas.",0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
i come here to learn more about concepts that physics has in general.,0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
"i also need physics to get into the medical school i want to get into, but i really enjoy physics and the challenging problems it brings.",0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
i am also here to get my general education done.,0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
"most importantly, i am here because i want to understand more about physics because my grandfather was a physics professor and also taught at uc berkeley.",0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
"i am here to understand measurements, calculations, and various types of problems that specialize in different laws of gravity.",0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
"i am here to build a life for myself and am starting with getting a good grade in physics, and this class will hopefully enable me to do so.",0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
i am here to get a degree.,1,['I am here to get a degree.'],1,,No update; unclear theme alignment.
i am here to enjoy my life in a part of the world that is still somewhat new to me.,0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
i am here because i want to experience adulthood and life on my own.,0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
i am here to start my life.,0,['I am here to get a degree.'],0,,No update; unclear theme alignment.
i am here because i am a first generation college student and i am interested in the medical field.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine'],0,,No update; unclear theme alignment.
i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine'],1,Updated to 1 for clear personal aspiration or specific goal.,
i want to show all the minorities that you can do it too.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine'],0,,No update; unclear theme alignment.
i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine'],0,,No update; unclear theme alignment.
i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine'],0,,No update; unclear theme alignment.
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine'],0,,No update; unclear theme alignment.
"as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field.",0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine'],0,,No update; unclear theme alignment.
becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu.,0,['I am interested in the medical field. Becoming a doctor has been a lifelong dream of mine'],0,,No update; unclear theme alignment.
i am in this sci class in the hopes of getting a really good grade in general physics 1.,0,['I am hoping for an A'],0,,No update; unclear theme alignment.
"i am hoping for an a, and i honestly think it is doable because of all the extra time i am going to be putting in to make sure i understand all the concepts.",1,['I am hoping for an A'],1,,No update; unclear theme alignment.
"it will also prepare me for general physics 2, which will hopefully help me down the road somehow when i am in pharmacy school.",0,['I am hoping for an A'],0,,No update; unclear theme alignment.
"this is my first semester at sfsu, i am a transfer student from southern california (sylmar).",0,['I am hoping for an A'],0,,No update; unclear theme alignment.
i did not know what to expect for my first semester out here so i also decided to enroll in this course for safety measures just to make sure my first semester alone would go by more smoothly..,0,['I am hoping for an A'],0,,No update; unclear theme alignment.
i decided to come to sfsu to spend these last 2 years of my bachelors degree as focused as possible with no distractions to hold me back from reaching my goal.,0,['I am hoping for an A'],0,,No update; unclear theme alignment.
so far the school has been good to me other than the fact that all of my first exams fall on the same week.,0,['I am hoping for an A'],0,,No update; unclear theme alignment.
i plan on applying my full attention in class and going over the worksheets when i am home to further prepare me for my exam.,0,['I am hoping for an A'],0,,No update; unclear theme alignment.
why am i here?,0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]",0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
i'm enrolled in this class so that i have a better understanding of the material taught in my physics class.,0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]",0,,No update; unclear theme alignment.
i'm here to solve practice problems as well as work in groups to help myself as well as the participants in my group.,0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]",0,,No update; unclear theme alignment.
i'm enrolled in the physics lecture class because i want to graduate college and attend medical school.,1,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]",1,,No update; unclear theme alignment.
"in order to get to medical school, i have to take the mcat. on the mcat, there is a whole section dedicated to physics, in order to complete this section, i need to have a deep understanding of physics.",0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]",0,,No update; unclear theme alignment.
"my whole reason for being in college is to go to med school, the classes i take are all classes that i need to complete in order to fulfill my dream of attending ucsf. i want to attend a great medical school so that i can move on to being a trauma surgeon in the future.",0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]",0,,No update; unclear theme alignment.
"so to fully answer the question, ""why am i here"", i would have to say i am ultimately here to learn all of the information i need to know to take do successful on the mcat so that i can attend an amazing medical school so that one day i am able to become an inspiring female trauma surgeon.",0,"[""I'm enrolled in the physics lecture class because I want to graduate college and attend medical school.""]",0,No clear tangible or intrinsic goal.,Lacks specific or intrinsic motivation.
i am here because i want to get a degree.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
i want to go to med school and become a doctor.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
i want to help people and connect to patients.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],1,Updated to 1 for clear personal aspiration or specific goal.,
i want to connect to the individual on a personal level and get to have a better relationship with them.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
"i would love to be able to help people physically and mentally, while being a friend.",0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],1,Updated to 1 for clear personal aspiration or specific goal.,
"i would love to work with elders and get to know them, their stories, and experiences.",0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
i really want to keep learning.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
"i love learning, this is also partly why i want to go to med school.",0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
i want to gain as much education and experience as i can get.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
i would love to become a doctor in the future and do surgery or become a pediatrician.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
i want to also open up my own non profit organization.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
it will be a hospital.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
i am also really interested in the human body and how it works.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
"i want to be a part of the discovery of new things, especially in the med field.",0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
"i want to learn everything about it and how it functions, so i can spread my knowledge to others.",0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
i just really want to make a big impact and leave my mark.,0,['I am here because I want to get a degree. I want to go to med school and become a doctor. I would love to become a doctor in the future and do surgery or become a pediatrician. I want to also open up my own non profit organization.'],0,,No update; unclear theme alignment.
i am here at san francisco state university to prepare myself for the future.,0,['a degree in Cell and Molecular Biology'],0,,No update; unclear theme alignment.
"i want to become knowledgeable about different cultures, different personalities and most importantly different academic subjects that i am not yet completely comfortable with.",0,['a degree in Cell and Molecular Biology'],0,,No update; unclear theme alignment.
i am preparing myself in the best way possible by performing to the best of my abilities in all my courses.,0,['a degree in Cell and Molecular Biology'],0,,No update; unclear theme alignment.
"all my life, from childhood to today, i have proven to myself that pursing a degree in cell and molecular biology is what i am striving for.",1,['a degree in Cell and Molecular Biology'],1,,No update; unclear theme alignment.
a career in the medical field as a cardiothoracic surgeon is what will make me the happiest.,0,['a degree in Cell and Molecular Biology'],0,,No update; unclear theme alignment.
"i am intrigued by this career because i grew up with family who died due to heart conditions, therefore i want to be able to understand and form conclusions on my own that way i can comprehend the cause of their deaths.",0,['a degree in Cell and Molecular Biology'],0,,No update; unclear theme alignment.
"i have learned so much about myself during my time at sfsu, but i can honestly say that i am prepared and excited for what is to come for me and my future.",0,['a degree in Cell and Molecular Biology'],0,,No update; unclear theme alignment.
i am ready to set new expectations for myself and what i want to accomplish for my future.,0,['a degree in Cell and Molecular Biology'],0,,No update; unclear theme alignment.
i want to look back when im older and say that all my late nights and sacrifices have been worth it.,0,['a degree in Cell and Molecular Biology'],0,,No update; unclear theme alignment.
i am here to get my bachelors in biochemistry.,1,"['get my bachelors in Biochemistry', 'pursue medicine']",1,,No update; unclear theme alignment.
"i want to pursue medicine, but i know i have a disadvantage being at a csu, so my plan afterward is to transfer to a uc. my ideal goal is to be a medical examiner forensic pathologist.",0,"['get my bachelors in Biochemistry', 'pursue medicine']",0,,No update; unclear theme alignment.
i'm in stem to have my requirements met for medical school.i'm currently enrolled in chemistry and physics so i'm more excited to take upper division than lower division.,0,"['get my bachelors in Biochemistry', 'pursue medicine']",0,,No update; unclear theme alignment.
"i'm not super soaked about my current science classes, so i'm going to change my major to something i enjoy while getting my prerequisites met.",0,"['get my bachelors in Biochemistry', 'pursue medicine']",0,,No update; unclear theme alignment.
i am here because i always wanted to be involved in the stem field ever since i have been a little kid.,0,['first in my family to be able to go to college and pursue a degree in biology'],1,Updated to 1 for clear personal aspiration or specific goal.,
i was first brought in the stem field when my mother brought me a book about the solar system and the formation of the planets and moons in the solar system.,0,['first in my family to be able to go to college and pursue a degree in biology'],0,,No update; unclear theme alignment.
this sparked a natural curiosity inside of me to pursue this knowledge further.,0,['first in my family to be able to go to college and pursue a degree in biology'],0,,No update; unclear theme alignment.
another reason why i am here is that i would be the first in my family to be able to go to college and pursue a degree in biology.,1,['first in my family to be able to go to college and pursue a degree in biology'],1,,No update; unclear theme alignment.
"also, i am an african american male, and there is not a great representation in the stem fields, and i want to help change that perception.",0,['first in my family to be able to go to college and pursue a degree in biology'],0,,No update; unclear theme alignment.
"eventually, when i attended high school, i was apart of an internship at the california academy of sciences as an education intern who would teach people about the various scientific topics that are discussed here.",0,['first in my family to be able to go to college and pursue a degree in biology'],0,,No update; unclear theme alignment.
"during my time there, i started to get more involved with the many biology departments which allow me to set up mentorships with the researchers to develop a love for biology because i have an interest in learning how biology works for the creation of all things that are living on the planet.",0,['first in my family to be able to go to college and pursue a degree in biology'],0,,No update; unclear theme alignment.
i am here in this world to make an impact.,0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
i am here to make a change in the world.,0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
"i want to make an impact in this world, even if it is a small dent.",0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
my life goal is to go to medical school and become a doctor and eventually do medical research.,1,['go to medical school and become a doctor and eventually do medical research'],1,,No update; unclear theme alignment.
i want to do medical research on miscarriages.,0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
by me being here in school and pursuing a career in the medical field i feel like i can make a huge impact by reducing the numbers of miscarriages and change the statistics of it.,0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
"however, that is not the only medical research i would do, i would love to do more than that, thats why i am here.",0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
"not only am i making an impact on the medical field and women who are pregnant, but i am also changing the stem norms.",0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
"i am here to change the number of women in stem, to change the number of latina women in stem. i am also here to make my parents proud.",0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
i am here to finish what i started and make all the money i invested in worth going to school.,0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
"i am here to be happy, to make an impact, and to make a change during my life span.",0,['go to medical school and become a doctor and eventually do medical research'],0,,No update; unclear theme alignment.
i am taking sci 111 because it is a lower division requirement for my major.,0,['planning on declaring a concentration in zoology by the end of this semester'],0,,No update; unclear theme alignment.
i am majoring in biology and i am planning on declaring a concentration in zoology by the end of this semester.,1,['planning on declaring a concentration in zoology by the end of this semester'],1,,No update; unclear theme alignment.
i am taking this course because i have never taken physics before and i have heard that it is one of the most difficult courses that you take as a biology major.,0,['planning on declaring a concentration in zoology by the end of this semester'],0,,No update; unclear theme alignment.
"i would like to do well in the course and i have heard that the supplemental instruction courses are very helpful and that students who take these courses, on average, do better in the actual class in comparison to students who dont take the sci course.",0,['planning on declaring a concentration in zoology by the end of this semester'],0,,No update; unclear theme alignment.
"overall, i know that physics is a major requirement for a reason.",0,['planning on declaring a concentration in zoology by the end of this semester'],0,,No update; unclear theme alignment.
this means that i am going to need to understand some of the material that i learn in physics for my specific major.,0,['planning on declaring a concentration in zoology by the end of this semester'],0,,No update; unclear theme alignment.
"with that in mind, i am taking this course so that i not only pass my physics class but so that i can better understand the material and how to apply it to everyday situations.",0,['planning on declaring a concentration in zoology by the end of this semester'],0,,No update; unclear theme alignment.
"this course will also benefit me in case i decide to take the second physics course, physics 121, later on.",0,['planning on declaring a concentration in zoology by the end of this semester'],0,,No update; unclear theme alignment.
i am here to obtain a better understanding of basic physics concepts from the physics 111.,0,"['boost my GPA, making myself a more competitive medical school applicant']",0,,No update; unclear theme alignment.
"in doing so, i can get a better grade in my current physics 111 class and boost my gpa, making myself a more competitive medical school applicant.",1,"['boost my GPA, making myself a more competitive medical school applicant']",1,,No update; unclear theme alignment.
"further, with a solid foundation in physics, i can get a higher score on the mcat exam.",0,"['boost my GPA, making myself a more competitive medical school applicant']",0,,No update; unclear theme alignment.
"i hope that through the sci course, i bring my grade in the parent class up to an a. with a strong foundation in physics, i can also hope to be a better physician in the future as i will have a more developed understanding of motion and how the body moves.",0,"['boost my GPA, making myself a more competitive medical school applicant']",0,,No update; unclear theme alignment.
a more comprehensive understanding of kinesiology through physics should prove to be useful throughout med school as well as beyond.,0,"['boost my GPA, making myself a more competitive medical school applicant']",0,,No update; unclear theme alignment.
"mostly, i am in this sci class so that i can get the best mastery of physics 111 topics and raise my gpa. without ever having taken a physics class, i do have some anxiety about the new material and applying complex math to some of the material.",0,"['boost my GPA, making myself a more competitive medical school applicant']",0,,No update; unclear theme alignment.
i am confident that by studying and working with the sci class that i may feel more confident in the topic.,0,"['boost my GPA, making myself a more competitive medical school applicant']",0,,No update; unclear theme alignment.
i am here because i am a first generation student and i want to make my parents proud.,0,['finish college and then go to Medial school and be able to become a OBGYN doctor'],0,,No update; unclear theme alignment.
i am so privileged to be able to be going to college and be able to further my education.,0,['finish college and then go to Medial school and be able to become a OBGYN doctor'],0,,No update; unclear theme alignment.
i want to finish college and then go to medial school and be able to become a obgyn doctor!,1,['finish college and then go to Medial school and be able to become a OBGYN doctor'],1,,No update; unclear theme alignment.
helping woman and being able to help and see the a human be created and form is so amazing to me and i find it super interesting and i am hoping that being able to go to college and doing good in all my classes will help me with my dreams come true.,0,['finish college and then go to Medial school and be able to become a OBGYN doctor'],0,,No update; unclear theme alignment.
i am very lucky to be in such an amazing school and that my parents are able to help me and support me every step of the way.,0,['finish college and then go to Medial school and be able to become a OBGYN doctor'],0,,No update; unclear theme alignment.
