sentence,label,phrase,updated_label
sci allows a welcoming atmosphere where i can be helped by the instructors or my peers and we as a unit are able to solve problems.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
a lot of the time i feel uncomfortable im my regular stem classes because i feel that i may be the only one not understanding.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
i also know that the time allotted for the professors are not enough to begin with.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
"at the sci classes, we usually go over worksheets that answer my questions.",0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
im here because i want to be.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
you so know that the time allotted for the professors are not enough to begin with.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
"at the sci classes, we usually go over worksheets that answer my questions.",0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
im here because i want to be.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
i am here for my parents and my family.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
i am here for my family members who could not make it this far.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
i here to show those family members that they can be here too.,0,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
im here for all the little colored girls who do not have positive figures to look up to in their communities.,1,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.'],0
i am here because i am a first generation college student and i am interested in the medical field.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],0
i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],0
i want to show all the minorities that you can do it too.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],1
i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],0
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],0
"as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field.",0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],0
becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu.,0,['I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.'],0
i am here because i always wanted to be involved in the stem field ever since i have been a little kid.,0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",0
i was first brought in the stem field when my mother brought me a book about the solar system and the formation of the planets and moons in the solar system.,0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",0
this sparked a natural curiosity inside of me to pursue this knowledge further.,0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",0
another reason why i am here is that i would be the first in my family to be able to go to college and pursue a degree in biology.,0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",0
"also, i am an african american male, and there is not a great representation in the stem fields, and i want to help change that perception.",1,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",0
"eventually, when i attended high school, i was apart of an internship at the california academy of sciences as an education intern who would teach people about the various scientific topics that are discussed here.",0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",0
"during my time there, i started to get more involved with the many biology departments which allow me to set up mentorships with the researchers to develop a love for biology because i have an interest in learning how biology works for the creation of all things that are living on the planet.",0,"['I am an African American male, and there is not a great representation in the STEM fields, and I want to help change that perception.']",0
i am here in this world to make an impact.,0,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
i am here to make a change in the world.,0,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
"i want to make an impact in this world, even if it is a small dent.",0,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
my life goal is to go to medical school and become a doctor and eventually do medical research.,0,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
i want to do medical research on miscarriages.,0,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
by me being here in school and pursuing a career in the medical field i feel like i can make a huge impact by reducing the numbers of miscarriages and change the statistics of it.,0,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
"however, that is not the only medical research i would do, i would love to do more than that, thats why i am here.",0,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
"not only am i making an impact on the medical field and women who are pregnant, but i am also changing the stem norms.",1,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
"i am here to change the number of women in stem, to change the number of latina women in stem. i am also here to make my parents proud.",1,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
i am here to finish what i started and make all the money i invested in worth going to school.,0,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
"i am here to be happy, to make an impact, and to make a change during my life span.",0,"['Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms.', 'I am here to change the number of women in STEM, to change the number of Latina women in STEM.']",0
i am here to take this physics class so i can graduate with a degree from san francisco state university.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
i am studying physiology in hopes of going to medical school to become an oncologist.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
ive seen what good and bad doctors have done to people suffering from cancer and i would like to become someone that works in this field and treats their patients with care.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
"my first step to getting there is obtaining my undergraduate degree, which requires for me to past this physics 122 course.",0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
im currently in my fourth year which wont be my last since i will need another year to pass my majors required classes.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
i believe i will succeed in making my goal of becoming a doctor because i havent had anything stop me in the past.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
my parents were immigrants and teen parents so growing up i was at a disadvantage when it came to schools.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],1
living in a low income area of oakland made certain things to comeby.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
it was hard but my parents always prioritized school first for my sister and me.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
through them i was able to learn from school but from myself that i can succeed.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
i feel like i will pass this lab with ease since i was able to pass the previous lab without a problem!,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby.'],0
i am here for a list of reasons.,0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
reasons that pertain only to me and other reasons that pertain to my family or other loved ones.,0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
i am here for myself and for everyone that has supported me throughout my journey at san francisco state.,0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
"firstly, i am here to challenge myself and make myself known in the stem field.",0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
the field where women are appreciated less and less accounted for when compared to their male counterparts.,0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
i am here to prove to myself that i can do anything that i set my mind to do.,0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
"to prove to myself that i am capable of more than is expected of me as a latina, woman of color.",0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
i am here to make my familys sacrifices worth it.,0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",1
"to show them that it is possible for us, the minority, to become leaders, role models and influencers.",1,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
"i am here to gain knowledge about the world, its people and most importantly, its science.",0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
i am here to make friendships and connections.,0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
"to appreciate all the unique backgrounds, cultures and experiences.",0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
"lastly, i am here because i am passionate about my education and i never want to stop learning.",0,"['Firstly, I am here to challenge myself and make myself known in the STEM field. The field where women are appreciated less and less accounted for when compared to their male counterparts.', 'I am here to prove to myself that I can do anything that I set my mind to do. To prove to myself that I am capable of more than is expected of me as a Latina, woman of color.', 'To show them that it is possible for us, the minority, to become leaders, role models and influencers.']",0
why i am here is because i want to fulfill my families dreams and my own dreams of becoming a successful obgyn one day.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
i feel that everyone has a purpose on this earth and my reason here is to have a name for myself.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
i want to inspire others and help them have what i never had.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
and by that i mean learn things i never had someone tell me.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
"one day when i am not on this earth anymore, i want people to remember me for something i did in my life that inspired them.",0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
i have always wanted to help people out.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
i was born in afghanistan in a house during the warzone in 1996.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
you may ask why i was born in a house?,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
"because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth.",0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
they are short in women doctors there and many children die during birth because they are being born at home.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
and my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.,0,"['I was born in Afghanistan in a house during the warzone in 1996. You may ask why I was born in a house? Because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth. They are short in women doctors there and many children die during birth because they are being born at home. And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.']",0
im in college because i know that i can make a change in my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
that everything i do with my life will not only help my family but everyone in my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
i have a drive to do better in a world that constantly belittles my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
im not shy to say it how it is and it will drive me to success.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
the only way that im able to create a better future for my community is by getting a phd and create data dedicated in my community and create policy targeted towards my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
i want to create change and its all about finding ways to make those changes.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
"im in love with research and the beautiful ness of my mexican community, but weve been criminalized and dehumanized, and i want to change that.",0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
im here because i know that this is the start of everything i want to accomplish.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
i know that i still have years until i finish my life academically but i know that i want to do everything to help my community.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
it's funny because ive never been happier than i ever been because of everything ive been doing lately.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
i just know this is what i want to do with my life.,0,"['I have a drive to do better in a world that constantly belittles my community. Im not shy to say it how it is and it will drive me to success.', 'I want to create change and its all about finding ways to make those changes. Im in love with research and the beautiful ness of my Mexican Community, but weve been criminalized and dehumanized, and I want to change that']",0
why am i here?,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']",0
sometimes i ask myself the same thing.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']",0
with school life it really hasn't been fare to me.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']",0
"at 28 years old, i have came across several roadblocks that has directed me to quick.",0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']",0
"but yet, i am still persevering to become the mechanical engineer i am setting out to be.",0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']",0
sometimes i feel that i am too old to be in school especially this semester.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']",0
i see more 18 year olds and it just makes me feel that much older.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']",0
plus the fact that i am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me.,0,"['At 28 years old, I have came across several roadblocks that has directed me to quick. But yet, I am still persevering to become the Mechanical Engineer I am setting out to be. Sometimes I feel that I am too old to be in school especially this semester. I see more 18 year olds and it just makes me feel that much older. Plus the fact that I am trying to graduate before the age of 30 while most of these kids will probably graduate at 2122 sometimes gets the best of me. But to be honest in the back of my mind I know what it has taken me to get to this point. At the end of the day I just know to keep my eyes ok the prize and the rest will come along.']",0
