,sentence,label,phrase,updated_label,comments,review,predicted_label
4642,i am here because i don't think there is anywhere else i want to be at the age of 22.,0,"[""I would say I'm here because this class is required by my major, but I failed this class twice before. I didn't fail because the class is hard. I failed twice because I have bad depression and PTSD. Taking this class and passing it is a goal for me so I prove to myself that I can get better. I'm from Iraq and I lived there until 2013. I come from an abusive family. I am here because I don't think there is anywhere else I want to be at the age of 22. I wish I was a lot ahead by this age but I won't let that bother me too much. I'm here so I can go higher and higher in my college career. Most of all I am here because this school is safe and I have a better opportunity than where I was born so I'll take advantage of that.""]",0,Reviewed; no issues found.,TRUE,0
1880,"i'm also here because i want to learn and meet new people, build bonds so i can have connections in the future.",0,"[""I've always wanted to be a detective and work with computers so i decided to take this path. This class was one of the requirements for my major classes without it i won't be able to reach my goal of a masters.""]",1,"Matches Navigational theme: systemic navigation, temporal markers.",TRUE,0
859,"when i think about why am i here, many questions arise like why am i in this class?",0,['I am currently a junior at San Francisco State and I am taking this course to fulfill my prerequisites to apply for medical school.'],0,Reviewed; no issues found.,TRUE,0
2044,i have an interest in learning physics since i have never been in a setting where i actually took the class and the only prior knowledge i have is from watching the big bang theory and learning from there which is not the best source.,0,"['I am here in this class because I am a Biology major with a concentration in physiology and the requirements for my major is to take this class with Physics 111, and to be eligible to get my bachelors degree. Another main reason why I need the knowledge from this class is in order to take the MCAT I need physics in my academic background. In the career I want to pursue, I have to take the MCAT, which involves a section of physics, to get into medical school to soon become an anesthesiologist.']",0,Reviewed; no issues found.,TRUE,0
2731,i have always been good with my hands.,0,"['One day, a friend approached me about joining a construction trade. I took the job and as soon as I set foot on my first big construction site, I knew there was something there for me. The first three years I was an apprentice, and I learned a lot about my trade. With a lot of hard work and dedication, I was able to master my craft and was given more responsibilities by my superiors. I was made a foreman and had the responsibility of running a project, along with a crew of carpenters. I became fascinated with managing projects and wanted to learn more about it apart from the bluecollar aspect of the job. I quickly realized that if wanted to do this, I was going to have to return to college. I enrolled and spent one year at a junior college and transferred to SFSU. I am now on track to earning a bachelors in civil engineering.']",0,Reviewed; no issues found.,TRUE,0
2230,"this semester though, i feel like i have gotten more used to the idea of everything being online and the fact that i will have to keep myself in check and be more responsible.",0,"['I am at SFSU because I want to get a college education and graduate from a college without having to pay an extreme amount of money for tuition like other colleges have. SFSU is also a college that is relatively close to where I live so I chose to go here in order to be able to stay with my family which is important to me. I would say that I am generally just taking this class because it is required for my major..however, I am specifically taking this lab because I did not pass my lab last semester. I would personally say that after covid started and everything went online last semester I kind of just checked out since I was so used to being in class in person. This semester though, I feel like I have gotten more used to the idea of everything being online and the fact that I will have to keep myself in check and be more responsible.']",0,Reviewed; no issues found.,TRUE,0
1586,"i'm sitting here thinking that when we will go back to normal and able to go to class at campus, and hang out with friends without bring worried about the virus that is going around.",0,['Taking this class because I need to meet SFSU Kin major requirement and also my DPT program requirements. Trying to be successful during this class so that I could take physics 2 and finish my requirements.'],0,Reviewed; no issues found.,TRUE,0
193,i am here to start my life.,0,"['I also need physics to get into the medical school I want to get into', 'I am also here to get my general education done.']",0,Reviewed; no issues found.,TRUE,0
139,"i always knew that i had a strong passion for inspiring and motivating others to do their best, but i never truly had an idea of what career path i wanted to take.",0,"['After taking different classes in community college, I found myself very interested in the Kinesiology field and I remember watching a short clip in class about the different career paths. When the video showed what a day would look like as an occupational therapist, I was truly inspired by her work and how much her patients meant to her. Right away, I did more research on what an OT does and ever since, I continued taking more classes and hope to attend OT grad school after I graduate with a BS in Kinesiology.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",TRUE,0
1903,i'm taking this class because i've never taken a physics class before.,0,['I am also taking this class to fill a requirement for my major.'],0,Reviewed; no issues found.,TRUE,0
2882,i am here because i am lucky enough to have the opportunity to attend a school in a nice city.,0,"['I ended up choosing bio as my major in hopes of gaining a better understanding of the world around me. I also hope to attend medical school and become a doctor. I feel that going through that amount of schooling and gaining all that knowledge will make me pretty satisfied, and I will be able to lead a happy life with the career opportunities that follow.']",0,Reviewed; no issues found.,TRUE,0
448,i want to go into the stem field (specifically computer science) so i can pursue software development.,0,"['Ive always been interested in computers since I was a kid, and I currently love doing mobile app development as a hobby (and hopefully one day a career or job!). Going to school to get a degree and learning the skills necessary to work any related job is what will most likely set me on the path to do what I want in life.']",0,Reviewed; no issues found.,TRUE,0
1542,i am currently trying to finish my civil engineering degree as i live at my mothers house and work a part time job at ucsf. i hope to finish up within the next 23 years as i have to complete 130 units compared to 120 units for any other degree.,1,['I am currently trying to finish my Civil Engineering degree as I live at my mothers house and work a part time job at UCSF. I hope to finish up within the next 23 years as I have to complete 130 units compared to 120 units for any other degree. It has been a long road but I will definitely pay off in the end'],1,Reviewed; no issues found.,TRUE,1
3495,"i hope after taking this course this semester that i at least get something out of it, anything, even as small as knowing a moon phase.",0,"[""I am here today in Astronomy Lab simply because it's general education course I have to fulfill in order to continue on with upper division courses or to even graduate.""]",0,Reviewed; no issues found.,TRUE,0
323,"i think that using this as a class to study the material will make the homework easier and less of a ""chore"" to do.",0,"[""Well I am a recent transfer student coming from Palm Desert Area and decided that I was coming to SFSU late (earlymid august) so I didn't have much time to pick my classes. I am using this as a class to maintain the proper amount of credits to keep my financial aid.""]",0,Reviewed; no issues found.,TRUE,0
1152,i am here because i want to be.,0,"['In terms of taking a physics lab, it is because it counts towards my major which is biology in concentration with physiology.', 'I am here because I have goals and I want to pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor.']",0,Reviewed; no issues found.,TRUE,0
1166,"previously, i was rushed through an 8week physics program and received a decent grade in the end.",0,"['Given that Physics 112 is a undergraduate prerequisite to my intended M.D. program of study, I am required to be in this course. I have graduated undergrad and completed my physics prerequisites already, BUT because I completed them abroad in Europe, the credits are not valid for admission into U.S. M.D. medical schools, therefore I must use this opportunity in my postbac program to revisit these courses and do the best I can before the upcoming application cycles. Previously, I was rushed through an 8week Physics program and received a decent grade in the end. BUT I did not really learn the topic how I should have. Therefor, this revisit of the course allows me to step back and learn the topic better in time for the MCAT where I will need these skills.']",0,Reviewed; no issues found.,TRUE,0
2083,i am taking this class mainly because it is a prerequisite course for the next physic class in the sequence for my biology major.,1,['I am taking this class mainly because it is a prerequisite course for the next physic class in the sequence for my Biology major.'],1,Reviewed; no issues found.,TRUE,1
4485,i am here in this class because bio 230 is the first class in the biology series and it is the foundation to everything we learn from here on out.,0,['I am here in this class because bio 230 is the first class in the biology series and it is the foundation to everything we learn from here on out. A class specifically for studying and really understanding the concepts that are being thrown at us is exactly what I need because if Im going to make it through as a biology major I need to learn everything for comprehension and not just for memorization. Id hate to get into the upper div classes and still genuinely understand what Ive learned and have to continuously struggle to piece together everything. I know biology is largely based on building one concept off of another so by taking sci 230 it will help me make sure that the foundation of everything were learning is not lost on me.'],0,Reviewed; no issues found.,TRUE,0
1959,learning about the world in a lecture can be really boring at times even if you are interested in the subject.,0,"['I am also here because as a part of my major I need to take these courses as they are required.', 'With my degree I plan to get a good career and pay off my loans. Afterwards Ill use my skills and knowledge to find a career that works more for me or that I enjoy more that still can support my financial needs.']",0,Reviewed; no issues found.,TRUE,0
2048,"and these could probably tell why im (enroll) in this class, its to prepare my future self.",0,"['m in this class mostly is because I need to take it as a sideclass for my physics calculus II 230', 'After I have taken the pervious physics classes, I feel now the labs are not that awful as I would expect. Theoretically, it is considered to be the supporting role for me to digest the physics concepts which I learned from 230. I also notice that not every lab is as interesting as checking instagram, but I do want to get out something which can be used whether in the long term future or the upcoming exams for physics.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",TRUE,0
1094,i am here to fulfill a requirement i have in order to continue my path.,0,"['I am here to fulfill a requirement I have in order to continue my path. My end goal is to be a n OBGYN. I counted not fit this into my two year journey at the community college I was in, so I had to complete it after I transferred.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",TRUE,1
2893,first day i attended class i felt even more confused.,0,['This class is a requirement to helping me move forward in my career path. I need this class for support because lecture can get very confusing however if both SCI class and lecture are misleading then I might need to seek outside help.'],0,Reviewed; no issues found.,TRUE,0
4121,i am here to understand the material taught in class better.,0,['I also need some more units after I enroll in all my classes so I think adding this course will help to close the 120 credit gap I need in order to graduate by the end of fall 2020.'],0,Reviewed; no issues found.,TRUE,0
1527,"i am taking this class, and every other class, to expand my mind and gather the mental tools to make sense of the world around me in a rational way.",0,['I am here firstly because this class is a prerequisite for my degree in zoology.'],0,Reviewed; no issues found.,TRUE,0
4900,i am here because i want to be the first one of my family to graduate from college and make them proud.,0,['I am in physics 112 because it is one of the requirements to stay enrolled in physics 111. I have to take these courses because its a requirement for all biology majors.'],0,"Better fits Aspirational, Familial, or Social themes.",FALSE,0
2826,i actually have to take something over the summer to make up for a class i couldn't add.,0,"[""I am at San Francisco State because it was my second choice school and the first choice didn't work out. I am in this class because it is a requirement and prerequisite to future classes and also because I need to know these things for the future. I was on academic probation last semester and didn't know about the hold that was keeping me from adding classes to this semester so I had a late start with the classes I wanted. Also all the other sections for this class I have conflicts so it wouldn't work out. I actually have to take something over the summer to make up for a class I couldn't add.""]",0,Reviewed; no issues found.,TRUE,0
2704,"in addition, i am here to show myself that anything is possible because physics is not an easy subject.",0,['I am here in class on a Tuesday afternoon in terms of taking physics 242 because I need it to graduate. This 3 hour class is a prerequisite for engineering classes. So the first step of achieving that purpose is to actually come to class and pass every class that is required for my electrical engineering degree.'],0,Reviewed; no issues found.,TRUE,0
