sentence,label,phrase,predicted_label
i'm here to move through my degree requirments.,0,"[""But also because physics plays a huge role in our daily lives so I want to be able to have a deeper understanding how it works. I'm excited to learn about physics and finally gain the understanding that I should've gained in high school.""]",0
"besides this class, i am here in sf state to learn and gain enough knowledge for me to apply into a nursing program after i graduate.",1,['I am here in SF State to learn and gain enough knowledge for me to apply into a nursing program after I graduate.'],1
my dad wouldn't let go of the cheap backpacks they gave us with the school logo on it.,0,['I want to be a cardiothoracic surgeon.'],0
"i want to study hard, get a good grade and get in the medical school that i want to get in.",1,"['The reason why I am here (SCI 240) is that I want to learn or understand the topics of BIOL 240 Lecture and Lab classes. After attending the San Francisco State University, I will transfer to Medical School because I want to become a dermatologist. I want to study hard, get a good grade and get in the Medical School that I want to get in. In SCI 240 class, I want to improve my teamwork skills and communication skill. I want to be a better person than yesterdays self and improve every day. I want to be a good person, a good student, a good daughter, and a good future doctor.']",1
i want to one day be able to save hundreds and even thousands of lives and especially travel to third world countries and help out kids who do not have the resources to medicine.,0,"['However, I am here because I have goals and I want to pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor.']",1
"i love the excitement, the knowledge, and the help i would put towards others as a nurse.",0,"['I am here at school because I want to become a nurse, and that requires a license and degree. I am currently a kinesiology major so I can transfer into the nursing program either here or at another school. I feel passionate about helping others that if I could, I would want to be a doctor.']",0
"i often forget about what i cant see, but that could improve through the engineering courses ill be taking in the upcoming semesters.",0,"['I am here to better myself in many different aspects. I hope to really acquire the skill of critical thinking that goes beyond what the naked eye can see. I often forget about what I cant see, but that could improve through the engineering courses Ill be taking in the upcoming semesters. Another aspect I hope to improve is the communicative aspect that is used in the sciences; to be able to attain the rich vocabulary and certainty that comes after much practice and dedication. Ultimately, I hope to get out as much as I can from my education in order to give back in the near future.']",0
"after taking biotechnology, i took chemistry and then biology and i knew that this was something i wanted to do for the rest of my life.",0,"['I chose this major because both biology and chemistry fascinate me, and my career goal is to become a pathologist, a scientist who studies the causes and effects of diseases.']",0
i want to expand my growth because i would like to contribute to the world as my career and help people and the environment in ways such as art and communication.,0,"['For instance, I am here in this class room because I am a college student who wants to get a degree and gain an education. I am here as a college student because I want to utilize my education to help me expand my growth for what I will do for the rest of my life.']",1
this allows me to learn faster.,0,['I am here because I believe that by getting my degree I will be able to better my life and my personal growth by starting a career in civil engineering.'],0
"i am sorry for my unrespect in my last semester phys 222 lab, but because of the thought that no need, i didn't want to spend time on something i already know.",0,"['This semester, I will come to each class and have A at the end of the semester, I need the class to graduate and it is the reason why I am here.']",0
ahries julian physics 102 reflection 1 why am i here?,0,"['I am here attending SFSU to achieve higher education but also to hopefully find a career. One reason that I am taking physics is because I need to for my major courses to graduate and achieve my bachelor of science degree in exercise science and movement science. After getting my bachelor of science degree in kinesiology, I plan to hopefully apply for physical therapy school or occupational therapy school.']",0
i really like physics but its difficult to understand.,0,"['I hope Im able to learn more about flux and etc. I hope Im able to gain more knowledge from these labs', 'I hope labs will also let me apply on a daily basis.']",0
i am here because i am a first generation student and i want to make my parents proud.,0,['I want to finish college and then go to Medial school and be able to become a OBGYN doctor! Helping woman and being able to help and see the a human be created and form is so amazing to me and I find it super interesting and i am hoping that being able to go to college and doing good in all my classes will help me with my dreams come true. I am taking this class for extra help because i want to do really good and I want to be able to understand and pass the class with a good grade and actually understand it so that i can do good in the next physics class that i have to take in the future.'],1
"this class, though, is presenting the material in a clear manner and the instructor is explaining the concepts well.",0,['I decided to major in Biology because I really want to be a medical doctor one day.'],0
"i want to work in an environment that challenges me, and the way that i think about things.",1,"['Finally I want to work in STEM because I want my work to be meaningful. I would like to work in a job where the work I do has a direct impact on what the consumer receives, or building tools that are used internally in the company or even simply doing research that either reinforces concepts previously discovered or further exploring concepts that are still being theorized.']",1
"i dont know where my life and passion for learning will take me, but it is exciting.",0,['I am pursuing medicine because I love to understand how the body works. Now he is getting his PhD in theoretical Chemistry and I am pursuing a future in medicine.'],0
"for example, forces when driving and gravity are used contsantly and we never think about it.",0,['I am here to receive my education.'],0
"for change, i am here to change my life others.",1,"['Make myself proud happy', 'Somewhow I will accomplish that by finding myself learning from others.']",1
"how did i get here?ithink this class will be very informative as it will help me understand the world better, and that will in turn help me better understand who i am.",0,"['I think this class will be very informative as it will help me understand the world better, and that will in turn help me better understand who I am.']",0
"but anyways thats about it for my way, writing from my stream of consciousness is a bit hard cause i'm like what do i even write about?",0,"[""But I'm looking forward to this class and hopefully learn more trippy universe things.""]",0
why am i here?,0,"['I signed up to become a physicist, a career to become a physicist.']",0
"as for my mother, i want her to see that all her sacrifices did not go to waste.",0,"['In order to become a licensed psychologist, I need to graduate from a university first. With a degree in psychology, I plan on becoming a mental health counselor.']",0
"i may not understand the material as of now, but once i learn and practice more problems i am sure i will appreciate everything that was taught to me.",0,"['Now, I know what I want to do and that will drive me to do what I need to do to be able to finish and get a degree. My end goal is to graduate with a degree and make all the money that I have spent for schooling worth it.']",0
"with that said i've always been a fan of math and science, the idea of why things happen in the real world have crossed my mind but i've never really understood enough to explain what i see.",0,['After working in IT for a few years it was inevitable that I return to school and finish my degree if I wanted to proceed further into the field.'],0
what can i do to change the world?,0,['While I am helping the plant with my small contributions I am also studying to become a therapist with my psychology major. I wish to help those with disabilities feel that they too have a purpose and their disability is nothing to be ashamed of.'],0
i want to grow in my knowledge of the world around me and physics is a big part of the world.,1,['I am here in this lab because I want to be an occupational therapist. . I hope that this is easier for me to understand after I take this lab and the lecture that goes with it. I want to grow in my knowledge of the world around me and physics is a big part of the world.'],1
earlier in life i couldn't decide what i wanted to major in but recently computer majors have expanded beyond computer science which was the catch all of the computer degree.,0,['I am her at SFSU to continue my education and graduate with a B.S. in Computer Engineering.'],1
"i believe my purpose in life is to help people, and this is how i want to help people.",0,['I hope to obtain my bachelors degree in abnormal psychology and go on to grad school to get my masters in art therapy in order to become an art therapist for young children.'],1
by working together the group can find solutions that work best and complete projects in a quicker and more efficient amount of time than others.,0,"['I am here because I want to attend school and gain the skills and education needed to live autonomously and successfully. I am here to improve and challenge myself to learn new things and be capable to do things on my own. I am here because I want to get a degree and become a doctor to help people be healthy and happy. I want to become a doctor because I have a personal mission or purpose, which is to help people. Also one of the main reasons is because I want to be the first family member to be a doctor and that would praise a lot about the profession.']",0
i am here in physics 232 lab because i want to learn more about physics and how it works.,1,"['I am here in physics 232 lab because I want to learn more about physics and how it works', 'I am also here in this lab to get a better understanding of the material and to ace this class.']",1
i hope to also network and meet new people because i am new to this school and area and the opportunities that come with networking could be endless.,0,"['I am here because I want to learn and better myself and my mind. I want to be educated and I want my mind to be valued in a way that demands respect and gives me career opportunities in the future. I love biology and I want to use that love for biology and put it to use helping people, which is why I want to become a doctor.']",0
"i come here to achieve the skills needed to solve physics problems, all sorts.",0,['I am here to get a degree.'],0
"luckily, i was able to easily switch to health sciences and i have been pretty content with where i am at so far.",0,"['I am here because I want to receive a quality education around a new group of people and further my academic career as well as personal character development. I would like to use my background in a way that allows me to me travel and connect with many different people from differing cultures and really gain a broader view on life. My current path is to become a Physical Therapist because I enjoy communicating with and helping people and as a PT, I will have many opportunities to travel for work.']",0
i am here in this physics lab so i can fulfill a requirement for my major in biology and move one step closer to getting a degree in biology.,0,"[""I want to get a degree in Biology emphasizing in Marine Biology. I am here in this class also to learn more about Physics because to be honest I feel like I know very little about Physics. I hopefully will figure out more of my purpose at SF State the longer I'm here.""]",1
another reason i am here right now is because of my parents.,0,['A greater essence of why Im here would be because I would like to receive my degree in accounting. I would also like to use the experience Ive gained with that degree to take the CPA a exam and become a CPA Auditor'],0
i am here for my growth and learning so i can be better than i was before this class.,0,"['I think firstly that I had a good time learning physics in high school, so I already had an interest in this so I can also complete my requirements to graduate. I am here for my growth and learning so I can be better than I was before this class.']",1
i am excited to see what i learn and the labs we will work on.,0,['I am here to further my education in science. I want to learn about physics because it is an important factor in my major and in life. I can use the information I gain here in reallife scenarios and maybe even a future job. I also would like to practice my lab work and my work ethic and doing labs each week will help that.'],0
"so far i am confident in my ability, and am keeping up with the class.",0,['I ended up choosing bio as my major in hopes of gaining a better understanding of the world around me. I also hope to attend medical school and become a doctor.'],0
i hope i am here to get a better understanding and not just stress myself out even more.,1,['To be honest physics is a science I struggle with the most and maybe taking this course will help me get a better understanding of what physics is and how you can see physics in your daily life. I hope I am here to get a better understanding and not just stress myself out even more.'],1
i am here because physics is a pre requisite for applying to physical therapy school.,0,"[""Though I need this class for a prereq, I have enjoyed taking physics in the past and I hope to share this positive experience with this class as well. I'm also here at SFSU to pursue a career that I really enjoy, I have worked in a physical therapy clinic for the past year and it's something that I really want to do.""]",1
to graduate in that major i need to take a whole bunch of physics.,0,['I am here because I want a lot of money in my life. To graduate with a degree that will get me a job in the area I like I have to graduate in Biochemistry.'],1
"i want to be able to truly feel like i belong in the stem field and to do that i need to understand the maths that are required for stem. with the support of my teachers and peers, i will come away from this class successfully.",1,"[""Why am I here, I feel I am here to further my understanding of Physics to qualify for my major of Zoology. Aside from that, I'm here in college to better myself for the future and hopefully find a career that not only pays well but also I enjoy a lot. My hopes are to come away from this class with a passing grade and with a better overall understanding of basic physics seeing as this is the first physics class I have taken in my life. I want to be able to truly feel like I belong in the STEM field and to do that I need to understand the maths that are required for STEM.""]",1
"well honestly, i am here because it is part of my pre req requirements to get into dental school.",0,"['Well honestly, I am here because it is part of my pre req requirements to get into dental school.']",1
i am here so that i can get a better grade on my tests and quizzes.,0,['I am here to get a better understanding of Physics 111.'],0
"basically, i am here to learn and be the change i want to see.",0,"[""The reason I am here is because I want to be successful and have an impact on everyone's lives. I want to be a Physician Assistant because I want to be able to be a role model for young black girls like myself. I also want to always expand my mind and keep all my options open. Basically, I am here to learn and be the change I want to see.""]",1
ever since i took physics in high school i became very intrigued by the concepts that exist all around us on earth.,0,['I really hope that this course will help me expand my understanding of physics by introducing new techniques like using calculus to solve problems'],0
in high school i became mesmerized by the cosmos and that is when i decided to achieve a degree in astrophysics.,0,['My career goal is to work at NASA. Maybe interning while I continue to earn a doctorate and study engineering. I want to be at the front lines of space exploration (it is my passion).'],1
i knew i wanted to become a civil engineer out of high school since that was my dads dream and now it is mine.,1,['I knew I wanted to become a civil engineer out of high school since that was my dads dream and now it is mine.'],1
why am i here?,0,['I am trying to graduate before the age of 30'],0
i see it as an opportunity to learn by doing experiments.,0,"['The reason I am here is to do experiments and get a better understanding of Physics. I am an aspiring Engineer and I love doing experiments and get in depth of what is going on behind the scenes or what causes something and why.', 'And last but not least I am really looking forward to do some cool experiments and get a better understanding of Physics.']",0
"physics contains different topics that we have already covered in class and i know some are difficult to understand, i want to be able to feel confident especially when it is time for studying to do the homework and exams.",1,['I want to make sure I can understand the material well enough for me to pass this class by the end of this fall semester.'],1
"would also like to challenge myself as a student.ideally, i am here to graduate and pursue a career in the science field.",1,"['Ideally, I am here to graduate and pursue a career in the science field. I feel like I want to grow as a college student add to my current understanding of chemistry. I am here to be a productive individual and add to my learning experience at San Francisco State University. Overall, Im here to focus on my future and have a positive influence on society.']",1
"this is my last physics lab i need to take, so i am trying to end on a good note.",0,"['By graduating I can pursue my goal of going to medical school, but by that I need to pass all my courses such as this lab course.']",0
i'm taking this class to get a good grade in physics and to understand the material.,0,"[""I'm taking this class to get a good grade in physics and to understand the material.""]",0
"however, the reality is that the field of physics is quite versatile because its a mixture of using our knowledgecommon sense with new information to solve a question.",0,['I am here because I wish to learn more about how the world works in a way.'],0
i want to be able to pass my calculus 2 class and continue on to calculus 3.,1,['I want to be able to pass my Calculus 2 class and continue on to Calculus 3.'],1
i am also attending school because there is an expectation of me to go since i am a first generation.,0,"['I am also here because I chose this road, I wanted to do science and become a botanist.']",0
"i believe that i am here to also make my parents proud and most importantly, to make myself proud.",0,"['Right away, I did more research on what an OT does and ever since, I continued taking more classes and hope to attend OT grad school after I graduate with a BS in Kinesiology. I believe that I am here to also make my parents proud and most importantly, to make myself proud.']",1
i was a teen mom so i spent some years at community college.,0,"[""I've always had big dreams of becoming a doctor, but my life circumstances made it seem impossible at times. I am a Cell and Molecular Biology major with a minor in Women's Health Issues and I am planning to apply to medical schools after graduation. I am hoping to specialize in OBGYN. I really want to make a difference in women's lives and respect their concerns.""]",0
"i want to be a good person, a good student, a good daughter, and a good future doctor.",1,"['The reason why I am here (SCI 240) is that I want to learn or understand the topics of BIOL 240 Lecture and Lab classes. After attending the San Francisco State University, I will transfer to Medical School because I want to become a dermatologist. I want to study hard, get a good grade and get in the Medical School that I want to get in. In SCI 240 class, I want to improve my teamwork skills and communication skill. I want to be a better person than yesterdays self and improve every day. I want to be a good person, a good student, a good daughter, and a good future doctor.']",1
"i want to be in the medical field for animal care, and that is also for a good reason.",1,"['I am a student in university for a reason, that reason being to be able to succeed in my future career and lifestyle. I will definitely fulfill my schooling requirements so hopefully I can be the best I can be in my career. I want to be in the medical field for animal care, and that is also for a good reason.']",1
another reason why i am here is to aim for the best grade i deserve while still understanding the topic instead of copying off someone else or online.,0,['I wanted to take this class because I hope to get a better understanding on majority of the topics being taught in lecture. I hope this class will help me understand more what I am doing in seminars and labs or even in the future. I entered college without knowing what I want to pursue in life and i hope i figure it out soon by taking different general education classes.'],0
why am i here?i'm here to help.,0,"[""I'm here to help. I am here to graduate. The 2 things that are my main motivators.I just hope to graduate in December and then it's time to get ready for grad school.""]",0
the reason why i'm here is because i want to get a good grade on this class.,0,"[""The reason why I'm here is because I want to get a good grade on this class. I truly want an A and the only way I can do that is being on top of work and getting help from people or anyway possible.""]",1
and now i am out of my words.,0,['My only goal is to graduate on time and get a finepaid job after my graduation.'],0
the knowledge gained from going to sfsu is being able to pursue a career as either a physical therapist or occupational therapists.,1,"['I am here because I want to be able to gain a solid education which will eventually get me into the Kinesiology program here at San Francisco State University. The knowledge gained from going to SFSU is being able to pursue a career as either a physical therapist or occupational therapists. I also want to be able to gain the experience as a college student and by doing so, I would need to expand my horizons by connecting with others from different backgrounds and ages. My goal for myself is being able to gain either a Bachelors or Masters degree in Kinesiology. I am here taking this class not only because I need it for my prereqs, but I genuinely need and want to learn about physics, although it is quite difficult. I am here at SFSU to be able to grow and mature and step out of my comfort zone.']",1
i am here at sf state to pursue a degree in biochemistry and become a pharmacist.,1,['I am here at SF State to pursue a degree in Biochemistry and become a pharmacist.'],1
i rather have an idea on how to do something than not knowing what i am doing.,0,['The reason I am taking physics 220 and physics 222 is because I want to advance in my education. I want to receive my bachelor degree in Civil Engineering but in order to do that I have to pass my classes.'],0
the alma journal was onlhy at 182 words.,0,"['I am in this class to help me understand more, and pass Cell bio, so that I may go on to take my upper division electives, and graduate from this school.']",0
physics 112 happens to be one of those requirements and i am happy that i am here as it will take part in the knowledge i will need to know in medical school.,0,['I am here because I want to become an OBGYN or a Dermatologist. Physics 112 happens to be one of those requirements and I am happy that I am here as it will take part in the knowledge I will need to know in medical school. I am very motivated as well as passionate about becoming a doctor because of the lack of attention of medical assistance my community has faced.'],1
"when i become a nurse, id like to help thousands and thousands of people who need the aid.",0,"['I want to learn so that I can have a career I enjoy and help others who need it. Im here to make mistakes and learn from them so that I can grow as a person and become better not only for myself but for others as well. Although mistakes can be seen as a bad thing, I hope I make many so that I can grow from my own mistakes and experiences and help others along the way who may make the same mistakes or need help. When i become a nurse, Id like to help thousands and thousands of people who need the aid.']",1
"however, i am also here to improve myself on both physics knowledge and practical problems solving skills.",0,"['However, I am also here to improve myself on both physics knowledge and practical problems solving skills.']",0
i am here because i want to have an engineering degree.,1,"['I am here because I want to have an engineering degree. It is my goal to help with what I have learned in Pakistan. I want to make things that my family living over there can benefit from. I am studying computer engineering and I want to use that to help my family, and anyone else that might also benefit from whatever is it I can domake for them.']",1
"in terms of this class, i would say i needed the extra unit to complete this ge requirement and so im here in this class now.",0,"['In terms of Sf state, or studying cinema here at sf state, i would say im here because I have a passion for film and I want a college education to help me in my future aspirations.']",0
im here because i want to understand what i am learning about.,1,"['Im here because I want to understand what I am learning about. I want to support to feel confident in what Im doing. Also, discover myself and what I want.']",1
"i was brought to this class through major requirements, however, i initially chose biology as my major because i have future plans to go into the medical field as my career.",0,"['More specifically, I aspire to be a Physician Assistant and hope to get into a graduate program for that once I graduate from SF State. If that doesnt work out, being a Biology major allows for a wide variety of career options such as a different career in the medical field, I could go into research, another option would be a CSI (crime scene investigator), dentistry, veterinary studies, etc. Not only does my major allow me a path to my dream job but also opens several pathways to many other backup plans, either way, this major will hopefully help me succeed in life.']",0
"i hope to get into medical school after sfsu, hoping to become a doctor later on in my life.",1,"['I hope to get into Medical School after SFSU, hoping to become a doctor later on in my life.']",1
i am here because i love science.,0,['However I do hope that I learn a lot about physics because I enjoy learning and gaining new knowledge. I am here because I hope to be successful and pursue my goals in being a scientist especially within the research industry. I am here because I love science.'],0
i am here because i have a goal.,0,"['I am here because I have a goal. This entire journey of premed will one day, with enough work and dedication, will end in me becoming a pediatric surgeon.']",0
i am here because of something greater putting me here to accomplish something that i may not even know about yet.,0,['I am here because I want to find my own aspirations and dreams to find fulfilling meaning to my life.'],0
i am here because i want to do better in my ochem class.,0,['I want to try to get into veterinary school that is why I am in OCHEM.'],1
"back in high school i had fun in biology, and in the cell department actually, so that might be a second option for me.",0,"['My current goal for my life is to be a researcher, and to be honest I really dont know what to yet.']",0
why am i here?,0,"['This is the reason why I want to succeed in physics, to be able to understand the world around me.']",0
it is a bit difficult question to answer.,0,"['Personally, the reason why I am here is that I decided to study physics to do research and business. This is one of the reasons why I pursue becoming scientist and studying physics in this class.']",0
so far in my college career i have managed to get okay grades but still succeed when i am not doing so well in a class.,0,['I am here at San Francisco State to get by Bachelors degree in General Biology. I want to be a veterinarian since I was little and it seems to be the only thing I want to do.'],0
i want to create change and its all about finding ways to make those changes.,1,['The only way that Im able to create a better future for my community is by getting a PhD and create data dedicated in my community and create policy targeted towards my community. I want to create change and its all about finding ways to make those changes.'],1
having a degree will allow me to get a good paying job in the future.,0,['The reason for why I am here is because I need to go get my degree. Having a degree will allow me to get a good paying job in the future.'],0
"coming from the middle east and asia, my parents did not have access to the best education systems.",0,"['I came here to pursue my goals of becoming a doctor of some sort.', 'I chose to go to college to not only fulfill my dreams but my parents dream as well.']",0
the reason being of physics is know how the world functions and works.,0,"['My primary goal is to understand how the universe works and function. I also taking this class because I want to go into graduate school which is a requirement for this class. I want to learn more about the everyday and basic things we do that has to do with physics. . In conclusion, I am here to learn more about physics , how to apply it in my everyday life and understand why the world works the way it is.']",0
that one worker at starbucks who made your coffee this morning might have a sense for obtaining that job.,0,"['Therefore, I must complete and pass this class because I need it to receive my diploma. I also need a certificate to get into dentistry school. Because I always dreamt of becoming a dentist; therefore, this class and all my other classes have a significant impact on my life.']",0
im here to learn and to be on the path towards becoming an optometrist or medical examiner.,1,['Im here to learn and to be on the path towards becoming an optometrist or medical examiner.'],1
so in a sense i enjoy learning about physics because the underlying thought process shares common ground with programming.,0,"['If I were to ask myself, ""why am I taking physics?,"" then perhaps I would be asking myself why I\'d want to pursue a degree in Computer Science. In addition, I also want to learn cool things about machinery.']",0
i have to learn and master what were taught in physics to pass our incredibly difficult class with a somewhat high statistical failure rate.,0,"['To learn because I have to, but also to learn because I want to survive and move forward with newly acquired knowledge.']",0
i also want to travel to thirdworld countries and help those with little to no healthcare access.,0,"['I am here because I want to further advance my education and be the first in my family to graduate college. I am here because I aspire to be a scientist, more specifically an anatomical pathologist that works for the Center for Disease Control.']",0
"why am i here?this is a very broad question, with many possible answers.",0,['I am currently here because I wanted to further my education and study something I actually enjoy which is what I am currently doing. I want to be successful when I am older and have always been told that you first need an education in order to secure a good job in the future.'],0
sfsu will instill the the skills to be accepted and carry out a project in graduate school.,1,['I am at San Francisco State University (SFSU) to obtain a Cell and Molecular Biology Bachelors Major. I aspire to obtain a PhD in Cancer Biology in the future.'],1
hi i'm sam and i am here in general physics class because it is required for my major which is micro biology and i think learning physics would help with what i want to be in the future which is a clinical lab scientist where i'm sure is needing a lot of critical thinking and problem solving.,1,"[""Hi I'm Sam and I am here in General physics class because it is required for my major which is micro biology and I think learning physics would help with what I want to be in the future which is a Clinical Lab Scientist where I'm sure is needing a lot of critical thinking and problem solving.""]",1
but i am also here to better myself as a person.,1,['I am in college to earn my degree. But I am also here to better myself as a person.'],0
i think is class will go hand and hand with my math class because so far we're learning about vectors.,0,['I am here because I wanted to expand my knowledge of physics after already taking a physics class in a pervious semester.'],0
im here because this class is a requirement for my major.,0,['The reason Im majoring in Biochemistry and seeking a higher education is in hopes of attending medical school. Besides hoping to one day become a doctor I also really enjoy learning.'],0
i studied a couple times with people in my class but not enough.,0,['This semester I want to prove to myself that I am smart and capable of passing this class with an A. I want to actually learn the concepts and not come into class everyday confused and lost.'],0
i picked up photography from my dad when i was little and have been taking photos ever sinceits my way of journaling and i find it very therapeutic.,0,"['I am eager to delve into research and development, using my biology, philosophy and risk management professional skills in lifesciences.']",0
i am here in physics lab because it is part of the requirement as a biology major here at sf state.,0,"['More specifically, I aspire to be a Physician Assistant and hope to get into a graduate program for that once I graduate from SF State. If that doesnt work out, being a Biology major allows for a wide variety of career options such as a different career in the medical field, I could go into research, another option would be a CSI (crime scene investigator), dentistry, veterinary studies, etc. Not only does my major allow me a path to my dream job but also opens several pathways to many other backup plans, either way, this major will hopefully help me succeed in life.']",0
"the very few doctors who had helped him and still do help him inspired me as well, they would always tell me they wouldnt chose naother way.",0,['He has pushed me to want to become a doctor and help as many people as I possibly can. He has inspired me to leave and go to college and major in bio so I can fully understand his condition.'],1
"it is for sure going to help with my critical thinking and problem solving, whether it is for math or solving a real life problem.",0,['I am hoping that I am able to do well and succeed in this class so I can take the second part of physics.'],0
i got into stem program because it always interested me and i like knowing how everything connects and work together as a whole since all of these classes connect in a certain way.,0,['I am here to get extra help in passing the course'],0
after taking this course i want to be able to go about my daily live and point out the physics aspect and to be able to understand it correctly.,1,['After taking this course I want to be able to go about my daily live and point out the physics aspect and to be able to understand it correctly. Another reason I am here is to develop critical thinking and problem solving skills used when solving a problem.'],1
