sentence,label,phrase,updated_label,reasoning
i am here to better myself for me and my family.,0,['I am here to set an example for my sisters and other young women in my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here to become stronger mentally more educated.,0,['I am here to set an example for my sisters and other young women in my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here to set an example for my sisters and other young women in my life.,1,['I am here to set an example for my sisters and other young women in my life.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
i was born in mexico and my mom brought me here for a better future so she is who i do it all for.,0,['I am here to set an example for my sisters and other young women in my life.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i am here for many reasons: make myself proud happy getting education is a priveledge, knowledge is power!",0,['To help my community; I want to give back to all who have touched me.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
lowkey school makes me happy.,0,['To help my community; I want to give back to all who have touched me.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
to help my community; i want to give back to all who have touched me.,1,['To help my community; I want to give back to all who have touched me.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
"by going to school teaching this class, i am able to gain perspectives sufficient knowledge to provide a helping hand to all.",0,['To help my community; I want to give back to all who have touched me.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
"for change, i am here to change my life others.",0,['To help my community; I want to give back to all who have touched me.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
somewhow i will accomplish that by finding myself learning from others.,0,['To help my community; I want to give back to all who have touched me.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"for my loved ones these include my family, friends, my lover they all push me to achieve greatness, with their unwavering support, they give me power to stay grounded",0,['To help my community; I want to give back to all who have touched me.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i am here to expand my knowledge of the world around me and to converse with my peers to grow as a person.,0,['to give my students and peers what my SI facilitators have given to me'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i am excited to be here in si because i get to give my students and peers what my si facilitators have given to me: a safe place.,1,['to give my students and peers what my SI facilitators have given to me'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
"a place to learn, to make mistakes, overcome challeneges, and that is safe for them to be themselves and to meet others.",0,['to give my students and peers what my SI facilitators have given to me'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here to learn myself.,0,['to give my students and peers what my SI facilitators have given to me'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
this is a new adventure for me where i will make mistakes and learn from them.,0,['to give my students and peers what my SI facilitators have given to me'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here to learn from my studentspeers and to grow from their feedbackadvice.,0,['to give my students and peers what my SI facilitators have given to me'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i am here because i care about my community and to help empower those around me.,1,"['I am here because I care about my community and to help empower those around me.', ""I want to contribute my knowledge that I've gain since I've been at SF State to those around me.""]",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
i am here in the science community because i feel that my people (of color and being a female) are under represented.,0,"['I am here because I care about my community and to help empower those around me.', ""I want to contribute my knowledge that I've gain since I've been at SF State to those around me.""]",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i want to contribute my knowledge that i've gain since i've been at sf state to those around me and become a role model for my younger cousins back where i'm from.i am also here because i want to gain new perspective from my peers because,1,"['I am here because I care about my community and to help empower those around me.', ""I want to contribute my knowledge that I've gain since I've been at SF State to those around me.""]",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
im in sci to better my understanding of physics.,0,['o'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i took physics in high school and was absolutely in love, but as we all know high school courses are not the same as college courses.",0,['o'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
chemistry has been kicking my butt since i first got to college and with that i was really afraid to start my physics requirements.,0,['o'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"so far into the course, i believe its a lot of visualizing, but chemistry is a lot of visualization as well so i believe im ready.",0,['o'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
ive took sci in the past and realized it is also a really great way to make new connections from which you can form study groups or just friends in general.,0,['o'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
im really hoping to make more of those connections this semester.,0,['o'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
the professors for the sci courses are usually good resources to help find programs as well or to even make the time to stay longer to help you with a problem.,0,['o'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
ive enjoyed all of my sci courses and all in all just college too.,0,['o'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
its been a great experience to see that even helping one student with their work could be very rewarding and i might think of becoming a sci professor in the future as well.,0,['o'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i am here because i am a first generation college student and i am interested in the medical field.,0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i have always had a passion to help people and i believe the medical field is the best way to fulfill my passion.,0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i want to show all the minorities that you can do it too.,0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong.,0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i feel very welcome here at san francisco state and i believe that this is a very friendly and helpful place to learn especially as a premed student with a lot of opportunities that we have available.,0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.,1,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
"as a second year, i can not imagine myself being at no other college and feeling very comfortable like i do here to get to my career path in the medical field.",0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
becoming a doctor has been a lifelong dream of mine and i plan on enjoying my journey with amazing opportunities here at sfsu.,0,['I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here because i want to have a successful future.,0,['I am here because I want to be able to give back to my family and my community.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here because i want to be able to give back to my family and my community.,1,['I am here because I want to be able to give back to my family and my community.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
"most importantly, i am here because of my fiancee, jordan.",0,['I am here because I want to be able to give back to my family and my community.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
we were together for seven years since we were thirteen years old.,0,['I am here because I want to be able to give back to my family and my community.'],0,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
"he was my rock, my best friend, and my biggest supporter.",0,['I am here because I want to be able to give back to my family and my community.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
"jordan passed away unexpectedly this year, on march 2nd, 2019.",0,['I am here because I want to be able to give back to my family and my community.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i took some time off school, and decided to come back the next semester (now) because school was always really important to jordan, and i have been really focused on not letting him down.",0,['I am here because I want to be able to give back to my family and my community.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"this year has been extremely long and challenging so far, and i am just trying to find my way back.",0,['I am here because I want to be able to give back to my family and my community.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"ive been making new friends in my new classes, and creating new study groups in my science classes which has really been a large help for me so far this semester.",0,['I am here because I want to be able to give back to my family and my community.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i have also been looking for science clubs to join in order to meet other people from my major.,0,['I am here because I want to be able to give back to my family and my community.'],1,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"nevertheless, from the day he passed, everything i do and will do will be for him.",0,['I am here because I want to be able to give back to my family and my community.'],1,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"so, im here to complete school and walk across that stage for the both of us.",0,['I am here because I want to be able to give back to my family and my community.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here to take this physics class so i can graduate with a degree from san francisco state university.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am studying physiology in hopes of going to medical school to become an oncologist.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
ive seen what good and bad doctors have done to people suffering from cancer and i would like to become someone that works in this field and treats their patients with care.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"my first step to getting there is obtaining my undergraduate degree, which requires for me to past this physics 122 course.",0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
im currently in my fourth year which wont be my last since i will need another year to pass my majors required classes.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i believe i will succeed in making my goal of becoming a doctor because i havent had anything stop me in the past.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
my parents were immigrants and teen parents so growing up i was at a disadvantage when it came to schools.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
living in a low income area of oakland made certain things to comeby.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
it was hard but my parents always prioritized school first for my sister and me.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
through them i was able to learn from school but from myself that i can succeed.,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i feel like i will pass this lab with ease since i was able to pass the previous lab without a problem!,0,['Ive seen what good and bad doctors have done to people suffering from cancer and I would like to become someone that works in this field and treats their patients with care. My parents were immigrants and teen parents so growing up I was at a disadvantage when it came to schools. Living in a low income area of Oakland made certain things to comeby. It was hard but my parents always prioritized school first for my sister and me. Through them I was able to learn from school but from myself that I can succeed.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
student name phys122 journal reflection 1 why am i here? this is an interesting question.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"in general, i would say that i am here because my parents both decided to emigrate to san francisco; my father came from lima, peru; my mother came from manila, philippines.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
there is a certain pressure put upon many first generation children to thrive for the sake of the family.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
ive been thinking about that a lot these past couple years.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i wonder how this pressure has affected my development, and in what ways (if any) do i plan to fulfill these generational wishes.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"looking back, i would say this pressure to succeed for the family is a big part of why i studied stem in college instead of the regular hobbies i had growing up: literature and music.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
it seemed like the responsible decision to make.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"the alternatives to being a scientist were to be a nurse, doctor, or a bit of a disappointment.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"granted, this sounds like a concerning motivation for education, but i must now tell you that i still felt a sense of agency in this decision.",0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
it was my decision to study microbiology specifically.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i purposely chose not to be a nurse.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
after a couple internships in laboratories i found out just how much i love doing research.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i find it therapeutic to deliberately and thoroughly research a single topic in the lab.,0,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"my long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.",1,"['My long, long term goal is to make a rapid diagnostic test and sell it at cost to a community in need, as a way to give back to the place where my lineages originally came from.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Agreement with human label (1)."
i am here because i want to be.,0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"in terms of taking a physics lab, it is because it counts towards my major which is biology in concentration with physiology.",0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
this is my second semester of physics and do i like it?,0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"not so much, because i did not have the best teacher my first semester and it was quite challenging for me.",0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"however, i am here because i have goals and i want to pursue a career in the medical field hopefully leading my way to becoming a neonatal doctor.",0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i have a passion for babies and i myself when i was born, was born in a car, so i was incubated for about a month because i did not have much oxygen, so it was a scary moment for both my parents.",1,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']",0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
i want to one day be able to save hundreds and even thousands of lives and especially travel to third world countries and help out kids who do not have the resources to medicine.,0,"['I have a passion for babies and I myself when I was born, was born in a car, so I was incubated for about a month because I did not have much oxygen, so it was a scary moment for both my parents']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
why i am here is because i want to fulfill my families dreams and my own dreams of becoming a successful obgyn one day.,0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i feel that everyone has a purpose on this earth and my reason here is to have a name for myself.,0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to inspire others and help them have what i never had.,0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
and by that i mean learn things i never had someone tell me.,0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"one day when i am not on this earth anymore, i want people to remember me for something i did in my life that inspired them.",0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i have always wanted to help people out.,0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
i was born in afghanistan in a house during the warzone in 1996.,0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
you may ask why i was born in a house?,0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"because back then the country was so strict that most husbands would not allow a man see their wives, even if it was during birth.",0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
they are short in women doctors there and many children die during birth because they are being born at home.,0,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
and my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.,1,['And my goal in this life is to one day go back to my country and open an all women clinic for women to be able to give birth there without their husbands thinking otherwise.'],0,The sentence lacks strong elements of social connection or community engagement. Disagreement with human label (1).
i am here because i want to further my education.,0,"['I always visited Mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families. I want to be able to do probono work for families in Mexico, while also being a PA in the US.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i want to be able to continue my passion for learning because i think that it is amazing to have a growth mindset.,0,"['I always visited Mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families. I want to be able to do probono work for families in Mexico, while also being a PA in the US.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
the ability to always learn more than what you did yesterday amazes me.,0,"['I always visited Mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families. I want to be able to do probono work for families in Mexico, while also being a PA in the US.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i do believe knowledge is power and amazing things can be done with the right knowledge.,0,"['I always visited Mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families. I want to be able to do probono work for families in Mexico, while also being a PA in the US.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i am here because i want to eventually get to a place where i can help people.,0,"['I always visited Mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families. I want to be able to do probono work for families in Mexico, while also being a PA in the US.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
"i always visited mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families.",0,"['I always visited Mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families. I want to be able to do probono work for families in Mexico, while also being a PA in the US.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
"i want to be able to do probono work for families in mexico, while also being a pa in the us. that is why i am here, and why i want to learn what i can.",0,"['I always visited Mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families. I want to be able to do probono work for families in Mexico, while also being a PA in the US.']",0,The sentence lacks strong elements of social connection or community engagement. Agreement with human label (0).
i know my father didnt get the opportunity to do so and now i want to be the one to help as much people as i can.,0,"['I always visited Mexico and would see that when trying to access their form of a hospital or emergency room, it was always a struggle for families. I want to be able to do probono work for families in Mexico, while also being a PA in the US.']",1,"The sentence emphasizes social connection, community engagement, or inspiring others, aligning with the Social Plus theme. Disagreement with human label (0)."
