sentence,label,phrase,updated_label,reason
thiis is something that is shitty because i do not want to study cs. it is something my parents want me to study and i and doing so because they are paying for my classes.,1.0,['I am here studying computer science. Thiis is something that is shitty because i do not want to study CS. it is something my parents want me to study and i and doing so because they are paying for my classes.'],1.0,
"my parents have never forced me to do anything i didnt want to do, but always supported the career choices or academic choices i decided on.",1.0,"['I am also here for my family; more specifically my parents, but my entire family has been such a solid support system for me that I need to do this for them too. My parents have never forced me to do anything I didnt want to do, but always supported the career choices or academic choices I decided on.']",1.0,
i'm here because i have a dream and i will accomplish it.,0.0,"[""I'm the first one in my family to go to college""]",0.0,
to have knowledge about the way things work and relate to each other is a powerful skill.,0.0,"['In general, Im in school because I want to make my parents proud and break the generational cycle. I will be rst generation university graduate. I am also a mother of 2 who I want to set a good example for and that hard work does and will pay o.']",0.0,
this is something i plan on doing with my kids.,1.0,['This is something I plan on doing with my kids.'],0.0,Removed familial label because the sentence is purely aspirational or social without mention of family.
every time she would walk up to him at the end of class he would roll his eyes (to be funny) because she always had so many questions.,0.0,"['', 'I am here because my mom took Astronomy when she was in college and she loved it. She told me all about it and how it was so interesting to her.', '']",0.0,
since i was little my dad used to say that whatever you learn at school you should always use it to improve your everyday lives.,1.0,['Since i was little my dad used to say that whatever you learn at school you should always use it to improve your everyday lives.'],1.0,
"i'm here because i want to be able to succeed in the future, i believe that college is a place to be able to open minds and expand on knowledge.",0.0,"[""I am here because of my parents, I wouldn't have graduated in a 4year university if it wasn't for my parents, I originally wanted to start off in community college but now I'm glad that I got that little push to be able to say I graduated in collage 4 years straight out of high school and now able to get a career.""]",0.0,
"i am here as i will be graduating in just a few months and all my family members will be able to see me graduate, virtually or on stage.",0.0,"[""I am here at sfsu making my family proud as I am the first in both sides of my family to go to college. I am here as I am now setting an example fro my younger family members as they will now have someone to look up to. I am here for not only myself, but to make my parents proud as they sacrificed so much for me as I was growing up. I am here to make a difference in my family's life.""]",1.0,Added familial label because family is mentioned in the sentence.
i made a choice to continue my education after high school.,0.0,"['', 'Growing up I helped my mom care for herself as she battled cancer and helping seemed so natural to me. My goal in life is to ensure I live a life my mom would be proud of.', '']",0.0,
i only hope that this class will continue to help me with chem this semester and maybe give me something i havent learned in the past.,0.0,"['Money is hard to come by for me, I dont have a job and Im chewing away from my familys money, I feel guilty every time I ask from them.']",0.0,
im at san francisco state university because i chose to go to college at a place close enough to home for me to be able to commute and still get to explore a new area.,0.0,['I am a first generation college student'],0.0,
the alma journal was onlhy at 182 words.,0.0,"['The reason I go to school is to one day help support my parents, and so that I may have a decent job where I will not have to worry about stability.']",0.0,
some of my goals are to become a brain surgeon or a researcher.,0.0,['I want to be a good role model for my little brother and care for parents in the future.'],0.0,
after graduating i'd like to go to dental school and eventually open up my own practice.,0.0,"['', ""I'm here cause my parents brought me here. Which I want to eventually repay them for everything they've done for me. They want me to have a better life than they did in which I appreciate them so much. This is why I want to be able to get a good stable job to be able to support my family since they're getting old."", '']",0.0,
"so, im here to complete school and walk across that stage for the both of us.",0.0,"['I am here because I want to be able to give back to my family and my community. Most importantly, I am here because of my fiancee, Jordan. We were together for seven years since we were thirteen years old. He was my rock, my best friend, and my biggest supporter. Jordan passed away unexpectedly this year, on March 2nd, 2019. I took some time off school, and decided to come back the next semester (now) because school was always really important to Jordan, and i have been really focused on not letting him down.']",0.0,
i hope the parallel universe me is doing well.,0.0,"['I would want to grow in my own career and never get lost in it and forget my roots nor family.', ""I want to have children relatively young not older than 25 because my mom was a young mom. I know she'll get to meet my children and maybe even her great grandchildren. I would want that for myself as well."", 'I just want to be here for my loved ones and be able to do what I love and to not have any stress or worry in the world.']",0.0,
it is my first semester in my major as a third year.,0.0,"['I am here to work towards my goals and for myself, for my future self, for my family and for my future family.']",0.0,
"with a degree in psychology, i plan on becoming a mental health counselor.",0.0,"['As for my mother, I want her to see that all her sacrifices did not go to waste.']",0.0,
"why am i here in general i would say to pursue a career in medicine, i am a first generation college student and i want to make my family proud and let them know that their struggles were not for nothing.",1.0,"['Why am I here in general I would say to pursue a career in medicine, I am a first generation college student and I want to make my family proud and let them know that their struggles were not for nothing. With the advantage I am at with the support of my family I intend to provide care and give medical relief to those without access to the care and resources everyone deserves.']",1.0,
why am i here? is such a complex question to answer.,0.0,['my parents came to this country to give their future children a better life than the one they had in Mexico.'],0.0,
this is why i want to be able to get a good stable job to be able to support my family since they're getting old.,1.0,"['', ""I'm here cause my parents brought me here. Which I want to eventually repay them for everything they've done for me. They want me to have a better life than they did in which I appreciate them so much. This is why I want to be able to get a good stable job to be able to support my family since they're getting old."", '']",1.0,
i was always fascinated by how everything works and having my uncle also be an engineer gave me lots of exposure to the field.,1.0,['I was always fascinated by how everything works and having my uncle also be an engineer gave me lots of exposure to the field. My uncle worked as an electrical engineer and when he visited us he would let me work with him.'],0.0,Removed familial label because the sentence is purely aspirational or social without mention of family.
i am here because i have goals that i want to achieve.,0.0,['I was born in Mexico and my mom brought me here for a better future so she is who I do it all for.'],0.0,
my parents have pushed me to go into college and so that was my goal.,1.0,['My parents have pushed me to go into college and so that was my goal.'],1.0,
i almost attended a city college after graduating high school but my mom preferred me to attend school elsewhere.,0.0,"['I almost attended a city college after graduating high school but my mom preferred me to attend school elsewhere. Im honestly glad she did, I feel as though Ive gained more confidence and Ive found that I like being independent']",1.0,Added familial label because family is mentioned in the sentence.
reflecting back its crazy to think that i am living in san francisco and going to school at sf state.,0.0,"['', 'My parents have sacrificed so much to get me to where I am today. Therefore, my education and gradutating college, is not only my goal and dream, but it is also theirs.', '']",0.0,
"i am here in class because it requires for my degree and prerequisite; i am also here because ive wanted to be surrounded with the diverse group of people, to collaborate, have fun while studying.",0.0,['Having a degree will have more opportunity such as better job offers in order to support the family needs'],0.0,
then i wondered why i like cars so much and realized that three of my uncles and my grandpa were engineers.,1.0,"['Then I wondered why I like cars so much and realized that three of my uncles and my grandpa were engineers. It made me remember when I would help my uncle work on his car, or see my grandpa work on fixing things or creating things like his solar cooker.']",0.0,Removed familial label because the sentence is purely aspirational or social without mention of family.
it sounds clich but it really is the truth.,0.0,"['', 'I am here however not solely by my own merit but my family\'s as well. I am only able to be ""here"" because of them. It sounds clich but it really is the truth. It isn\'t just due to the fact that they\'re helping me financially, which of course I am exponentially grateful for, but its more than that. They taught me the value of hard work and perseverance, that not everything comes easily that failing is inevitable but you can always try again. That is the reason as to ""why I am here""... because honestly, I wouldn\'t be here if it wasn\'t for them.', '']",0.0,
"i must continue to work hard to finally reach my goal, and to begin my career helping people.",0.0,"['', 'My parents have sacrificed so much to get me to where I am today. Therefore, my education and gradutating college, is not only my goal and dream, but it is also theirs.', '']",0.0,
i am in this class in order to fulfill a prerequisite for physical therapy school because that is the career i would like to go into.,0.0,"['At a very young age my parents taught me the importance of knowledge and good education. Since I am a first generation American, my parents believed that with a good education, my sister and I could have a better life and more opportunities.']",0.0,
i want to finally start my major classes.,0.0,['I want to be able to help my family out with paying bills and stuff.'],0.0,
after she left i was very depressed and didnt do very well in some of my classes.,0.0,"['At that point, I decided that I wanted to transfer schools back to California, where my parents were, so I could be closer to home.']",0.0,
i could not let that sacrifice be for nothing.,0.0,['I chose to go to college to not only fulfill my dreams but my parents dream as well. All they did was sacrifice everything to have better opportunities for their children. I could not let that sacrifice be for nothing.'],0.0,
"i was thinking about studying abroad in the united states, so i will be able to learn latest technologies about mechanics and also it. the reason of why i chose san francisco, not la, nyc...etc, is san francisco is one of the biggest cityarea about high technologies.",0.0,"['When I was young, I was really into the car because my parents worked for Ford Automotive, and my father especially loves cars. I was inspired from him']",0.0,
"i chose this major so i can accomplish my goal of being able to support my parents in the future, who immigrated to america over 30 years ago, and sacrificed a lot to give me thins opportunity.",1.0,"['My parents also want me to major in this field for financial reasons. I chose this major so I can accomplish my goal of being able to support my parents in the future, who immigrated to America over 30 years ago, and sacrificed a lot to give me thins opportunity. I see this class as a stepping stone to build a bright future for me, my parents, and my future family.']",1.0,
"my mom and dad cemented in me that the only way to avoid such a hectic beginning to life was to go to college right after high school, since that is what they wished they would have done.",1.0,['I see why they want me to go to school and I want to make them proud'],1.0,
i am here to finish college and be the first person in my family to have a degree.,1.0,['I am here to finish college and be the first person in my family to have a degree.'],1.0,
for this astronomy class i took because i find it fascinating about whats outside in space.,0.0,['My parents would always tell me that Id have more opportunities to get a job if Id continue onto college.'],0.0,
when will i ever be using these subjects as a zoology major?,0.0,"['I discussed the different pathways with my parents. My sisters, friends, etc.']",0.0,
i am here because i am struggling with ochem.,0.0,"[""I am here because I am getting my degree and I know by doing this I am making myself proud and I am also making my family proud. I am here because I want to have a decent life when I grow up and do what my parents wanted me to do, get a high education so I won't have to struggle financially just like they did.""]",0.0,
i am here because i want to get the education that is required to be able to become a doctor.,0.0,"['I also want to really make my family happy with being able to become a doctor. I want to be able to pay my family back for all they have done for me so far. Also by pushing myself through all this, when I have a family I could be a great example to my children.']",0.0,
i am here to start my life.,0.0,"['Most importantly, I am here because I want to understand more about physics because my grandfather was a physics professor and also taught at UC Berkeley']",0.0,
to be able to get a grander understanding of how i apply to physics every day and going through the struggle that past doctors had to face.,0.0,"[""I am here because well also to provide for my family one day to be able to do the things they weren't able to do when they were younger.""]",0.0,
i want to get my degree get a good paying job and be financially stable for my future.,0.0,['I want to be able to help my family out with paying bills and stuff.'],0.0,
"my motivation includes money, family and specifically my mother.",1.0,"[""For my family, I always think ' I AM going to make enough money to support them.' Lastly for my mother, I think 'I AM going to make her proud.' Considering all of these reasons. The reason I am here is because I want to make my mom proud, to support my family and because I am not paying 3500 to miss any classes.""]",1.0,
i am the first generation to go to college so i want to show my parents my love for science and become something.,1.0,['I am here to make my parents proud as well.'],1.0,
"i believe that i am here to also make my parents proud and most importantly, to make myself proud.",1.0,"['I believe that I am here to also make my parents proud and most importantly, to make myself proud. I also want to have a family in the future and be able to take care and provide for them, so I want to have a good job that will help me become financially stable in the near future.']",1.0,
my parents taught my brothers and i the values of working hard because to succeed in the bay area it is really expensive.,1.0,"['my dad told me that its going to be hard to get a house when I am older. Luckily, he told me he would always be there for my brothers and I when the time to buy a house would come. My parents taught my brothers and I the values of working hard because to succeed in the Bay Area it is really expensive.']",1.0,
i am also enrolled in the physics lecture.,0.0,['also to graduate as the first one in my family from a college university.'],0.0,
"reflection 1 quite frankly, i am glad this essay is informal, because i have a lot to say regarding the topic of why i want to go into the stem field.",0.0,"['I come from an Indian immigrant family, and all of my family members have worked hard to earn their places in the world. Most of my family members are successful, and a majority of them are working in STEM related careers. Due to this, there has always been an expectation for me to go into a STEM related field.']",0.0,
"during my time there, i started to get more involved with the many biology departments which allow me to set up mentorships with the researchers to develop a love for biology because i have an interest in learning how biology works for the creation of all things that are living on the planet.",0.0,['first in my family to be able to go to college'],0.0,
i want to be an engineering for the future.,0.0,['Yes they did encourage and force me to choose my major but I do find interest in it.'],0.0,
"i took the jc route; college tuition was too expensive, and it was just economically better for me to go to a junior college.",0.0,['my parents came to this country to give their future children a better life than the one they had in Mexico. I had to take advantage of the chance of getting an education. I wanted to make my parents proud and wanted to obtain a college degree.'],0.0,
i was born in afghanistan in a house during the warzone in 1996.,0.0,['Why I am here is because I want to fulfill my families dreams and my own dreams of becoming a successful obgyn one day.'],0.0,
i want to live to my full potential not anyone who has talent and knowledge and not apply it to their life.,0.0,['Yes they did encourage and force me to choose my major but I do find interest in it.'],0.0,
"i want them to see me working hard to achieve my goals, so they do the same.",0.0,"['Additionally, I hope that by going to college I am making my family proud. I want to set an example for my younger siblings. I want them to see me working hard to achieve my goals, so they do the same. As for my mother, I want her to see that all her sacrifices did not go to waste.']",0.0,
"originally when i began attending sf state, it was because i was encouraged to go to college by my family and teachers.",1.0,"['Originally when I began attending SF state, it was because I was encouraged to go to college by my family and teachers.']",1.0,
"i am here because im passionate about sciencemath, so i want to expand my knowledge.",0.0,"['I want to be someone who can help give back to my familycommunity', 'I want to be able to also give back to my parents, since theyve done so much for me']",0.0,
"i want to become knowledgeable about different cultures, different personalities and most importantly different academic subjects that i am not yet completely comfortable with.",0.0,"['I grew up with family who died due to heart conditions, therefore I want to be able to understand and form conclusions on my own that way I can comprehend the cause of their deaths.']",0.0,
"i love the creativity and mathematics filled environment where i have a blast playing around with graphs, equations etc.",0.0,"['With the right push from friends, family and others, I have successfully made it this far into my studies in order to pursue my dream and make something of myself within my community']",0.0,
i didnt know which i wanted to be either an engineer or a nurse.,0.0,"['I had a lot in me and I obviously have my parents as mu role model since they finished college and got their degree. That is, my dad was an electrical engineer and my mom was a nurse']",0.0,
i am very lucky to be in such an amazing school and that my parents are able to help me and support me every step of the way.,1.0,['my parents are able to help me and support me every step of the way.'],1.0,
"i am a first generation student, and the oldest of my siblings.",1.0,"['I am a first generation student, and the oldest of my siblings. I want to be a role model for my siblings, so they can have someone to rely upon. Hearing my moms history, and seeing that she didnt have the opportunity to go to college is what motivates me to be here where I am now. Lastly, I am here to be able to help my family out, and support them economically.']",1.0,
"a lot of people, they ask for i don't know something from whatever higher power that they believe in.",0.0,"[""If I had to guess why I'm here it would be because my mom needed me to be here. I don't think she might have known it at the time when she had me, but I've been the most consistently there for her as long as I could be, I think that's why I'm here to make sure that she has everything that she needs and so she always has someone on her side. And now, as my mom gets older I look after my sister who really needs me maybe I'm just here to look out for her the whole time.""]",0.0,
"jordan passed away unexpectedly this year, on march 2nd, 2019.",0.0,"['Most importantly, I am here because of my fiancee, Jordan. We were together for seven years since we were thirteen years old. He was my rock, my best friend, and my biggest supporter.']",0.0,
and they are essential to one's academic success.,0.0,"['I discussed the different pathways with my parents. My sisters, friends, etc.']",0.0,
why was i here?,0.0,"['Because I want to be successful, I want to make my parents proud and most importantly I want to reach my full potential and make myself proud.']",0.0,
this is why im here at san francisco state university majoring in biology concentration in physiology to in hopes one day become a pediatric nurse and to work as hard as i can so that one day i could return something back to my parents and make them proud for what theyve given up for me to live a better life.,1.0,['This is why Im here at San Francisco State University majoring in Biology concentration in Physiology to in hopes one day become a pediatric nurse and to work as hard as I can so that one day I could return something back to my parents and make them proud for what theyve given up for me to live a better life.'],1.0,
"as a younger girl my mom had to work, and help out in the house, making it harder to finish her education.",0.0,"['I am a first generation student, and the oldest of my siblings. I want to be a role model for my siblings, so they can have someone to rely upon. Hearing my moms history, and seeing that she didnt have the opportunity to go to college is what motivates me to be here where I am now. Lastly, I am here to be able to help my family out, and support them economically.']",1.0,Added familial label because family is mentioned in the sentence.
helping woman and being able to help and see the a human be created and form is so amazing to me and i find it super interesting and i am hoping that being able to go to college and doing good in all my classes will help me with my dreams come true.,0.0,"['I want to make my parents proud.', 'the fact that Im the first from my family is amazing and I dont want to let them down.']",0.0,
i want to be able to follow in her steps and to make my family and her proud.,1.0,"['In conclusion, that is why Im here, to work with sonography and to make my family and even myself proud.']",1.0,
you so know that the time allotted for the professors are not enough to begin with.,0.0,['I am here for my parents and my family. I am here for my family members who could not make it this far. I here to show those family members that they can be here too.'],0.0,
i want to finish college and then go to medial school and be able to become a obgyn doctor!,0.0,['my parents are able to help me and support me every step of the way.'],0.0,
"since i can remember my family has always been in the construction business so whenever i look at structures, i imagine how they are built.",1.0,"['Since I can remember my family has always been in the construction business so whenever I look at structures, I imagine how they are built.']",1.0,
"it's crazy to me that i'm here in my second year already, about to start working harder and harder to get that degree.",0.0,"[""Another reason is to why I'm here is because Im the first of my family to go to college, hence I'm trying to make them proud of what I'm trying to accomplish.""]",0.0,
i am here to explore a part of science that i have never experienced before.,0.0,['I am here so I can graduate and make my parents proud and never have to listen to them nag at me.'],0.0,
all i had to do was to put in the effort and stay on course with my goal and i was destined to be the person that i was meant to be.,0.0,"[""I am here because I want to prove to myself that I am more than capable of living the life I've always dreamed of for me and my family. Most importantly I am here because I want to someday provide my family.""]",0.0,
"i really want to be an immigration lawyer, especially here in the bay since south east asians here are getting targeted by ice. i'm here in this class because i truly hate science and at least this is kind of interesting.",0.0,['But the reason why I keep going is for my family. They gave up everything for me to be here and Im not going to mess that up.'],0.0,
"it definitely is a difficult journey and comes with many challenges, but in the end, i will achieve something that is going to benefit me for the rest of my life.",0.0,['My father taught me many things about construction while I was growing up.'],0.0,
i do believe knowledge is power and amazing things can be done with the right knowledge.,0.0,['I know my father didnt get the opportunity to do so and now I want to be the one to help as much people as I can.'],0.0,
it is a diverse community and it is a place where i feel happy.,0.0,"['I want to make myself proud and my family. My parents are my motivators, they work so hard to give me everything they can and I want all their efforts to be worth it.']",0.0,
i am more passionate more than ever to achieve my goals.,0.0,"['My mother used to quiz me on them from a young age, and I could watch TV excessively if it were medical dramas.']",0.0,
another reason why i am in college is not only accomplish something for myself but to see my family happy!,1.0,"[""If it wasn't for my family specifically my siblings I know that I wouldn't be as motivated to keep going""]",1.0,
physics has been my weakness since middle school.,0.0,"['I am an International student from China, and my parents send me here because they want me to have better education resources.']",0.0,
it probably wasnt the best idea since last semester i took the lecture and didnt do too hot with that one.,0.0,['My parents always encouraged and pushed me to go further in school and that brings me to here.'],0.0,
"i am here because my parents migrated to the united states in order to provide a better life to their future family, which would be my siblings and i. my parents wanted to give their children the opportunity to go to college, an opportunity that is unfortunately not granted to many of my family members back in mexico.",1.0,"['I am here because my parents migrated to the United States in order to provide a better life to their future family, which would be my siblings and I. My parents wanted to give their children the opportunity to go to college, an opportunity that is unfortunately not granted to many of my family members back in Mexico.']",1.0,
"now, she has to work really hard to be able to afford paying rent, and i see her struggles.",1.0,"['I am a first generation student, and the oldest of my siblings. I want to be a role model for my siblings, so they can have someone to rely upon.', 'Hearing my moms history, and seeing that she didnt have the opportunity to go to college is what motivates me to be here where I am now. As a younger girl my mom had to work, and help out in the house, making it harder to finish her education.', 'Lastly, I am here to be able to help my family out, and support them economically.']",0.0,Removed familial label because the sentence is purely aspirational or social without mention of family.
one being i love many topics.,0.0,"[""If it wasn't for my family specifically my siblings I know that I wouldn't be as motivated to keep going""]",0.0,
"in terms of why i'm at college, it's because it's difficult to start a decent career without at least one degree and i want to be able to provide for myself and my future family as adequately as i'm able.",1.0,"[""In terms of why I'm at college, it's because it's difficult to start a decent career without at least one degree and I want to be able to provide for myself and my future family as adequately as I'm able.""]",1.0,
"i am taking this class, and every other class, to expand my mind and gather the mental tools to make sense of the world around me in a rational way.",0.0,"[""I'm a firstgeneration university student so I'm mostly just grateful for the opportunity to study and see the world through so many different lenses.""]",0.0,
why am i here?,0.0,['In todays society most individuals want to support themselves and their family as well as live as comfortably as they can. For me I want to as well which has lead me to be here as well as pursue education past high school education.'],0.0,
"with these tools that i hope to sharpen up during my time here at sf state i would love to enter the medical field either as a physician assistant, lab researcher, pathologist, etc.",0.0,['My name is Arnie Maravillas and I am a first generation college student here at SFSU.'],0.0,
"and to be honest, i am here because there is nothing else for me to do besides work, especially because of the whole pandemic situation that is going on, this helps to further progress my study, as well as help occupy my time.",0.0,"['I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",0.0,
"why am i here? theres a lot of reasons as to why i am here, attending college.",0.0,['I have goals that benefit not just myself but also my family as well'],0.0,
when i began college i was unsure about which major to pursue.,0.0,['I decided to follow my parents lead.'],0.0,
"also, statistics have shown that people with higher education and wealth tend to be healthier.",0.0,"['I am here because I want to better myself my family, not only financially but in health.']",0.0,
in general i am in school so that i may pursue a career in child psychiatry.,0.0,['My parents went back to school when I was little so they took turns working or in school as well as took turns taking care of me. They told me a lot about how it was such a struggle to not be able to spend as much time with me when I was little and that it was hard to be in school as an adult and it is better to get it done earlier than they did.'],0.0,
we have different thoughts and opinions on things which is why we crash too much so when we take turns with her we go by what we were taught.,0.0,"['But my mom raised me and my sister. Also I was given the opportunity to be the first one in college and prove my family wrong that even though I was raised by a single parent I still made it to college.', 'I am here now to teach my daughter the right and wrong as she gets older. I am her leader as well as her dad even though her father is from another background (Im Mexican, his Salvadorian).', '']",0.0,
"however, the decision to go to college was completely up to us.",0.0,"['My parents immigrated to U.S. in large part to provide their future kids with better opportunities and the financial stability required for us to go to college.', 'Im happy it makes my parents proud as well.']",0.0,
"coming from an immigrant family, being apart from my parents for many years, without having the support and motivation to keep my dreams going was nothing short of easy.",1.0,"['I have fought and worked so hard for everything that I have obtained in life, and that is the reason why I am here, I am here to make myself proud my parents and show everyone that when you put your mind to something, anything is possible when the sky is your limit.']",1.0,
my first year of college i struggled a lot.,0.0,['As a firstgeneration college student it was really hard for me to get here.'],0.0,
why am i here?,0.0,['I have very supportive parents and family that have gotten me to this point.'],0.0,
"in my parents perspective im here to better my education and to gain a well paid career and profession, in their eyes im here to make them proud and to be their successor of sorts......for me on the other hand im here to try to persue my dreams of working with exotic animals that i had as a child but to be completely honest now that im here working towards my degree and career path i feel lost, some days i wake up with a good mind set and ""get it done"" mind set but as the day continues with classes and school i get defeated and i'm not sure if its because i get overwhelmed with school and the material of my classes or if it is just me overthinking and overreacting over my responsibilities that my classes give me as well as just trying to live in society, handling two jobs, a relationship, bills....lots of bills, and money.",1.0,"['In my parents perspective im here to better my education and to gain a well paid career and profession, in their eyes im here to make them proud and to be their successor of sorts other days I feel like the reason for me being here is based on the expectations of other people especially my parents and family and people who look up to me and who believe in me and depend on me to make something out of myself']",1.0,
"to be quite honest, this is not the way i want to live.",0.0,"[""However, I do know that I am here because my parents expected me to succeed and thrive in the environment that America has to offer. Their struggles meant that as the first born of a second generation immigrant family, I was expected to succeed in academics in order to help my parents and brother survive. I'm expected to help them with all of their paperwork, and my brother's homework.""]",0.0,
i want to graduate with a bachelor of science degree in civil engineering.,0.0,['I want to make my parents proud and improve their lifestyle.'],0.0,
"i only took one physics course in middle school and i had to make a car that would move with a balloon, but i dont remember if it actually worked or not.",0.0,"['', ""My brother didnt go to college and my parents didnt either as they are immigrants from Nicaragua. They were so excited during my orientation, more excited than me. My dad wouldn't let go of the cheap backpacks they gave us with the school logo on it."", '']",0.0,
i am here at san francisco state university because i want to get my bachelors of science in biochemistry so that can get into medical school and become a anesthesiologist.,0.0,"['', 'I am here so that I can make my mom proud and be one of the first people in my family to complete college and get a degree; because making them happy android means a lot to me. I want to be able to show them that I can make it and maybe help them out in the future because theyve helped me so much.', 'Being here in college and in physics is extremely important to me because without being here I wouldnt be able to purse and execute my goals or make my family proud, being here makes me who I am.']",0.0,
"i wonder how this pressure has affected my development, and in what ways (if any) do i plan to fulfill these generational wishes.",0.0,"['There is a certain pressure put upon many first generation children to thrive for the sake of the family. Ive been thinking about that a lot these past couple years. I wonder how this pressure has affected my development, and in what ways (if any) do I plan to fulfill these generational wishes.']",0.0,
i just want to be here becaouse i can and i dont want to waste my oportunity to be somone in this world.,0.0,['Overall I am also here because I am the only one in my family to have ever gone to college.'],0.0,
theres so much i want to do.,0.0,"['This makes me really proud of myself, especially because I will be the first in my family to graduate college.']",0.0,
i chose to take astronomy and astronomy lab because it interested be the most out of all the other science classes offered for my ge requirement.,0.0,"['Also, I chose to go to SF State because I have family that lives in the nearby area of Daly City. So, I always feel the presence of being at home and someone to be there for me while I am away at school.']",0.0,
i am here to follow my dream and get to be a researcher and show the whole world that a person like me can be a researcher and persuaded my dreams.,0.0,['Overall I am also here because I am the only one in my family to have ever gone to college.'],0.0,
i am here this morning because i was very lucky to wake up and start another beautiful day.,0.0,['I am here to make my mother proud and also to be a great example to my siblings and my family in general.'],0.0,
"once my health started improving, i dedicated my focus to advancing my school and future career aspects.",0.0,"['Since no one in my family ever lived the college experience, I had to rely on teachers and mentors for help. But somehow, I managed and before long, I found myself at San Francisco State University, as a firstgeneration student.']",0.0,
why am i here (sci 121 and san francisco state university)?,0.0,"['The campus is also very close to my house so I can live offcampus and stay closer to my family, especially now that my grandfather requires inhome support.']",0.0,
im here because i want to do well in my classesmajor i want to be someone who can help give back to my familycommunity.,1.0,"['I want to be someone who can help give back to my familycommunity', 'I want to be able to also give back to my parents, since theyve done so much for me']",1.0,
"so, i am here because i was pushed by my family to pursue a higher education, an education they never had.",1.0,"['So, I am here because I was pushed by my family to pursue a higher education, an education they never had. So far in my tough journey I have a little bit of slack on me, so I have to pace myself and pick it up so I can overcome my obstacles and get through this and please my mum and make her proud.']",1.0,
i decided to take ap classes in high school to better prepare myself for the heavy work load that i would be dealing with after i graduated.,0.0,['My parents immigrated to U.S. in large part to provide their future kids with better opportunities and the financial stability required for us to go to college.'],0.0,
