sentence,label,phrase,updated_label,comments,review
i am a prekinesiology major hopefully a kinesiology major next fall because i hope to be a physical therapist in the near future.,0,"['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
i am taking this class because i am also in physics lecture and intriguing and it seemed interesting.,0,"['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0,Reviewed; no issues found.,True
i hope to get knowledge from this class that will better prepare myself for the kinesiology courses i will be needing to take next school year.,0,"['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0,Reviewed; no issues found.,True
"i am trying to get all my general education courses as well as a few prerequisite courses because i am also interested in getting a business minor, so i need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.",0,"['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0,Reviewed; no issues found.,True
estefan dinarte 9102020 phys 102 why am i here i am here because i would like to fu rther my knowledge and education.,0,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0,Reviewed; no issues found.,True
my major is kinesiology and physics is a pre requisite for m y end goal of be coming a physical therapist.,0,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
i also enjoy the team work an d bondi ng aspect s of lab because it is a great way to make new friends an d connections.,0,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0,Reviewed; no issues found.,True
"physics will teach me interesting and useful knowledge like motion and behavior through space and time , and the related entities of energy and force.",0,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0,Reviewed; no issues found.,True
being here is also important for my growth and development.,0,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0,Reviewed; no issues found.,True
"without educati on and a diploma to show for it, it is difficult to find a stable job and have that financial freedom.",0,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0,Reviewed; no issues found.,True
"all in all, i am here because it is a pre requisite but i also enjo y the ext ra knowledge to further enhance my brain.",0,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0,Reviewed; no issues found.,True
i think the reason that i am here is to complete my physics classes.,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
"i took the lecture last semester and i did just fine in that class, although it sucked that i had to finish that class online.",0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
that is what screwed my grade up last minute.,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
other than that i dont know why i am here other than that.,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
"i do like physics, at least basic physics, and if i were to pursue a higher level of physics with trigonometry and things like that, my brain would honestly explode.",0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
but taking this level of physics isnt too bad.,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
im excited to see what is in store for this lab.,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
i should be able to apply what i learned from last semester into this class and maybe help some people out if they are stuck.,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
5 minutes to talk about why i think i am here..,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
"uhh, oh i would like to be able to apply the labs into real life especially because i think this lab would help me in my major which is kinesiology.",1,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",1,Reviewed; no issues found.,True
i think being able to apply that into the field of kinesiology would be huge because we study range of motion and the movements of the body.,0,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0,Reviewed; no issues found.,True
why am i here?,0,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0,Reviewed; no issues found.,True
i am here in this class because it is a pre requisite for my major.,0,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0,Reviewed; no issues found.,True
i guess in the grand scheme of things i am just here on this by chance.,0,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0,Reviewed; no issues found.,True
i think i am just the sum of all these random chances and probabilities.,0,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0,Reviewed; no issues found.,True
i also think i am here based on my past experiences.,0,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],1,"Matches Navigational theme: systemic navigation, temporal markers.",True
if i hadnt taken one specic class in high school by chance then i would not be pursuing the career i am right now.,0,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0,Reviewed; no issues found.,True
i also think i would not be here at this school to even be taking this class in the rst place.,0,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0,Reviewed; no issues found.,True
i think i am here from a combination of chances and choices.,0,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0,Reviewed; no issues found.,True
milka abdosh why am i here?,0,['Taking this physics class is the building block for my success because I need this class to graduate.'],0,Reviewed; no issues found.,True
i believe that i am here because i want to be successful.,0,['Taking this physics class is the building block for my success because I need this class to graduate.'],0,Reviewed; no issues found.,True
i want to be able to support my parents and have a career.,0,['Taking this physics class is the building block for my success because I need this class to graduate.'],0,Reviewed; no issues found.,True
most people wont want to take care of their parents but i believe i owe it to them to be as money motivated and goal striving as possible.,0,['Taking this physics class is the building block for my success because I need this class to graduate.'],1,"Matches Navigational theme: systemic navigation, temporal markers.",True
taking this physics class is the building block for my success because i need this class to graduate.,1,['Taking this physics class is the building block for my success because I need this class to graduate.'],1,Reviewed; no issues found.,True
i have been in school for a while and i am looking forward to be able to start my career and travel the world (once the pandemic is over).,0,['Taking this physics class is the building block for my success because I need this class to graduate.'],0,Reviewed; no issues found.,True
why am i here?,0,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0,Reviewed; no issues found.,True
i am where i am due making tons of different decisions that all made sense at the time.,0,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0,Reviewed; no issues found.,True
"feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since i didnt have real academic interests, choosing to start in community college to do general education classes.",0,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0,Reviewed; no issues found.,True
"i used to think that there wasnt a real place for me in school and barely skated by in it, and now im making up for where i was before.",0,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0,Reviewed; no issues found.,True
at this moment ive found things that interest me.,0,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0,Reviewed; no issues found.,True
through learning about the body and how to get stronger ive also found reasons to be more connected to this world and other people.,0,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0,Reviewed; no issues found.,True
by listening to myself more ive been able to find a path to move forward on.,0,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
week 3 reflection: why am i here?,0,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0,Reviewed; no issues found.,True
college is a place where you can further your knowledge and learn new skills.,0,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0,Reviewed; no issues found.,True
im here because i want to become either a physical therapist or an occupational therapist.,0,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0,Reviewed; no issues found.,True
"in order to get there, i need to graduate from college with a bachelors degree.",0,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0,Reviewed; no issues found.,True
"as a kinesiology major, i need to fulfill many prerequisites and physics is just one of them.",0,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0,Reviewed; no issues found.,True
physics is one of the basic sciences i need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.,0,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0,Reviewed; no issues found.,True
patrick bialy reflection 1 why am i here?,0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0,Reviewed; no issues found.,True
i am in this physics because it is a class i have to take to satisfy my major requirements.,0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
i am currently a kinesiology major that recently switched from prenursing.,0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0,Reviewed; no issues found.,True
"i am pursuing this major because i have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor.",0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
"during my countless hours volunteering at hospitals to the countless hours being admitted, i feel like i would be comfortable to pursue a career.",0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0,Reviewed; no issues found.,True
i is a hard goal to achieve but hopefully my passion can drive me to my destination.,0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
"i am currently at sf state, in the beautiful city of san francisco.",0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0,Reviewed; no issues found.,True
i chose this school because of the city and the constant chilly weather.,0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0,Reviewed; no issues found.,True
"on my free time, i am a pretty avid photographer and the city is perfect for just that.",0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0,Reviewed; no issues found.,True
this is why i am here.,0,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0,Reviewed; no issues found.,True
why am i here?,0,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0,Reviewed; no issues found.,True
i'm currently enrolled in both physics lecture and lab.,0,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0,Reviewed; no issues found.,True
i'm here in physics lab because i need to take this lab for my requirement for kinesiology .,0,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",1,"Matches Navigational theme: systemic navigation, temporal markers.",True
"since this is a broad paper about why we are here, i'm not sure if were supposed to be talking about here as in physics lab or here as in what our purpose in this world is.",0,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0,Reviewed; no issues found.,True
