,sentence,phrase,label,comments,review,predicted_label
5235,i have the chance to do the things she did not.,"['To be quite honest, this class is necessary for my degree and most likely to get into medical school. Its a shallow answer, but if I had to elaborate then I would say that this class is a step towards becoming a doctor. Ive wanted to become a doctor for as long as medical books have existed in libraries. My mother used to quiz me on them from a young age, and I could watch TV excessively if it were medical dramas. I doubted if that was what I truly wanted, but after interning in an operating room over the summer in high school, my passion was solidified. I wanted to be the one doing the procedure not just watching. Of course, to get to that point, I had to go to college.']",0,Reviewed; no issues found.,True,0
1479,hopefully i can use the labs to help me fully understand the materials we are going over in the lectures.,['This class is mandatory for my major and is also a prerequisite for other classes that I have to take for my major'],0,Reviewed; no issues found.,True,0
4359,"i have graduated undergrad and completed my physics prerequisites already, but because i completed them abroad in europe, the credits are not valid for admission into u.s. m.d. medical schools, therefore i must use this opportunity in my postbac program to revisit these courses and do the best i can before the upcoming application cycles.","['Given that Physics 112 is a undergraduate prerequisite to my intended M.D. program of study, I am required to be in this course. I have graduated undergrad and completed my physics prerequisites already, BUT because I completed them abroad in Europe, the credits are not valid for admission into U.S. M.D. medical schools, therefore I must use this opportunity in my postbac program to revisit these courses and do the best I can before the upcoming application cycles. Previously, I was rushed through an 8week Physics program and received a decent grade in the end. BUT I did not really learn the topic how I should have. Therefor, this revisit of the course allows me to step back and learn the topic better in time for the MCAT where I will need these skills.']",0,Reviewed; no issues found.,True,1
4991,"after taking a microbiology course when i was a nursing major, i fell in love with it and thought it was fun.","['The main reason I am here is because it is a prerequisite for what I want to be, which is a clinical lab scientist. I want to be a clinical lab scientist because when I was younger, I have always taken an interest in science, how the world worked, experimenting, etc. After taking a microbiology course when I was a nursing major, I fell in love with it and thought it was fun.']",0,Reviewed; no issues found.,True,0
7339,also this class allows me to sit with students and just ask questions about related topics aswell like from my 451 class.,['I want to have a better understanding of the topics and what they mean on a deeper level. Also this class allows me to sit with students and just ask questions about related topics aswell like from my 451 class.'],0,Reviewed; no issues found.,True,0
1612,"but it's not a waste of time because i am learning how to learn, learning to take leadership, learning to create goals and achieve them.",['This is a part of my set course of classes I need to take to get a piece of paper that says I learned a bunch of stuff I most likely will never use.'],1,"Matches Navigational theme: systemic navigation, temporal markers.",True,1
1170,"also, over the summer i volunteered in thailand and one thing that i did there was teach in the schools.",['I am in this physics lab because I need it for my major.'],0,Reviewed; no issues found.,True,0
1994,"as a kid growing up in the east bay area, i always aimed for a prestigious career path because i was unsatisfied with my upbringing.","['As a kid growing up in the East Bay Area, I always aimed for a prestigious career path because I was unsatisfied with my upbringing. I was the product of a divorced family, my mother was a bartender, my dad wasnt around much, and all of my brothers and sisters were half brothers and half sisters who were at least 8 years older than me. I spent much of my time outside of the house trying to stay busy. I never viewed my situation as traumatic or permanent but merely a starting point for something valuable. I knew that I wouldnt allow myself to end up impoverished, victimized, or addicted.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True,1
7601,i am here because i would like additional help in my chem 115 course.,['I am here because I would like additional help in my chem 115 course. I did not have that great of a high school chemistry teacher so my knowledge in chem is very minimal. I have a heavy course load this semester so taking this course will help me in a way lessen the amount of studying I need to do.'],0,Reviewed; no issues found.,True,0
3171,"so, like many other students, i decided to follow my parents lead.","[""When I began college I was unsure about which major to pursue. So, like many other students, I decided to follow my parents lead. This isn't to sayI wasn't interested in engineering, but there was a lack of confidence in my academic abilities. As I have progressed and been exposed to general education classes it has confirmed my commitment to this career path. I have come to appreciate the thought process that goes into engineering. I enjoy the process of breaking down problems to a point that they can be solved. The factbased approach of something I see is applicable to many aspects of life.""]",0,Reviewed; no issues found.,True,0
2176,"instead, i'll draw something up with cad and write descriptions based on what it does and why it does it.",['I am here because it is required of me in order to get a degree as an engineer.'],0,Reviewed; no issues found.,True,0
5086,"i am taking physics mostly because it is a requirement to sign up for physical therapy programs, but because i also enjoy math and science.","['I am taking physics mostly because it is a requirement to sign up for physical therapy programs, but because I also enjoy math and science.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True,1
6457,"taking this course is a first step to understanding the intricacies of the world we live in, which will help me grow as an individual.","['Why Am I HereI am here to gain the skills I need to pass the Physics portion of the MCAT and enter Medical School. Taking this course is a first step to understanding the intricacies of the world we live in, which will help me grow as an individual. I also want a job that I love, and this is a first step in that particular direction. When I do apply for medical school, I also plan to earn an associates degree in surgical technology, so that even if I dont get in, Ill have something to fall back on, and add to my application for when I reapply.']",0,Reviewed; no issues found.,True,0
2175,"yes, i will have to document my work, but i won't have to propose theories and preform experiments to determine the validity of my theories.",['I am here because it is required of me in order to get a degree as an engineer.'],0,Reviewed; no issues found.,True,0
4045,i am here in this class to get to where i want to be in the future.,['This class is just part of a long path that I am taking in order to eventually get to the career I want.'],1,"Matches Navigational theme: systemic navigation, temporal markers.",True,1
2621,why am i here?there's a lot of reasons as to why im in this class and in this university.,"[""One is obviously this class is a requirement for my general education credits and also because I thought it'd be interesting to further my education on astronomy. I am in this university in order to pursue my future career and what I want to do in life."", 'I am here so that I can enhance my education and earn a bachelors degree so that I can get a job that makes a good salary and that I get to do something exciting and interesting.']",0,Reviewed; no issues found.,True,0
4543,"i am worried about my grade in the class because i did not do well in advanced placement physics when i was in high school (i got a b, however the class was weighted so i was worse).","['The reason I am here (this class PHYS112) is because it is a requirement for my planned major, in Earth and Climate Science. I am worried about my grade in the class because I did not do well in Advanced Placement Physics when I was in High school (I got a B, however the class was weighted so I was worse).']",0,Reviewed; no issues found.,True,0
2243,and i think it is useless in our daily life.,"['I am actually a Chinese and I went to the U.S. when I was 15 years old. I went to high school in LA and I chose to go to SF state is because it is close to the Silicon Valley and my father said it is very easy to find a job there based on my major. That is the reason why I am at this school, then I am going to talk about why I am in this class. I am here because I have to take this class. Actually, this class comes with the PHY230 but whatever.']",0,Reviewed; no issues found.,True,0
7560,and my advisor recommended i shouldn't take any more regular classes because chem 115 and biol 240 are hard classes already and im taking them together.,"[""The main reason why i am here is because i needed 12 units so i can be considered a full time student. Because before i had 10 units because i was only enrolled in biol 240 and Chem 115 which are both 5 unit classes. And my advisor recommended i shouldn't take any more regular classes because chem 115 and biol 240 are hard classes already and im taking them together. And i wanted to be considered a full time student so she recommended i take the support class for chem 115 and biol 240 so i can have 12 units. I suppose the second reason why im here is just for the extra support im case if i need it since there are some hard classes so it wouldn't hurt to just take them. I've taken support classes in the past and it alwats helps. Also its a free A for my gpa as long as i show up to the class.""]",0,Reviewed; no issues found.,True,0
6707,ive spent my whole life being a student and i wouldnt want my life to be just dedicated to being a student.,['Im in college to pursue a higher education. Im in this class as part of the journey to earn a bachelors degree in child and adolescent development.'],0,Reviewed; no issues found.,True,0
3801,"why am i here? i am where i am at currently, being orange county, rather than being in san francisco due to the fact that i am in the middle of a world pandemic and i simply cannot return back to school and continue inperson classes.","['Well, thats because I am a science major, specifically a bio physiology major and I must complete the introduction to physics course series in order to complete my major requirements in order to receive my degree. Where I am in my current knowledge of understanding physics, is that after completing physics 111 I really dont feel that I have learned a lot from the course, and now that I am in PHYS 121, I am keeping a good pace and staying caught up with the class and I am hoping that I can learn just as much as I can online when compared to inperson classes.']",0,Reviewed; no issues found.,True,0
3493,i made my purpose to help not only others but nature as well.,['My junior year of high school I realized I am here to help others as I joined peer counseling and applied for a counseling internship through my school for the following school semester. Senior year my purpose was to help others solve their own problems and find ways to promote mental health. The question came up again in my head entering college.While I am helping the plant with my small contributions I am also studying to become a therapist with my psychology major.'],0,Reviewed; no issues found.,True,0
1228,it is important to be able to relate the way in which these different theories are a part of the real word and our life.,['Taking this course is a part of my requirements for my major which is physiology. My goal is to become a pediatrician and there are many courses which I have to take in order to work towards that goal. By being in this class I am also able to apply what I learn in lecture to real life models and cases. It is important to be able to relate the way in which these different theories are a part of the real word and our life.'],0,Reviewed; no issues found.,True,0
657,"i chose this major because both biology and chemistry fascinate me, and my career goal is to become a pathologist, a scientist who studies the causes and effects of diseases.","['My major is Biochemistry. I chose this major because both biology and chemistry fascinate me, and my career goal is to become a pathologist, a scientist who studies the causes and effects of diseases. I never really knew what I wanted to study until my sophomore year of high school when I took biotechnology. That class managed to change the way I thought about science. Being lectured and then left on our own to do labs was something I looked forward to every week. After taking biotechnology, I took chemistry and then biology and I knew that this was something I wanted to do for the rest of my life.']",0,Better fits Aspirational or Attainment; lacks systemic navigation.,False,1
7025,"in a lot of ways, i guess, my intentions for wanting to become a surgeon are a little selfish.","['Why Am I HereI am here to gain the skills I need to pass the Physics portion of the MCAT and enter Medical School. Taking this course is a first step to understanding the intricacies of the world we live in, which will help me grow as an individual. I also want a job that I love, and this is a first step in that particular direction. When I do apply for medical school, I also plan to earn an associates degree in surgical technology, so that even if I dont get in, Ill have something to fall back on, and add to my application for when I reapply.']",0,Reviewed; no issues found.,True,0
2660,"when i was younger, i was told to pick out a book to read from the library.",['Im here taking Astronomy because I have a love for space and I am able to take it while fulfilling my general education.'],0,Reviewed; no issues found.,True,0
6462,i am not sure what this question specifies about so i will talk about general places where i am at.,"['In terms of being in San Francisco State, I am here because I was accepted here and it is located in San Francisco which called to me when I was in high school. I wanted to try to grow on my own away from home and my family. In terms of this class, I am here because I am taking Chem 215 and was afraid it might be too challenging as I ended Chem 115 with a C, so I would very much like to improve that grade.']",0,Reviewed; no issues found.,True,0
3266,at this moment ive found things that interest me.,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0,Reviewed; no issues found.,True,0
8002,im here at san francisco state universality because i want to earn a bachelors degree.,"['Im here at San Francisco State Universality because I want to earn a bachelors degree. The career field of physical therapy has interested me since before I got into this university so I decided to major in kinesiology to lead me to the right path. General physics is required for my major, but it is also required for physical therapy programs I want to apply to after I graduate. I know physics plays a role in kinesiology since it used in biomechanics. I hope this class will prepare for future interactions I have with physics, such as when I take general physics ii, biomechanics, and any classes I take in graduate school. Taking physics in high school made me gain interest in the subject because my teacher was very passionate and my classmates were all nice and helpful.']",0,Reviewed; no issues found.,True,0
423,this in a way freaked me out because i had no expectations on how the course would go but i was worried i would not find success in the course.,"['I am in this SCI class to get support for my PHYS 111 course. I have never taken a physics course', 'I am here hopefully to gain extra practice to make me more confident in my work and to prepare me for exams.']",0,Reviewed; no issues found.,True,0
4562,if i had the chance to not take it i would.,['I am currently taking this physics 111112 class because it is a requirement for my major. I am currently a Biology major so I have no choice but to take it.'],0,Reviewed; no issues found.,True,0
774,i knew i wanted to become a veterinarian thus beginning my upper level education is a huge achievement to me and im happy it makes my parents proud as well.,"['I am a first generation college student, thus the whole college application process and requirements were new to me. I decided to take AP classes in high school to better prepare myself for the heavy work load that I would be dealing with after I graduated.', 'Im in this physics lab class because its a requirement for my zoology concentration in biology that I am working towards.']",0,Reviewed; no issues found.,True,1
4235,"jennyfer vasquez physics 112sept 2, 2020 why am i here ?this is actually a really really good question, currently i am doing zoom meeting and class schedules from outta town, and its a bit hard todo so with not so great internet.","['I Have taken the lecture class Physics 111 the semester before summer classes. I managed to do well but was never accepted back into a lab section because classes were way too full each semester. This course along with other are actually really important for me I take, This class is a designated class for my specific major. I am here to fulfill my degree requirements but I am also here to learn how and why certain things work I am eager to learn even though physics is not my strongest object.']",0,Reviewed; no issues found.,True,0
2236,i went to high school in la and i chose to go to sf state is because it is close to the silicon valley and my father said it is very easy to find a job there based on my major.,"['I am actually a Chinese and I went to the U.S. when I was 15 years old. I went to high school in LA and I chose to go to SF state is because it is close to the Silicon Valley and my father said it is very easy to find a job there based on my major. That is the reason why I am at this school, then I am going to talk about why I am in this class. I am here because I have to take this class. Actually, this class comes with the PHY230 but whatever.']",0,Reviewed; no issues found.,True,0
4744,"this is my first physics course, so i am nervous with how it will go as the lecture portion appears to be moving quickly (or maybe i'm still trying to settle in).","[""I am here because I plan on going to medical school after I receive my bachelor's degree. I have been working on my prerequisites since my freshman year in addition to my major coursework. Since I'm working on the prerequisites aside from my major courses, I have been taking overload courses since starting college. I normally take between 1822 units a semester. I find this challenging as I am also working (sometimes 23 jobs), but I enjoy the challenge and I know it will get me where I want to be. This is my first physics course, so I am nervous with how it will go as the lecture portion appears to be moving quickly (or maybe I'm still trying to settle in).""]",0,Reviewed; no issues found.,True,0
2965,i am taking this course because i want to finish off my general education requirements.,['I am taking this course because I want to finish off my general education requirements'],1,"Matches Navigational theme: systemic navigation, temporal markers.",True,1
1092,"as unattainable as it has seemed at times, i've trained to maintain the idea that my dream is indeed attainable.","['Dreams require steps and hurdles like taking physics classes towards a degree, towards eventually (hopefully, maybe) a doctorate.']",0,Reviewed; no issues found.,True,0
3224,overall taking this class and so many other labs its not bad i mean i dont usually do good but it does help you learned new things that you havent before and thats something im trying to expend my mindset and what i can get out of in order to help me in the long run.,['Honestly Im only here because is part of my requirement for my major.'],0,Reviewed; no issues found.,True,0
4739,i am here because i plan on going to medical school after i receive my bachelor's degree.,"[""I am here because I plan on going to medical school after I receive my bachelor's degree. I have been working on my prerequisites since my freshman year in addition to my major coursework. Since I'm working on the prerequisites aside from my major courses, I have been taking overload courses since starting college. I normally take between 1822 units a semester. I find this challenging as I am also working (sometimes 23 jobs), but I enjoy the challenge and I know it will get me where I want to be. This is my first physics course, so I am nervous with how it will go as the lecture portion appears to be moving quickly (or maybe I'm still trying to settle in).""]",0,Reviewed; no issues found.,True,0
4209,"also, my purpose is not consisting of one single thing goal, but its more of a set of things.","['But I think the main important reason as to why I am here is to not only make the troubles and contributions that were done for my sake to not be wasted, but to really find out if the path that Im set on now is my purpose. Anyways, the path Im referring to is basically the roadmap of the career Im currently interested in, which is being a physician in emergency medicine; in other words, Im unsure if I should pursue this career due to financial reasons and time. I know that I want a career in which Ill help people, but Im still not completely sure if this is how I want to go about it. In any case, I intend to keep moving forward in this path and to make any necessary changes as the situation seems fit.']",1,"Matches Navigational theme: systemic navigation, temporal markers.",True,1
3211,i will be rst generation university graduate.,['I am here because it is a requirement for my major and I think Physics is a really cool subject to learn.'],0,Reviewed; no issues found.,True,0
5253,so far i am kind of getting what's going on in class.,"['To be honest the only reason I am here is because it is required for my major. I took physics in high school and absolutely hated it, so hopefully this will be a redemption.I am hoping that the information I learn in this class will really sink in because I am taking physics 2 next semester and I assume that this information will be useful andor needed.']",0,Reviewed; no issues found.,True,0
405,"in the past ive had a packed schedule with classes and work, but this semester i allowed myself more room for school by cutting back my work hours.","['Ive had a history of struggling in my math classes. Since physics is basically another math class, I knew I would need to take extra steps to ensure my success. When I heard the option to enroll in a supplemental course for physics, I knew I had to enroll for the extra help.']",0,Reviewed; no issues found.,True,0
5407,"i still believe it is so, all these formulas, conversions, and isolation thinking, makes it very hard for me to determine.","['It is a very much needed course for my major. If I am to be in the medical field, I would of course, have to take science classes and prevail. The reason why I am here is because it takes me one step closer to my goal.']",0,Reviewed; no issues found.,True,0
8199,an example of me using this once i become a doctor is if my patient was in a car accident.,"['My main reason for taking this class is to prepare myself for my future studies and eventually my future career goals. After receiving my bachelors degree I hope to continue on to medical school, where I will eventually become a doctor.']",0,Reviewed; no issues found.,True,0
7639,so this semester i needed something to change so i've decided to go back to what worked for me in the past.,"[""My very first semester at San Francisco State University I took a total of 3 SCI courses and it was my best semester GPA to date. Since that semester my GPA has not been as good. It was that first semester that has been holding my overall GPA over a 2.0 average. So this semester I needed something to change so I've decided to go back to what worked for me in the past.""]",0,Reviewed; no issues found.,True,0
4284,i also need a certificate to get into dentistry school.,"['This question can have an honest and straightforward answer, which is because this class is a requirement for my degree. Therefore, I must complete and pass this class because I need it to receive my diploma. I also need a certificate to get into dentistry school. Why do I need a dentistry school? Because I always dreamt of becoming a dentist; therefore, this class and all my other classes have a significant impact on my life.']",0,Reviewed; no issues found.,True,0
2501,"often times in the super 'stem' classes like bio or chem, the kids are so competitive and it becomes this glorified competition, not about that.","[""Pertaining to why i'm in this class, it's a G.E. that isn't super STEM based but still fills a lab requirement."", ""I originally came for Journalism, but too one class and absolutely hated it. Now i'm in Comm, Asian American Studies, and Political Science classes and I feel more purposeful not only at the school but in the city.""]",0,Reviewed; no issues found.,True,0
4839,i was never good at physics and usually get very frustrated.,"['I am in physics 112 becasue it is a corequisite for physics 111. I have to take these classes for my BIology major, as it is a requirement.']",0,Reviewed; no issues found.,True,0
6514,i am here because i want to succeed in chem 215.,"['I am here because I want to succeed in Chem 215. I have taken Sci classes before for Bio 230 and 240 and they really helped me, especially when preparing for exams. I try to take a sci class every semester because I have trouble focusing and understanding the professor since it is more fast paced and the class is big so its hard to have that one on one.']",0,Reviewed; no issues found.,True,0
2434,the simplest answer is that i'm in this class because physics is a requirement for cs. but i just had an interesting conversation with a classmate about why its a requirement.,"[""The simplest answer is that I'm in this class because physics is a requirement for CS.""]",1,"Matches Navigational theme: systemic navigation, temporal markers.",True,1
7293,ive this same journal for every sci class i have ever taken.,"['I am in this class to help me understand more, and pass Cell bio, so that I may go on to take my upper division electives, and graduate from this school.']",0,Reviewed; no issues found.,True,0
4785,i'm here because this is the requirement.,"[""I'm here because this is the requirement.""]",1,"Matches Navigational theme: systemic navigation, temporal markers.",True,1
3865,i always hated physics back in high school.,"[""I was in high school when I decided to pursue my studies in the United States. I always wanted to study abroad. I wanted to experience a new environment and a new schooling system. To be precise I am taking this class because it's a prerequisite for my course. I am a biochem major and I am looking forward to becoming a pharmaceutical scientist.""]",0,Reviewed; no issues found.,True,0
4908,i am currently a pre bio major planning to concentrate in physiology.,"[""I am here taking this course because it is a requirement for my major. I am currently a pre bio major planning to concentrate in physiology. Despite it being required, I am also here to learn just like for any of my other courses, whether they are required GE's or required for my major. I have taken physics before during my junior year of high school, but if Im being honest, it wasnt exactly the best. As for why I'm here at SFSU, I am here because it seemed like a school with a lot of diversity and opportunities. Also it is relatively close to my home here in the East Bay of California. I am here in the East Bay because it is where I was born and raised my whole life. Most of my friends and family are here as well.""]",0,Reviewed; no issues found.,True,0
4459,i think physics is important and can be seen throughout someones day.,"['I am taking Physics 111112 because it is a requirement for my degree. When I took physics in high school, I really liked the class and found it to be really interesting. So I am excited to be taking it again but a little nervous since I have not dealt with this subject in like 3 years.']",0,Reviewed; no issues found.,True,0
