essay,label,phrase
"I decided to take Sci 111 because I struggled with physics in high school. I barely managed to pass high school physics and I felt I learned nothing. I am someone who loves interacting with people, and I like working in groups. I feel like it is much easier to find a solution to a problem if lots of minds are put together. Sci provides the opportunity to interact with a diverse group of students who all come from different backgrounds, who all bring different perspectives and ideas. I hope to pass physics this semester but most importantly I hope to understand the concepts I am learning. I enjoy learning new things everyday. I am someone who is very curious and has always asked questions. I guess I try to understand the world around me and understand how things work. Science is a subject I have always found interesting, but difficult. It was not until, I started college that I realized my passion for biology, and decided to major in biology. I used to always be a quitter, and very early on in high school I decided that I was not smart enough to understand science but I have learned that dedication, passion, and hard work are key.",0,['0']
"I am here because I know I want to do well in this Physics class. I have had the same problem with school since I was a child and that is to stay focused on myself and my future. I tend to get so distracted by the fun things in life and forget that the hard stuff is what will define my future. I want to make sure that I take advantage of the blessing that is getting education. I am at a point in my life where I only have one goal and that is to do well in school, so that I can later go into a profession where I feel happy and satisfied with my life. My biggest fear is to be filled with regrets in old age. I would hate to have wasted the opportunity that is life. I still have a lot of power in my hands in terms of what I want to do with my future. So, I am here because I want to learn physics, get a good grade in physics, and excel in my studies so that I can one day go into the stem field and help other people. When I have done these things, I know that I will be content with the life that I lived.",0,['0']
"I am here because I am dedicated to my success in my STEM based courses. I am here because Im not afraid to ask for help and guidance. Im here because I want to be apart of a new community. I was apart of a SCI course last semester and I loved how helpful the instructors were. I felt comfortable with them and it gave me time to ask specific questions that I had and have something close to a one on one explanation. SCI allows a welcoming atmosphere where I can be helped by the instructors or my peers and we as a unit are able to solve problems. A lot of the time I feel uncomfortable Im my regular stem classes because I feel that I may be the only one not understanding. I also know that the time allotted for the professors are not enough to begin with. At the SCI classes, we usually go over worksheets that answer my questions. Im here because I want to be. You so know that the time allotted for the professors are not enough to begin with. At the SCI classes, we usually go over worksheets that answer my questions. Im here because I want to be. I am here for my parents and my family. I am here for my family members who could not make it this far. I here to show those family members that they can be here too. Im here for all the little colored girls who do not have positive figures to look up to in their communities.",1,['Im here for all the little colored girls who do not have positive figures to look up to in their communities.']
"I signed up for this SI class because this is the first physics class Ive ever taken. I figured that it would help me really understand the base concepts of physics. This gives me the understanding that Ill need should I decide to pursue further physics knowledge and give me the concepts that Ill need to know for my major. So far, Ive been learning better and have gotten a better grasp on how to solve problems and Ive learned through explanation and by teaching other people myself. My class is a little slower paced, so the SI class gives me at the very least an introduction to a topic that we havent gone into depth on in my lecture. Im here to make friends and a study group. Ive noticed that this semester specifically Im a lot more outgoing with talking to people. Im not sure what it is, whether Im more confident, or if I just dont give as much of a shit. It definitely makes life a little easier, having classmates to talk to ant work with, or reach out for help outside of class. I have a pretty tight group of friends at home that I live with. Weve been bros for a few years now, and we all work together and just mess around all the time. It will be nice to have friends outside of this group too. I wanted to take this SI class so that I can be more confident in my physics skills so that I dont have to focus as much on my grades. If Im not worried about my classes, then I can be even more supportive to my girlfriend. Shes trying to go to med school and needs all the help she can get. I want to be as supportive as I can for her. By taking the time to make sure that I dont fall behind in my classes, I can really make sure I can devote more time to helping her with whatever she needs. Im here to really learn physics so that I dont have to catch up later.",0,['0']
"I chose to be in this class because no matter how smart you are, no matter how much you know in the course you think you are doing the best at, there is always room for improvement. Theres always space to open your doors for more room for knowledge. I am all about learning and wanting to do better and better in all that I do and I know this course is perfect for that. I know it is called a supplemental course to help us do better in a certain class, but I like how it is open to everyone even if you get 100 on every exam or quiz or whatever it is that you do in that class. Another reason I am here is because I want to be able to help others by learning something myself. I feel like this opens opportunities to be friends with someone who is on the same path as you and this is an easy way to get to know others around you and to be able to surround yourself with others who are just like you. I am very grateful and blessed to even be able to take such a course.",0,['0']
"My name is student name. I am a dualmajor at San Francisco State University. My majors are philosophy and biology, with a concentration in physiology. I am eager to delve into research and development, using my biology, philosophy and risk management professional skills in lifesciences. I also like to rock climb and I teach rock climbing as well as an American Mountain Guide Instructor (AMGA). In my off time, I like to perform music with friends on stage and I have been playing guitar and bass for 13 years. I also really enjoy photography. I picked up photography from my dad when I was little and have been taking photos ever sinceits my way of journaling and I find it very therapeutic. In highschool I originally wanted to study theatre, but eventually joined a health academy and acquired 400 plus hours towards medical school interning as a student. Although I changed my direction career wise, I am asked to this day by students to act in their films and script readings at SFSU. It has been nice to find a balance in my hobbies and career goals this semester; The unexamined life is not worth living.",0,['0']
"I am here in the sci class because I would like to be pushed to dedicate time for focusing on physics. In the sci class, we do practice problems, and work that keeps me focused on physics. I am able to teach the concepts to other people and that makes me learn the concepts more as well because I am recalling them and using nothing to reference, but my brain, on what to do. I think I am also here because if I did not have a regular class to sit me down and do my work I would be less motivated and less likely to do it. This is because I prioritize what I want to do over my homework assignments because they tend to learn the concepts and feel of the homework is almost useless if I already know what I'm doing in prepared for the quiz or test for example. I do think practice and experience doing homework even if you fully understand the concepts is beneficial, but I don't spend my time unless forced to like a sci class. This class is a way for me to spend that time I need to further my success in the class and hold myself accountable.",0,['0']
"I don't know if this question is pertaining to why am I here at San Francisco State University or why am I here in this class. I am going to answer both. I am here at San Francisco State University because I wanted to be able to be far from home, but not too far. A one hour airplane trip back home, 7 hour drive. I wanted to experience a different environment and a different culture because not everything done in SoCal is done in NorCal. I am in college specifically to pursue my one and only career which is to be a veterinarian. Getting declined from UC Davis because they have a great vet program lead me over here where I can get my degree then try UC Davis later. I am here to get my degree, network, and to make great friendships. Why am I here in this Sci 111 course? I am in this course because I am new to physics I never took physics in high school because I was told it can mess up my GPA. Hearing that I already knew it would be a challenging course. I am in the course to get more help with understanding the concept and formulas of physics because the first class was very confusing and my professor teaches very fast. What I hope to get out of this Sci class is a clear understanding of how to solve and physics problem and be confident that I know how to do it.",0,['0']
"I am here because I am. My parents created me, I had no say in the matter, nonetheless I'm glad I happened. And so it just happens to be the case that I am here that's my answer to the why. Its sufficient to say that there is no direct reason for me being here, because I will never know the truth to this question. How can one know why they are here? For the sake of answering questions that might appear as a result of such an answer that I have provided; I will indulge thee with hypotheticals. People make claims based on their emotivist (emotional intuition if you will) beliefs that we are here because we have a purpose. This is a popular belief, but not derived from logic. I am not saying it is a wrong belief to have, this area of intelligence and it's true value are impossible to record by mankind which is saying something in itself. It may even be associated with a spiritual intelligence. However, similarly if you asked a dog to recite a poem in English you would come to the same conclusion it would. That is to say, we lack the skills to solve such a metaphysical question. The tools necessary in determining why I am here can only be answered in asking who caused me to be here, then, who caused my parents to be here, and so forth and so on. The real question isn't in the metaphysical sense (what I have been describing above), which is the deep question to why I am here. The real question is, what is your reason for being. I answer with, it is my being that gives my existence reason to be. In translation, my answer is relative to the context of my life to come, that the meaning behind my existence comes from what I do with it. To that my expectations are high, wish me luck. Also in the hilarious case that this question was specific to why am I in SCI 111; I am here to learn and be social.",0,['0']
"I am here for many reasons. One of the main reasons i am here is to get an education. After college i want to go onto medical school to become a neonatal surgeon. I can only achieve this dream if I have an education. I personally believe that an education is the key to success. Having an education opens up doors that you would not be able to access if you didnt have an education. Being here at San Francisco state gives me an opportunity to get an education. Secondly, I am here to make friends and experience new things. San Francisco is a really good place to explore new concepts and get to know new people. Finally I am here to find myself. Being away from home in a new city has taught me so many things especially about myself. I have learned that i am capable of more than i thought I was. I have learned a lot since being here and i cant wait to learn more not only about myself, but about becoming a doctor as well as learning new things in the world. I am very lucky to be at San Francisco state because not everyone is able to get a college education.",0,['0']
"Im not really sure what the question is asking. Im in this class right now because I am bad at physics and I knew I needed help. Im in San Francisco because I knew that it would be good for me to go to school away from home. This is my first year out of the dorms and living in a house with my friends and I feel so happy about that. It really is such a crazy feeling to know that I live in a house with only my friends and that we are responsible for keeping it clean and what not. This is also my first week of working a new job and it is fun because I work with some of my friends. It is all the way in the financial district, but it is worth it because everyone is super nice and I only work three days a week because they were so understanding about my school schedule. This past weekend I spent 8 plus hours a day in heels for recruitment and it hurt super bad but it was so worth being able to talk to all the girls and welcome new sisters. I am nervous for the upcoming weeks because that means I need to find a little and I know that comes with a lot of stress and crafting, which I will have to do with work and school. But, I am mostly excited because this should be a fun process.",0,['0']
"The reason for taking Sci is that I may be able to understand the concepts of physics and the subject itself to the best of my abilities. I have heard that the course itself is intense. I have never taken a physics class. With that being said, I find it important to take an hour of my time to attend this class so that I may fulfill my goals for physics. Sometimes I learn better when other people explain rather than teachers. And to be fair, I could use the extra boost for my GPA. My instructor quickly lists the main points of the topic and quickly moves to other topics. I find this ok but also not very effective to my understandment. I think sci would definitely enhance my learning abilities but also my academic selfesteem since I wont be the only student struggling with the subject. As the pace starts to pick up, I find Sci to be somewhat useful. There are things I havent learned and I found last sci class to be quite difficult. But there were als things I learned that were discussed later on the week. I look forward to learning and understanding physics throughout the semester.",0,['0']
"I am here because one I never took this in high school so I was new to physics and two I am retaking this class. I have found physics to be very difficult and I am hoping this class will help me pass physics. I dont want to fail again and I also would like to understand it. I know its important to know on the MCAT. I want to be able to know about some physics to help me pass that test. I also think this class is a good opportunity to create study groups and make new friends in my major. You learn more when you teach others how to do something or if youre learning by another student who is taking the same class. I also feel like it was a good idea for me to take this class because it will help me understand physics a lot better. Physics isnt an easy subject to learn. A lot of people have told me they had to retake it. It is my weakness in school. I am a big fan of math but for some reason physics doesnt stick to my brain. Im hoping this time around, it will work out for me.",0,['0']
"I an here at SFSU for 2 reasons. My family is very bug on education, so everyone generally aspires to go to college. I never thought I had an option not too. It was always in my head after K12, boom you go to college and become an ""adult"". For me personally, I am here to learn more about STEM so I can gain the tools to equip me for medical school. Career wise I'm not sure what I want to do, but I definitely want to work with medicine. The second reason why I am here at SFSU is because of my parents. I originally wanted to move to LA or San Diego, San Diego state was originally my first choice. Growing up I thought I could get into those top school's like Harvard, but my grades didn't reflect that. But why I ended up here at SFSU is because my parents didn't want me moving up to SoCal, and my only choices were school's up here. So I thought SFSU was the best school to go to out of those options. But overall, mainly I want to make a difference in the medical community and use my skills to help others.",0,['0']
"I am here to learn more about physics. I come here to achieve the skills needed to solve physics problems, all sorts. I need to be able to remember, comprehend, and manipulate various formulas. I come here to learn more about concepts that physics has in general. I also need physics to get into the medical school I want to get into, but I really enjoy physics and the challenging problems it brings. I am also here to get my general education done. Most importantly, I am here because I want to understand more about physics because my grandfather was a physics professor and also taught at UC Berkeley. I am here to understand measurements, calculations, and various types of problems that specialize in different laws of gravity. I am here to build a life for myself and am starting with getting a good grade in physics, and this class will hopefully enable me to do so. I am here to get a degree. I am here to enjoy my life in a part of the world that is still somewhat new to me. I am here because I want to experience adulthood and life on my own. I am here to start my life.",0,['0']
"I decided to take this class primarily to get a better grade in Physics 111; I have never attempted a physics class, so conceptually this is all very new to me. I always hear about people taking a physics class in high school; I wish I could have been that fortunate! I feel like being present in this class will help me better understand physics conceptually and mathematically. I do not have a strong background in mathematics; despite being given formulas I have a difficult time understanding the ultimate purpose of the formula, as in what it is meant to prove, and I end up getting confused and frustrated with the material. I hope my attendance will help with understanding the material and being able to correctly calculate the various problems. I also hope that attending this course will broaden my conceptual comprehension of physics. I do not want to be stumped on a problem because I cannot imagine what it is supposed to look like or what it is meant to represent. I am terrified of the upcoming exams in physics; I am hoping that coming to this class will help build my confidence and help me to understand how to look at the problems and determine what factors I need to answer the question.",0,['0']
"I'm here because I'm afraid of failing physics and I'm hoping this class will help me succeed in passing it. It's like this fear I have about failing classes after I failed like two classes. I also took my friend with me, Devin because we're in same physics class so I won't be alone. I also hope this class will help me understand physics more by just practicing more problems. I also want to meet new people so we can all study together and help each other. So far this class has been surprisingly fun and I actually learned a lot that helps me with the class. I learned how to manipulate the equations that will help me in physics. I actually meet some cool people so far, like name 1 and name 2. And I like how open we are and the teachers are really good. Name 3 and name 4 are also pretty cool, they're very open and will help in any way they can. Maybe this class will also help in my life in general, to do work harder and work with a group better. Basically, I'm learning some life skills with this class. Well yeah, that's pretty much it that's why I'm taking this class.",0,['0']
"I am here for a lot of reasons. I went into physics pretty confident that I was going to do well, but after the first class my confidence flew down. My professor mentioned something about a sci class when it first started but I did not even think about taking the class. It was not until someone came in our physics lecture and started explaining the sci course. The reason I did not think about taking it at first was because my professor did not explain it very well and I had never even heard of a sci course. When someone came in and started to explain what it is and how it can really help you out, I figured why not. It does not hurt to get extra help and honestly it is an easy A that is one unit. So, I scammed my friend to come with me to the first class because I did not want to go alone. I wanted to feel it out and see how the energy was. At first, I thought that I was not going to get the help that I needed, but the last class we had changed my opinion because it ended up being really helpful. I am glad I joined this sci course and excited to see how this year goes.",0,['0']
"Throughout my entire life I have dreamt about working in the medical field. I am here to make those dreams come true. It started as one of those careers that elementary school kids talk about when their teacher asks them what they want to be in the future, and my answer was always a brain surgeon, because how awesome does that sound. But this dream ended up sticking with me for the duration of my educational career and is the reason that I am attending San Francisco State today. Unfortunately I no longer want to be a brain surgeon, but I have finally decided that I want to study anesthesiology. I find the field to be very interesting to me and I can see myself enjoying it for the rest of my life. However, I need to make it through a long hard path of schooling to chase this dream. Throughout my educational career I have easily succeed in biology and chemistry courses because they comes naturally to me. Math always gives me a little trouble, but I get a hang of it after pushing myself to do the best I can. But then there's physics. I have never taken a physics course in my life and it makes me very anxious because there are a number of people that have seen what we are covering previously and I have never seen any of it. This is why I decided to sign up for SCI 111 and receive the extra help I knew was necessary in order for me to pass this class. I have heard nothing but good things about these classes, and so far what I have heard is true. I am here to build off of what we learn in class, ask questions about topics that I am not understanding, and to build study groupsrelationships with my fellow peers. Looking forwards to a great and productive semester.",0,['0']
"I am in this class because I am not good at math. I have been in a sci class before for chemistry 1 and it helped me almost get an A in my class. I know physics is very math heavy and conceptually confusing, so I knew sci would be perfect for me this semester. I also have to take physics 2 next semester so I would like to have a firm understanding of the basic concepts before they get even more complicated. This class is a great way of studying and making friends that I can study with! I have already made a group to study with, we all have different teachers and can help each other figure out things one teacher might have focused on more than another. This class also allows us to concentration on the topics we did not understand in the class. It allows us to dig deeper into each subject and truly understand the things we might have missed before. I hope that by the end of this semester that I can get a better grade than without the sci classes help, and be able to go into physics 2 with confidence and the knowledge needed to do well there as well. (And if not I will just come back to sci and get some extra help)",0,['0']
"I am in the Physics 111 supplemental course because I had failed Physics 111 in the past spring semester. The reason of this is because I began to slack off towards the end of the semester because I was barely coasting by the course with a decent grade and as the course became harder and the longer I did not reach out for help. I ended up just giving up on passing the class. I am in SCI 111 so I can keep myself motivated to do better, improve, and gain a better understanding on what is going on in my Physics class. I am in SCI so I can meet people that have the same goal as me, which is to pass the class and understand it well enough to pass Physics 121. I would like to get to know more people in the class so that we can form a study group and not only study but complete homework together as well. I hope that through SCI I will also be able to grow as an individual. In this case I am referring to not being afraid of asking for help when I desperately need it. This is because math and science has usually always clicked with me and because physics does not click in my head automatically without lots of thinking I become stressed and worried that I will never be able to understand the material enough to pass the class.",0,['0']
"The reason why I am here today, in this class is to get a better understanding of what physics is. This class, will help me strive and understand concepts that my professor has taught me during the week. If I do not understand a topic, then I would go to this class and ask my questions and get more help until I completely understand what is being taught. This class gives us more practice problems to help prepare us for exams and this is why I enjoy being there. I also am here because I know that I am not the only one who is struggling, and seeking help. When I am in that room, I feel comfortable to ask my questions without having anyone judge me because I did not understand a topic that was taught by my professor. When I am around my peers in that classroom, I sense a connection and I know that they want what I want, which is to understand physics and pass the class with a good grade. With all of this being said, I am here because I care for my grades and I want to be successful. I believe that this class will help me accomplish that task, and help me be more prepared for what is to come in the future.",0,['0']
"Im in SCI to better my understanding of physics. I took physics in high school and was absolutely in love, but as we all know high school courses are not the same as college courses. Chemistry has been kicking my butt since I first got to college and with that I was really afraid to start my physics requirements. So far into the course, I believe its a lot of visualizing, but chemistry is a lot of visualization as well so I believe Im ready. Ive took SCI in the past and realized it is also a really great way to make new connections from which you can form study groups or just friends in general. Im really hoping to make more of those connections this semester. The professors for the SCI courses are usually good resources to help find programs as well or to even make the time to stay longer to help you with a problem. Ive enjoyed all of my SCI courses and all in all just college too. Its been a great experience to see that even helping one student with their work could be very rewarding and I might think of becoming a SCI professor in the future as well.",0,['0']
