Alma ID,Essay: Why I am here?,Navigational
F18.SCI111.03.01,"This is question is super vague. To start of, I am here in this world because my mom wanted a child, specifically a daughter. I am here in this school because I did not want to go in to debt after college so I chose to go to San Francisco State University and not University of California, Santa Cruz, like I wanted to. I got into other California State Universities as well, but I was more familiar with San Francisco State because I've done an art exhibition here once and I knew a bunch of people in my after school program from my middle school that I admire that went to San Francisco State and I knew it was a pretty decent school. I am here in this class specifically because it's been almost six years since I've been in a Physics class and I know I am going to need all the help I can get. I have taken SCI courses for my other science and math classes, and I have learned a lot from my SCI instructors regarding class material. Along with this, SCI is also an easy way for me to get an A and boost my GPA. "," I am here in this school because I did not want to go in to debt after college so I chose to go to San Francisco State University and not University of California, Santa Cruz, like I wanted to. I got into other California State Universities as well, but I was more familiar with San Francisco State because I've done an art exhibition here once and I knew a bunch of people in my after school program from my middle school that I admire that went to San Francisco State and I knew it was a pretty decent school."
F18.SCI111.03.02,"I am in this Sci 111 class, because I have never taken physics in high school and I know that physics requires a lot of math in which I am very weak in. I hope to receive a lot of practice problems, since I learned better by doing than just watching. I also really want to understand the basic concepts of physics, because I will be taking physics 2 next semester. Since I have never taken any kind of physics class, the topic does kind of scare me, and knowing that it’s based on algebra, trigonometry, and geometry does make me nervous. Even though physics it not necessarily part of my biology major, I do believe it explains a lot of what happens in the universe. It’s also comforting that people are in the same boat as me in needing additional help. To be completely honest, I prefer just sitting down in groups and try to work on the problems together rather than moving around from table to table. Focusing on problems with a small amount of people feels more productive to me personally. Basically my main point in being in this class is to get more practice in and to make me less nervous in solving certain problems. ","I am in this Sci 111 class, because I have never taken physics in high school and I know that physics requires a lot of math in which I am very weak in. I hope to receive a lot of practice problems, since I learned better by doing than just watching. I also really want to understand the basic concepts of physics, because I will be taking physics 2 next semester. Since I have never taken any kind of physics class, the topic does kind of scare me, and knowing that it’s based on algebra, trigonometry, and geometry does make me nervous. "
F18.SCI111.03.03,"The reason why I am here is because I want to achieve more out of life. I started working right out of high school and it took me a few years to really gain the motivation to go back to school and transfer from my community college. Initially, my motivation was very revolved around myself and proving others wrong, but eventually that motivation bloomed into proving to myself that I can and will continue to improve myself not only through school, but through life as well. I am taking this sci class (aside from the fact that it is mandatory for me), because I really need that extra push to set aside time to focus on strengthening my knowledge in physics. Although I am not a physics major, I need this class and physics 2 in order to get my undergraduate degree. I am also here for my family; more specifically my parents, but my entire family has been such a solid support system for me that I need to do this for them too. My parents have never forced me to do anything I didn’t want to do, but always supported the career choices or academic choices I decided on.","I need this class and physics 2 in order to get my undergraduate degree /%/I started working right out of high school and it took me a few years to really gain the motivation to go back to school and transfer from my community college. Initially, my motivation was very revolved around myself and proving others wrong, but eventually that motivation bloomed into proving to myself that I can and will continue to improve myself not only through school, but through life as well. "
F18.SCI111.03.04,"Why am I here? I guess that's a question I ask myself pretty frequently. Not in the literal sense of ""Why am in this class."" The answer to that is simple, If i'm in SCI then I'll probably get a good grade in physics and a good grade in physics translates to a good GPA, and that will matter when I want to go to med school. But in more of a metaphysical sense... like why are WE here, and I think that is a question that does require more thought. Why do we exist? In the grand scheme of things we're tiny insignificant particles in this potential multiverse... you might not even be the BEST version of YOURSELF. But still we or I continue to act like these smaller things seem to matter. And my theory for that is that we DO exist for a reason. We exist because we have the potential to create great change. Think about it geniuses like Einstein or Sports phenoms like Lebron James matter to US. Even though they have nothing to do with us we admire them because of their will and their potential to or ability to do things we hadn't seen before. That is what I believe the purpose of humanity is, to have the potential to change and ultimately live up to that potential is probably THE MOST IMPORTANT thing anyone can do. And because of that I believe the reason we exist is or the reason we are ""here"" is to live up to our potential.","If i'm in SCI then I'll probably get a good grade in physics and a good grade in physics translates to a good GPA, and that will matter when I want to go to med school. "
F18.SCI111.03.09,"I  am here because I am dedicated to my success in my STEM based courses. I am here because I’m not afraid to ask for help and guidance. I’m here because I want to be apart of a new community. I was apart of a SCI course last semester and I loved how helpful the instructors were. I felt comfortable with them and it gave me time to ask specific questions that I had and have something close to a one on one explanation. SCI allows a welcoming atmosphere where I can be helped by the instructors or my peers and we as a unit are able to solve problems. A lot of the time I feel uncomfortable I’m my regular stem classes because I feel that I may be the only one not understanding. I also know that the time allotted for the professors are not enough to begin with. At the SCI classes, we usually go over worksheets that answer my questions. I’m here because I want to be. You so know that the time allotted for the professors are not enough to begin with. At the SCI classes, we usually go over worksheets that answer my questions. I’m here because I want to be. I am here for my parents and my family. I am here for my family members who could not make it this far. I here to show those family members that they can be here too. I’m here for all the little colored girls who do not have positive figures to look up to in their communities. ", I was apart of a SCI course last semester and I loved how helpful the instructors were. I felt comfortable with them and it gave me time to ask specific questions that I had and have something close to a one on one explanation.
F18.SCI111.03.10,"I signed up for this SI class because this is the first physics class I’ve ever taken. I figured that it would help me really understand the base concepts of physics. This gives me the understanding that I’ll need should I decide to pursue further physics knowledge and give me the concepts that I’ll need to know for my major. So far, I’ve been learning better and have gotten a better grasp on how to solve problems and I’ve learned through explanation and by teaching other people myself. My class is a little slower paced, so the SI class gives me at the very least an introduction to a topic that we haven’t gone into depth on in my lecture. I’m here to make friends and a study group. I’ve noticed that this semester specifically I’m a lot more outgoing with talking to people. I’m not sure what it is, whether I’m more confident, or if I just don’t give as much of a shit. It definitely makes life a little easier, having classmates to talk to ant work with, or reach out for help outside of class. I have a pretty tight group of friends at home that I live with. We’ve been bros for a few years now, and we all work together and just mess around all the time. It will be nice to have friends outside of this group too. I wanted to take this SI class so that I can be more confident in my physics skills so that I don’t have to focus as much on my grades. If I’m not worried about my classes, then I can be even more supportive to my girlfriend. She’s trying to go to med school and needs all the help she can get. I want to be as supportive as I can for her. By taking the time to make sure that I don’t fall behind in my classes, I can really make sure I can devote more time to helping her with whatever she needs. I’m here to really learn physics so that I don’t have to catch up later. ","I signed up for this SI class because this is the first physics class I’ve ever taken. I figured that it would help me really understand the base concepts of physics. This gives me the understanding that I’ll need should I decide to pursue further physics knowledge and give me the concepts that I’ll need to know for my major. /%/ So far, I’ve been learning better and have gotten a better grasp on how to solve problems and I’ve learned through explanation and by teaching other people myself. "
F18.SCI111.03.14,"I don't know if this question is pertaining to why am I here at San Francisco State University or why am I here in this class. I am going to answer both. I am here at San Francisco State University because I wanted to be able to be far from home, but not too far. A one hour airplane trip back home, 7 hour drive. I wanted to experience a different environment and a different culture because not everything done in SoCal is done in NorCal. I am in college specifically to pursue my one and only career which is to be a veterinarian. Getting declined from UC Davis because they have a great vet program lead me over here where I can get my degree then try UC Davis later. I am here to get my degree, network, and to make great friendships. Why am I here in this Sci 111 course? I am in this course because  I am new to physics I never took physics in high school because I was told it can mess up my GPA. Hearing that I already knew it would be a challenging course. I am in the course to get more help with understanding the concept and formulas of physics because the first class was very confusing and my professor teaches very fast. What I hope to get out of this Sci class is a clear understanding of how to solve and physics problem and be confident that I know how to do it.", I am in this course because I am new to physics I never took physics in high school because I was told it can mess up my GPA. Hearing that I already knew it would be a challenging course. I am in the course to get more help with understanding the concept and formulas of physics because the first class was very confusing and my professor teaches very fast. What I hope to get out of this Sci class is a clear understanding of how to solve and physics problem and be confident that I know how to do it.
F18.SCI111.03.16,"I am here for many reasons. One of the main reasons i am here is to get an education. After college i want to go onto medical school to become a neonatal surgeon. I can only achieve this dream if I have an education. I personally believe that an education is the key to success. Having an education opens up doors that you would not be able to access if you didn’t have an education. Being here at San Francisco state gives me an opportunity to get an education. Secondly, I am here to make friends and experience new things. San Francisco is a really good place to explore new concepts and get to know new people. Finally I am here to find myself. Being away from home in a new city has taught me so many things especially about myself. I have learned that i am capable of more than i thought I was. I have learned a lot since being here and i cant wait to learn more not only about myself, but about becoming a doctor as well as learning new things in the world. I am very lucky to be at San Francisco state because not everyone is able to get a college education. ",I personally believe that an education is the key to success. Having an education opens up doors that you would not be able to access if you didn’t have an education. Being here at San Francisco state gives me an opportunity to get an education.
F18.SCI111.03.18,"The reason for taking Sci is that I may be able to understand the concepts of physics and the subject itself to the best of my abilities. I have heard that the course itself is intense. I have never taken a physics class. With that being said, I find it important to take an hour of my time to attend this class so that I may fulfill my goals for physics. Sometimes I learn better when other people explain rather than teachers. And to be fair, I could use the extra boost for my GPA. My instructor quickly lists the main points of the topic and quickly moves to other topics. I find this ok but also not very effective to my understandment. I think sci would definitely enhance my learning abilities but also my academic self-esteem since I won’t be the only student struggling with the subject.  As the pace starts to pick up, I find Sci to be somewhat useful. There are things I haven’t learned and I found last sci class to be quite difficult. But there were als things I learned that were discussed later on the week. I look forward to learning and understanding physics throughout the semester.","I have heard that the course itself is intense. I have never taken a physics class. With that being said, I find it important to take an hour of my time to attend this class so that I may fulfill my goals for physics."
F18.SCI111.03.19,"I am here because one I never took this in high school so I was new to physics and two I am retaking this class. I have found physics to be very difficult and I am hoping this class will help me pass physics. I don’t want to fail again and I also would like to understand it. I know it’s important to know on the MCAT. I want to be able to know about some physics to help me pass that test. I also think this class is a good opportunity to create study groups and make new friends in my major. You learn more when you teach others how to do something or if you’re learning by another student who is taking the same class. I also feel like it was a good idea for me to take this class because it will help me understand physics a lot better. Physics isn’t an easy subject to learn. A lot of people have told me they had to retake it. It is my weakness in school. I am a big fan of math but for some reason physics doesn’t stick to my brain. I’m hoping this time around, it will work out for me.",I am here because one I never took this in high school so I was new to physics and two I am retaking this class. I have found physics to be very difficult and I am hoping this class will help me pass physics. I don’t want to fail again and I also would like to understand it. I know it’s important to know on the MCAT
F18.SCI111.03.21,"I am here to learn more about physics. I come here to achieve the skills needed to solve physics problems, all sorts. I need to be able to remember, comprehend, and manipulate various formulas. I come here to learn more about concepts that physics has in general. I also need physics to get into the medical school I want to get into, but I really enjoy physics and the challenging problems it brings. I am also here to get my general education done. Most importantly, I am here because I want to understand more about physics because my grandfather was a physics professor and also taught at UC Berkeley. I am here to understand measurements, calculations, and  various types of problems that specialize in different laws of gravity. I am here to build a life for myself and am starting with getting a good grade in physics, and this class will hopefully enable me to do so. I am here to get a degree. I am here to enjoy my life in a part of the world that is still somewhat new to me. I am here because I want to experience adulthood and life on my own. I am here to start my life.", I also need physics to get into the medical school I want to get into /%/ I am also here to get my general education done. 
F18.SCI111.03.22,"I decided to take this class primarily to get a better grade in Physics 111; I have never attempted a physics class, so conceptually this is all very new to me. I always hear about people taking a physics class in high school; I wish I could have been that fortunate! I feel like being present in this class will help me better understand physics conceptually and mathematically. I do not have a strong background in mathematics; despite being given formulas I have a difficult time understanding the ultimate purpose of the formula, as in what it is meant to prove, and I end up getting confused and frustrated with the material. I hope my attendance will help with understanding the material and being able to correctly calculate the various problems. I also hope that attending this course will broaden my conceptual comprehension of physics. I do not want to be stumped on a problem because I cannot imagine what it is supposed to look like or what it is meant to represent. I am terrified of the upcoming exams in physics; I am hoping that coming to this class will help build my confidence and help me to understand how to look at the problems and determine what factors I need to answer the question.","I decided to take this class primarily to get a better grade in Physics 111; I have never attempted a physics class, so conceptually this is all very new to me. I always hear about people taking a physics class in high school; I wish I could have been that fortunate! I feel like being present in this class will help me better understand physics conceptually and mathematically. "
 F18.SI.111.04.01,"Throughout my entire life I have dreamt about working in the medical field. I am here to make those dreams come true. It started as one of those careers that elementary school kids talk about when their teacher asks them what they want to be in the future, and my answer was always a brain surgeon, because how awesome does that sound. But this dream ended up sticking with me for the duration of my educational career and is the reason that I am attending San Francisco State today. Unfortunately I no longer want to be a brain surgeon, but I have finally decided that I want to study anesthesiology. I find the field to be very interesting to me and I can see myself enjoying it for the rest of my life. However, I need to make it through a long hard path of schooling to chase this dream. Throughout my educational career I have easily succeed in biology and chemistry courses because they comes naturally to me. Math always gives me a little trouble, but I get a hang of it after pushing myself to do the best I can. But then there's physics. I have never taken a physics course in my life and it makes me very anxious because there are a number of people that have seen what we are covering previously and I have never seen any of it. This is why I decided to sign up for SCI 111 and receive the extra help I knew was necessary in order for me to pass this class. I have heard nothing but good things about these classes, and so far what I have heard is true. I am here to build off of what we learn in class, ask questions about topics that I am not understanding, and to build study groups/relationships with my fellow peers. Looking forwards to a great and productive semester. ","It started as one of those careers that elementary school kids talk about when their teacher asks them what they want to be in the future, and my answer was always a brain surgeon, because how awesome does that sound. But this dream ended up sticking with me for the duration of my educational career and is the reason that I am attending San Francisco State today. Unfortunately I no longer want to be a brain surgeon, but I have finally decided that I want to study anesthesiology. I find the field to be very interesting to me and I can see myself enjoying it for the rest of my life. However, I need to make it through a long hard path of schooling to chase this dream."
 F18.SI.111.04.02,"I am in this class because I am not good at math. I have been in a sci class before for chemistry 1 and it helped me almost get an A in my class. I know physics is very math heavy and conceptually confusing, so I knew sci would be perfect for me this semester. I also have to take physics 2 next semester so I would like to have a firm understanding of the basic concepts before they get even more complicated. This class is a great way of studying and making friends that I can study with! I have already made a group to study with, we all have different teachers and can help each other figure out things one teacher might have focused on more than another. This class also allows us to concentration on the topics we did not understand in the class. It allows us to dig deeper into each subject and truly understand the things we might have missed before. I hope that by the end of this semester that I can get a better grade than without the sci classes help, and be able to go into physics 2 with confidence and the knowledge needed to do well there as well. (And if not I will just come back to sci and get some extra help) ","I am in this class because I am not good at math. /-/ I know physics is very math heavy and conceptually confusing, so I knew sci would be perfect for me this semester. I also have to take physics 2 next semester so I would like to have a firm understanding of the basic concepts before they get even more complicated."
 F18.SI.111.04.04,"The reason why I am here today, in this class is to get a better understanding of what physics is. This class, will help me strive and understand concepts that my professor has taught me during the week. If I do not understand a topic, then I would go to this class and ask my questions and get more help until I completely understand what is being taught. This class gives us more practice problems to help prepare us for exams and this is why I enjoy being there. I also am here because I know that I am not the only one who is struggling, and seeking help. When I am in that room, I feel comfortable to ask my questions without having anyone judge me because I did not understand a topic that was taught by my professor. When I am around my peers in that classroom, I sense a connection and I know that they want what I want, which is to understand physics and pass the class with a good grade. With all of this being said, I am here because I care for my grades and I want to be successful. I believe that this class will help me accomplish that task, and help me be more prepared for what is to come in the future.","This class, will help me strive and understand concepts that my professor has taught me during the week. If I do not understand a topic, then I would go to this class and ask my questions and get more help until I completely understand what is being taught. "
 F18.SI.111.04.05,"I’m in SCI to better my understanding of physics. I took physics in high school and was absolutely in love, but as we all know high school courses are not the same as college courses. Chemistry has been kicking my butt since I first got to college and with that I was really afraid to start my physics requirements. So far into the course, I believe it’s a lot of visualizing, but chemistry is a lot of visualization as well so I believe I’m ready. I’ve took SCI in the past and realized it is also a really great way to make new connections from which you can form study groups or just friends in general. I’m really hoping to make more of those connections this semester. The professors for the SCI courses are usually good resources to help find programs as well or to even make the time to stay longer to help you with a problem.  I’ve enjoyed all of my SCI courses and all in all just college too.  It’s been a great experience to see that even helping one student with their work could be very rewarding and I might think of becoming a SCI professor in the future as well.",The professors for the SCI courses are usually good resources to help find programs as well or to even make the time to stay longer to help you with a problem.
 F18.SI.111.04.06,"I joined Sci for physics for many reasons. When I first heard the presentation in my physics class I found it super interesting. I knew I had to join this because it was my first time ever taking physics unlike many I never took physics in high school. In high school I had only taken chemistry and biology, however due to my major, Biology, I knew I needed to take all the sciences including physics. My main reason to take Sci like many other students, is so I could receive help for physics to do better in class. I like that I have time to review topics I did not understand in class and ask not only the tutors but peers as well. In addition, I joined because I would like to prepare for upcoming tests as groups and I like that I have a set time to actually sit and work. Personally, I have trouble making time and sitting down to study alone. Having Sci as a class with set times will really positively affect my learning and studying. I think Sci is a really good program because they are up to date what teachers are teaching in lecture and continue reviewing those topics. Also, I see Sci as an opportunity to meet new people. I really enjoy this because I am a freshmen and have yet to adapt to the school. Overall, I am in Sci to extend my knowledge in physics, meet new people, and learn in a fun way.","I knew I had to join this because it was my first time ever taking physics unlike many I never took physics in high school.  /%/ due to my major, Biology, I knew I needed to take all the sciences including physics."
 F18.SI.111.04.07,"I am here because I am a first generation college student and I am interested in the medical field. I have always had a passion to help people and I believe the medical field is the best way to fulfill my passion. I want to show all the minorities that you can do it too. I want to break stereotypes in the workforce to help other people feel more comfortable in the field they want to go in rather than feeling they do not belong. I feel very welcome here at San Francisco State and I believe that this is a very friendly and helpful place to learn especially as a pre-med student with a lot of opportunities that we have available. I feel very blessed to be a part of a community that enriches the growth of learning and works together as one to figure problems out. As a second year, I can not imagine myself being at no other college and feeling very comfortable like I do here to get to my career path in the medical field. Becoming a doctor has been a lifelong dream of mine and I plan on enjoying my journey with amazing opportunities here at SFSU.","As a second year, I can not imagine myself being at no other college and feeling very comfortable like I do here to get to my career path in the medical field."
 F18.SI.111.04.08,"I am in this SCI class in the hopes of getting a really good grade in general physics 1. I am hoping for an A, and I honestly think it is do-able because of all the extra time I am going to be putting in to make sure I understand all the concepts. It will also prepare me for general physics  2, which will hopefully help me down the road somehow when I am in pharmacy school. This is my first semester at SFSU, I am a transfer student from Southern California (Sylmar). I did not know what to expect for my first semester out here so I also decided to enroll in this course for safety measures just to make sure my first semester alone would go by more smoothly.. hopefully. I decided to come to SFSU to spend these last 2 years of my bachelors degree as focused as possible with no distractions to hold me back from reaching my goal. So far the school has been good to me other than the fact that all of my first exams fall on the same week. I plan on applying my full attention in class and going over the worksheets when I am home to further prepare me for my exam. ","It will also prepare me for general physics  2, which will hopefully help me down the road somehow when I am in pharmacy school. This is my first semester at SFSU, I am a transfer student from Southern California (Sylmar). I did not know what to expect for my first semester out here so I also decided to enroll in this course for safety measures just to make sure my first semester alone would go by more smoothly..  hopefully. I decided to come to SFSU to spend these last 2 years of my bachelors degree as focused as possible with no distractions to hold me back from reaching my goal."
 F18.SI.111.04.09,"Why am I here? I'm enrolled in this class so that I have a better understanding of the material taught in my physics class. I'm here to solve practice problems as well as work in groups to help myself as well as the participants in my group. I'm enrolled in the physics lecture class because I want to graduate college and attend medical school. In order to get to medical school, I have to take the MCAT. On the MCAT, there is a whole section dedicated to physics, in order to complete this section, I need to have a deep understanding of physics. My whole reason for being in college is to go to Med school, the classes I take are all classes that I need to complete in order to fulfill my dream of attending UCSF. I want to attend a great medical school so that I can move on to being a trauma surgeon in the future. So to fully answer the question, ""why am I here"", I would have to say I am ultimately here to learn all of the information I need to know to take/ do successful on the MCAT so that I can attend an amazing Medical school so that one day I am able to become an inspiring female trauma surgeon. :))","My whole reason for being in college is to go to Med school, the classes I take are all classes that I need to complete in order to fulfill my dream of attending UCSF. I want to attend a great medical school so that I can move on to being a trauma surgeon in the future. So to fully answer the question, ""why am I here"", I would have to say I am ultimately here to learn all of the information I need to know to take/ do successful on the MCAT so that I can attend an amazing Medical school so that one day I am able to become an inspiring female trauma surgeon. :))"
 F18.SI.111.04.11,"I am here, in this class for a few different reasons. First, I took AP Physics in high school, so I thought I had a good grasp of things that would go on in class. In the original physics section I had, this was not the case. I thought I had a decent understanding of things each day, before going to class, but I found myself leaving class extremely confused. I believe this had a large part due to my Professor having a thick accent. So, I switched sections and added this supplementary course. This turned out to be a great decision. I can understand my professor much better now, so I am understanding the material much better and not struggling along. As for this supplementary course, I have only been in it for one class, and I already think it is my favorite class. I get extra practice and help to understand the problems I have difficulty with and just the material in general. I also have a great time in class, as it is fun to be there and actually enjoyable. This is not really the case for any of my other classes. This is why I am here and I am glad that I am.","First, I took AP Physics in high school, so I thought I had a good grasp of things that would go on in class./-/I thought I had a decent understanding of things each day, before going to class, but I found myself leaving class extremely confused./-/ So, I switched sections and added this supplementary course. "
 F18.SI.111.04.12,"I am taking SCI to expand my understanding of physics. This is my first physics class I have ever taken and so far it has sparked my interest. I never understood the concepts behind phyiscs and now that I’m in this class it’s becoming more and more clear.  Understanding physics also helps me in understand other classes I’m currently taking. It gives details on how the concepts in chemistry work and it also explain why the material I studied in precal and calculus is important. These different subjects are all related which makes learning them at the same time easier and also more fun. I can make analogies in my head easier and I can also explain what I’ve learned a whole lot better. The hardest part of physics so far has been finding out where to start on a problem. I’m hoping that SCI will help me to get started on complex problems which sometimes can scare me from the beginning. Also sometimes the physics question are really vague and I hope SCI can help clear them up for me. For a first time physics student, I sure feel confident that I will be successful in this course because SCI is very helpful and I’m really interested in the material so far. It’s been fun working through the problems and picturing the scenarios.",This is my first physics class I have ever taken and so far it has sparked my interest. I never understood the concepts behind phyiscs and now that I’m in this class it’s becoming more and more clear. Understanding physics also helps me in understand other classes I’m currently taking.
 F18.SI.111.04.13,"Since I have no experience with physics whatsoever, I decided to take SCI 111. I didn’t have a chance to take it during high school and for some reason I feel left behind because of this. Physics is difficult for me and I need all the help that I can to fix my struggle with it. I have so much to study for physics 111 even though the school semester just started. I need help with even the most basic parts of physics. Hopefully, this class can help me overcome my problems and would prepare me for future exams. I mainly need to focus on the formulas that are used and my problem solving skills. I believe that SCI 111 will help me get there. I’ve only been into one class of SCI 111 so far and it is definitely helpful. I was guided to solve problems correctly and more efficiently after just one class. Since this experience, I feel that this class is useful and a privilege for those who are taking physics 111. I hope that this class will not only help me study on my exams, but to also help with homework problems. I tend to have a lot issues when it comes to the homework so hopefully taking this class would help me with that as well.","Since I have no experience with physics whatsoever, I decided to take SCI 111. I didn’t have a chance to take it during high school and for some reason I feel left behind because of this."
 F18.SI.111.04.14,"Why am I here? Well I am a recent transfer student coming from Palm Desert Area and decided that I was coming to SFSU late (early-mid august) so I didn't have much time to pick my classes. I am using this as a class to maintain the proper amount of credits to keep my financial aid. I also have had some struggles with college level math classes in the past because of the homework so I thought it would be a good idea to take a supplementary class because of the extensive math involved in understanding physics concepts. I think that using this as a class to study the material will make the homework easier and less of a ""chore"" to do. I also think that having a group of people from different sections learning from different professors is great for tackling a problem using different points of view. I have already used the knowledge of my peers in this SCI class to solve a problem I was not familiar with. It is also helpful for those who understand a concept to aid in teaching their peer what they know because if someone is able to explain something, they truly understand the concept behind it. ",Well I am a recent transfer student coming from Palm Desert Area and decided that I was coming to SFSU late (early-mid august) so I didn't have much time to pick my classes. I am using this as a class to maintain the proper amount of credits to keep my financial aid.
S19.SCI111.01.01,"Last semester, about the time when Math 199 class was almost ending, I heard that the next step, Physics 111, would be much more tough than the current class. Since Physics 111 class is one of the requirements to graduate in my major, Kinesiology, there is no option to avoid the class. Therefore, I was expecting that if there would be a supplemental class for that, I really should take the class. I think it was the second day of physics 111 class of this semester, [facilitator 1] came to our class and explained about SCI 111 class, in which I had a good impression of the class. He explained that the SCI class has a small community where students help and stimulate each other and work together. I was interested in studying in that kind of conditions because having study groups always helps me to learn contents that I did not fully understand or to notice my weakness. Also, it helps me to recognize how much I really understand or not. Furthermore, having someone to study with gives me more motivation than studying by myself. Because of these reasons I decided to take SCI 111 class during this semester. I hope I enjoy learning Physics. ",requirements to graduate
