Alma ID,Essay: Why I am here?,Perseverance
 F18.SI.111.04.03,"I am in the Physics 111 supplemental course because I had failed Physics 111 in the past spring semester. The reason of this is because I began to slack off towards the end of the semester because I was barely coasting by the course with a decent grade and as the course became harder and the longer I did not reach out for help. I ended up just giving up on passing the class. I am in SCI 111 so I can keep myself motivated to do better, improve, and gain a better understanding on what is going on in my Physics class. I am in SCI so I can meet people that have the same goal as me, which is to pass the class and understand it well enough to pass Physics 121. I would like to get to know more people in the class so that we can form a study group and not only study but complete homework together as well. I hope that through SCI I will also be able to grow as an individual. In this case I am referring to not being afraid of asking for help when I desperately need it. This is because math and science has usually always clicked with me and because physics does not click in my head automatically without lots of thinking I become stressed and worried that I will never be able to understand the material enough to pass the class. ","I am in the Physics 111 supplemental course because I had failed Physics 111 in the past spring semester. The reason of this is because I began to slack off towards the end of the semester because I was barely coasting by the course with a decent grade and as the course became harder and the longer I did not reach out for help. I ended up just giving up on passing the class. I am in SCI 111 so I can keep myself motivated to do better, improve, and gain a better understanding on what is going on in my Physics class."
 F18.SI.111.04.13,"Since I have no experience with physics whatsoever, I decided to take SCI 111. I didn’t have a chance to take it during high school and for some reason I feel left behind because of this. Physics is difficult for me and I need all the help that I can to fix my struggle with it. I have so much to study for physics 111 even though the school semester just started. I need help with even the most basic parts of physics. Hopefully, this class can help me overcome my problems and would prepare me for future exams. I mainly need to focus on the formulas that are used and my problem solving skills. I believe that SCI 111 will help me get there. I’ve only been into one class of SCI 111 so far and it is definitely helpful. I was guided to solve problems correctly and more efficiently after just one class. Since this experience, I feel that this class is useful and a privilege for those who are taking physics 111. I hope that this class will not only help me study on my exams, but to also help with homework problems. I tend to have a lot issues when it comes to the homework so hopefully taking this class would help me with that as well.","Physics is difficult for me and I need all the help that I can to fix my struggle with it. /-/ Since this experience, I feel that this class is useful and a privilege for those who are taking physics 111. "
 F18.SI.111.04.14,"Why am I here? Well I am a recent transfer student coming from Palm Desert Area and decided that I was coming to SFSU late (early-mid august) so I didn't have much time to pick my classes. I am using this as a class to maintain the proper amount of credits to keep my financial aid. I also have had some struggles with college level math classes in the past because of the homework so I thought it would be a good idea to take a supplementary class because of the extensive math involved in understanding physics concepts. I think that using this as a class to study the material will make the homework easier and less of a ""chore"" to do. I also think that having a group of people from different sections learning from different professors is great for tackling a problem using different points of view. I have already used the knowledge of my peers in this SCI class to solve a problem I was not familiar with. It is also helpful for those who understand a concept to aid in teaching their peer what they know because if someone is able to explain something, they truly understand the concept behind it. ",I also have had some struggles with college level math classes in the past because of the homework so I thought it would be a good idea to take a supplementary class because of the extensive math involved in understanding physics concepts.
S19.SCI111.01.06,"I joined SCI 111 because I was in SCI 230 and 240 and it did help me while I was both in BIOL 230 and 240. I was a bit lost going into biol 230, I wasn’t sure what I was getting into and seemed pretty intense, and in-your-face in the teaching aspect, so when hearing about SCI I knew I needed to sign up. I’m really glad I did. Being in that class and hearing the instructors focus in topics we were unsure about whether it was in the videos they posted on ilearn, or the kahoot games, or the practice tests we were given before an exam really helped me to have a better understanding of what was going on in the course. It was also great with how the class itself interacted, were if there was anything someone comprehended really well they would try to explain it in another way that we weren’t told in lecture, or even by the instructors, so there was a variety of ways to break down the information for whomever needed it. Though, I feel like the biggest help would have had to have been the study sessions the instructors graciously coordinated and lead for us right before we walked into an exam. They truly went above and beyond with helping us know that we were in fact ready to take on anything this course had to throw at us. I was looking for something similar with PHYS 111, so that’s why I’m here.  ",I was a bit lost going into biol 230 /-/ so when hearing about SCI I knew I needed to sign up
S19.SCI111.02.01,"I am here in this world to make an impact. I am here to make a change in the world. I want to make an impact in this world, even if it is a small dent. My life goal is to go to medical school and become a doctor and eventually do medical research. I want to do medical research on miscarriages. By me being here in school and pursuing a career in the medical field I feel like I can make a huge impact by reducing the numbers of miscarriages and change the statistics of it. However, that is not the only medical research I would do, I would love to do more than that, that’s why I am here. Not only am I making an impact on the medical field and women who are pregnant, but I am also changing the STEM norms. I am here to change the number of women in STEM, to change the number of Latina women in STEM. I am also here to make my parents proud. I am here to finish what I started and make all the money I invested in worth going to school. I am here to be happy, to make an impact, and to make a change during my life span.",I am here to finish what I started
S19.SCI111.02.04,"I am here to obtain a better understanding of basic physics concepts from the Physics 111. In doing so, I can get a better grade in my current physics 111 class and boost my GPA, making myself a more competitive medical school applicant. Further, with a solid foundation in physics, I can get a higher score on the MCAT exam. I hope that through the SCI course, I bring my grade in the parent class up to an A. With a strong foundation in physics, I can also hope to be a better physician in the future as I will have a more developed understanding of motion and how the body moves. A more comprehensive understanding of kinesiology through physics should prove to be useful throughout med school as well as beyond. Mostly, I am in this SCI class so that I can get the best mastery of Physics 111 topics and raise my GPA. Without ever having taken a physics class, I do have some anxiety about the new material and applying complex math to some of the material. I am confident that by studying and working with the SCI class that I may feel more confident in the topic. ","Without ever having taken a physics class, I do have some anxiety about the new material and applying complex math to some of the material. I am confident that by studying and working with the SCI class that I may feel more confident in the topic."
S19.SCI111.02.05,"I think I'm in this specific class to help with my understanding with physics. I almost always need extra help when it comes to mathematic heavy classes after high school. I made the mistake of not taking a sci class when I was in Calculus, and my grades suffered from it. I did not want to take any chances with physics so I made the decision to receive extra help. I'm also in this class to discover what I really want to do for the rest if my life. I'm not entirely sure if I want to remain in the science field and I'm hoping that I'll find a reason to either stay for leave as I explore more classes. I originally wanted to study zoology and become a zoologist, but my confidence and passion for the goal has diminished over the years. I'm hoping that I'll find a reason to stay in the science field, because I dont really know what else to do. Every other field of study that I show interest in is laughable in the eyes of everyone I know, and I kind of feel like I'm stuck in science whether I like it or not. Everything else feels out of reach, so hopefully, I'll find a reason to stay in science while enjoying what I do","I almost always need extra help when it comes to mathematic heavy classes after high school. I made the mistake of not taking a sci class when I was in Calculus, and my grades suffered from it. I did not want to take any chances with physics so I made the decision to receive extra help"
S19.SCI111.02.07,"I am here because I want to get a good grade if not an excellent one in my physics course. I’m here to be more involved and focused on concepts that I am having a difficult time understanding, I am also here to work with students with different learning abilities and take them in as learning objectives for myself. I am here to not feel intimidated because I am involved in a class that is saying “I need help” and that’s okay. I am here to learn from students and work with students in a classroom together to come to a better understanding of physics. My main goal for this class is to help me pass my class with a B or higher, I am taking this SI course to increase my ability to achieve this goal. I’m hoping to meet more people affiliated with my major and be more involved with students who are willing to learn and experience more on campus. I'm really looking forward to this SCI class mainly to have a better understanding of physics ultimately. I’m hoping by the end of this course I can take what I learned and use it in my next physics course. ","I’m here to be more involved and focused on concepts that I am having a difficult time understanding, /-/ I am here to not feel intimidated because I am involved in a class that is saying “I need help” and that’s okay."
S19.SCI111.02.09,"I decided to enroll into the physics supplemental course because I’ve had a history of struggling in my math classes. Since physics is basically another math class, I knew I would need to take extra steps to ensure my success. In the past I’ve had a packed schedule with classes and work, but this semester I allowed myself more room for school by cutting back my work hours. I originally planned on letting myself have time to attend office hours, but I realized that wouldn’t be enough.
When I heard the option to enroll in a supplemental course for physics, I knew I had to enroll for the extra help. Not only would I have more practice with physics problems, but I would be able to connect more with my fellow classmates. I figured that if I felt like I created a little community with the supplemental course, I would feel more comfortable with physics problems. With a community I would feel comfortable enough to ask questions without having to worry about sounding unintelligent.
Another big reason for enrolling was when I heard I wouldn’t have homework. I will have the opportunity to have the extra practice with physics problems without the stress of having to worry about my grade. I will be able to do the problems at my own pace and truly understand the steps to get the solution","I’ve had a history of struggling in my math classes. Since physics is basically another math class, I knew I would need to take extra steps to ensure my success."
SCI 111.01.02,"I am here because I want to have a successful future. I am here because I want to be able to give back to my family and my community. Most importantly, I am here because of my fiancee, Jordan. We were together for seven years since we were thirteen years old. He was my rock, my best friend, and my biggest supporter. Jordan passed away unexpectedly this year, on March 2nd, 2019. I took some time off school, and decided to come back the next semester (now) because school was always really important to Jordan, and i have been really focused on not letting him down. This year has been extremely long and challenging so far, and I am just trying to find my way back. I’ve been making new friends in my new classes, and creating new study groups in my science classes which has really been a large help for me so far this semester. I have also been looking for science clubs to join in order to meet other people from my major. Nevertheless, from the day he passed, everything I do and will do will be for him. So, i’m here to complete school and walk across that stage for the both of us.","This year has been extremely long and challenging so far, and I am just trying to find my way back."
SCI 111.01.03,"I am here because I know that physics is hard and I knew that taking a sci course would benefit me to pass the class. Physics is a course that I need to take for my major and although I want to say that I will miss physics, the truth is I won’t however, I know that in the long run having had the opportunity to gain knowledge of physics will help me in my future academic career. This far I have gained so much not just from physics but life as well. In a year I lost everything but now that I have come back, it almost feels as if I was meant to be here at this exact time in my life. No matter at what age I am in, I know that wherever I am in life it is because of my choices, God, and it is because I was meant to be there. That is why I am here, I am here for a reason that is beyond me and for the fact that I want to go to medical school and taking this class will help get there. Life works in mysterious ways and MANNN am I learning a whole lot. thank you.",I am here because I know that physics is hard and I knew that taking a sci course would benefit me to pass the class.
SCI 111.01.10,"I am here to get a better understanding of Physics 111. I heard that this class would help me get a better grasp of things and introduce me to new ways of studying and working in groups to solve problems. So far this class has helped me be able to communicate with others and teach others what I know and listen to what they know. Being able to solve problems together and be able to understand the material that we are learning together helps me feel better about how I am doing. Even though we all are in different classes learning somewhat different materials, it still all interconnect with each other. I’m in this class because I know I struggle with math a little bit and it doesn’t help that we only have an hour class when I’m used to learning things in a longer period of time. I am here so that I can get a better grade on my tests and quizzes. And if I’m stuck on any homework questions I can ask my colleagues or assistants in the class for some clarification. I’m basically just here to get a better grade in the class, hopefully I can pass the class. This is my first time learning physics or working with these concepts so I need the most help I can get.",I heard that this class would help me get a better grasp of things and introduce me to new ways of studying and working in groups to solve problems. /-/ I’m in this class because I know I struggle with math a little bit and it doesn’t help that we only have an hour class when I’m used to learning things in a longer period of time.
SCI 111.01.11,"Why am I here? Why am I attending San Francisco State University? The answer to that is obvious which is to obtain a higher education so that I can pursue a career in the field of medicine. The field of medicine is not my dream job, however, having been able to work in the field as a medical assisting I did enjoy working in the healthcare field. I also know that obtaining a high paying career and actually doing something you enjoy a great path to success. Why am I in this supplementary instruction class? Well, in order for me to achieve the above mentioned goal, I must first get through these science and mathematics classes. I know for a fact that I am not very skillful at doing mathematics or anything quantitative. I could probably take on Physics without take a supplementary class, but taking physics along with chemistry, calculus, and biology during the same semester is rather risky. I would rather ensure I succeed in all my courses this semester so that I can graduate and get out fast. I have failed major courses in the past and I got discouraged and dropped out. Three years later, I came back to this school to finish what I have started and I am not stopping and definitely do not plan to repeat any of my major required courses.","I have failed major courses in the past and I got discouraged and dropped out. Three years later, I came back to this school to finish what I have started and I am not stopping and definitely do not plan to repeat any of my major required courses."
SCI 111.01.12,"I am taking the physics SCI class because I do not understand physics… for the most part. Right now, I am really stuck on vectors and calculating vectors. I can understand Xu’s lectures just fine and it makes sense when he walks us through our problems and worksheets, but when it comes to our homework, I end up getting less than about 60% and it does not teach you how to do the problems when you get them wrong. I am really hoping SCI 111 can help me understand my homework so I can do well in the class. The homework seriously causes me so much stress and it’s only the fourth week of the semester. I need physics for my major and I have never really been good at it. All of unit one and unit two are where I am struggling. Unfortunately, I joined the SCI class as we were beginning to go over unit three, so I am hoping there will be someone I can ask for assistance with the other units. I have tried making a couple study groups, but it has not been able to help me yet. Most people end up bailing so I’m hoping Sci 111 will provide the assistance I need.",I am taking the physics SCI class because I do not understand physics… for the most part. /-/ Most people end up bailing so I’m hoping Sci 111 will provide the assistance I need.
SCI 111.02.03,I am here because I want to try to do better in my Physics 111 class. I took physics in high school and I can definitely say that it was my least favorite subject so I wanted to take this class in case I am having trouble. I took SCI 115 last semester for my Chem 115 and it helped me a lot when it came to making sure that I knew the material that we were learning in the class. I decided to take this class because I knew that I was definitely going to struggle and I really do not want to fail my physics class. I have always been a hardworking student but I do struggle even though I am a STEM major. I am currently a Pre-Chemistry major but I am trying to change my major to Biochemistry and the physics 111 class is a requirement for Biochemistry so I really cannot fail the class that way I can make sure that I am able to change my major. I overall want to take this class to make sure that I do well in physics 111 the way that it helped me do well in my chem 115 class.,I decided to take this class because I knew that I was definitely going to struggle and I really do not want to fail my physics class. I have always been a hardworking student but I do struggle even though I am a STEM major. /-/ I overall want to take this class to make sure that I do well in physics 111 the way that it helped me do well in my chem 115 class.
SCI 111.02.05,"The reason I am in this SCI course is to support and solidify my knowledge in physics so that I can have a full understanding of the material going into a test. Having practice problems and discussions with fellow classmates about class material helps me to review class material that I may miss or not understand fully. I typically struggle with science courses, especially physical science courses with alot of conceptual material so the benefit of asking questions that I have for physics in a small group environment gives me more confidence in general. Another reason that I am in the SCI course is to get a class unit so that I may be eligible for competition in my sport. It is really beneficial that this course functions as a tutoring session and provides units as credit for spending time in the class. As an athlete, having time to study can be hard to manage sometimes so going to SCI once a week acts as a review for a week. I find it super helpful that SFSU provides resources for students to have extra practice and aid to solidify knowledge of certain classes . These resources give students many options to excel in their school work.","I typically struggle with science courses, especially physical science courses with alot of conceptual material so the benefit of asking questions that I have for physics in a small group environment gives me more confidence in general "
SCI 111.02.07,"Why am I here? I am in this class because I believe the extra help will be good for me. Going into this semester I thought I would do really well in Physics and struggle in Calculus. When this semester began, I quickly realized that it was quite the opposite. I found that I was really good at Calculus and I was struggling to understand Physics. I also realized that taking Physics and Calculus at the same time was a terrible idea since they teach about the same topics, but the way you work the problems and the answers are completely different. After a couple weeks into the semester, I thought I would give a SCI class a try. I thought it couldn't hurt anything and it would just be an extra study session that I would get college credit for. I am also here because I plan on majoring in BIO with a concentration in Zoology. For BIO majors, we need to take Physics 111 and then if we want to, we can build off of it and proceed to the next level of Physics. Since I will need to perhaps take another class of Physics after this semester, I wanted to fully understand the material as opposed to just completing the material so I can just complete the class. Putting this all together, I am here because I thought SCI would be a great way to help me fully understand Physics.","When this semester began, I quickly realized that it was quite the opposite. I found that I was really good at Calculus and I was struggling to understand Physics./-/ After a couple weeks into the semester, I thought I would give a SCI class a try."
F18.PHYS.112.01.01,"Why am I here? I am in this physics class for two main reason. The first one is that it is required by my major, Zoology, to go through physics one and two. Part of me wishes this wasn’t the case because my major is all about the study of animals and apart from the physics of their molecules in the bodies of the animals and apart from that physics has no correlation. But at the same time, I am very interested in physics as a whole. I love the fact that physics breaks down the every day forces that we take for granted every day. I am excited to study what makes the physical world work and can’t wait for this class to shed some insight into how the physical world around me. Physics for a while seemed daunting and kind of boring too, but now that I am in the class I am excited to test and challenge myself with what this class has in store. Hopefully by the end of this class I will have a new found knowledge and passion for this subject and be able to see how the universe works in a little more detail.  ","Physics for a while seemed daunting and kind of boring too, but now that I am in the class I am excited to test and challenge myself with what this class has in store."
F18.PHYS.112.01.02,"I am here at San Francisco State University because I want a good education so that I can become a physical therapist in the future. It is something that I have aspired to be for a while now and achieving it would be life changing for me. I am here because SF State is close to hometown in San Jose. I wanted to somewhere not too far and not too close. SF State has a great Kinesiology department for me to take classes for my career, even though it is severely impacted. I love helping people, so that is why I wanted to become a physical therapist. The teachers here are very nice and caring, so learning from them is a privilege. They have provided me with great advice and shared what they have done in the past to get to where they are today. Even though some classes can be very difficult, they make learning fun and interesting. I usually am only interested in the courses that relate to my major because those are what are important to me. I hope to graduate from SF State soon and quickly become a physical therapist. I will try my best and work very hard. ","Even though some classes can be very difficult, they make learning fun and interesting. I usually am only interested in the courses that relate to my major because those are what are important to me. I hope to graduate from SF State soon and quickly become a physical therapist. I will try my best and work very hard."
F18.PHYS.112.01.04,"So far, I see this class as people who have a similar goal to get the job done, and in a hard-working atmosphere, it makes it a lot easier. If I had classmates that didn’t really care about the assignment at hand and did something else the entire time, then it would be very difficult for me to work as hard as I do on the various experiments with other people. Now for the question of why I’m here, if you want a clear and concise answer, it’s most likely due to the fact that it’s a part of the GE requirement for the school and if i don’t complete it, then I won’t be able to graduate with a bachelor’s degree in Biology. Another reason would be that I can see how my lab partners work on the assignment, and that in turn motivates me to work harder than them to get it done as fast as I can while still following the requirements of the experiment. The class is much easier than I expected it to be, however it’s only the first month of the class, so it’s bound to get harder sometime soon. However, I believe that I have the idea of how the class operates, so I’m sure I’ll be fine and pass the class. I will succeed the class and get through all of the challenges that it throws at me. ",I will succeed the class and get through all of the challenges that it throws at me. 
F18.PHYS.112.01.05,"When asked the question of why I am here I think about my parents and their experience and message to me. My mom and my dad stopped going to school for a period of time before they had me and once they did have me, they took turns going back to college while working in between. During this time, they were not able to spend time with me and would have my grandparents take care of me. They were stressed out with work, school, and me. When I started high school my parents talked to me about the struggle with balancing our family along with school and work. My mom and dad cemented in me that the only way to avoid such a hectic beginning to life was to go to college right after high school, since that is what they wished they would have done. I see why they want me to go to school and I want to make them proud. I found my calling in the sciences and am now pursuing a career in child psychiatry am here because I want to not only better my own life, but better the lives of others to the best of my ability. ","I know it is a lot of work that lies ahead of me, but I also know that I will be doing myself, as well as others, a favor by working hard and going to school."
F18.PHYS.112.01.06,"I am in physics 112 because I need it for my major, environmental science.  I was not looking forward to this class because I thought it would be quite difficult and I would struggle a lot.  I am already four weeks into the class and it is not as bad as I thought it would be.  I enjoying being in class when I actually understand the material, however, when I do not understand a topic, the class becomes quite frustrating.  I try my best to go to my professor’s office hours and study material I did not understand in lecture, but sometimes I still do not understand.  If I did not need this class for my major, I would not have taken it.  I am glad I am taking this course because I think it will help me with my future career in environmental science.  Environmental science encompasses a variety of science including physics, chemistry, biology, ecology and geography; so physics plays a vital role in my major.  I attend every class so I can get the most out of my education and learn the vital facts about physics.  I enjoy the lecture more than the lab because I understand it more.  If the labs were a little clearer, I feel like I would enjoy coming to class more too. ","I was not looking forward to this class because I thought it would be quite difficult and I would struggle a lot. I am already four weeks into the class and it is not as bad as I thought it would be. I enjoying being in class when I actually understand the material, however, when I do not understand a topic, the class becomes quite frustrating. I try my best to go to my professor’s office hours and study material I did not understand in lecture, but sometimes I still do not understand. /-/ I attend every class so I can get the most out of my education and learn the vital facts about physics."
F18.PHYS.112.01.07,"Im am currently a student at San Francisco State University, and I am in one of many physcis classes offered in SFSU. Alike many I am here to expand my knowledge about specific topics. I am not the smartest student in the university, and often, I find many topics difficult and are harder to to learn than others, but I am here to take on these challenges, and expand the limitations that are in my mindset. The standard I set for myself is very low, but i hope to change that. With the tools that obtain with these classes, I hope to take these skills into a practical setting. For example, applying to it to bigger questions like how to the world works the way it does. This can then give me an opportunity to take the next step and find my purpose and be successful in life. ","I am not the smartest student in the university, and often, I find many topics difficult and are harder to to learn than others, but I am here to take on these challenges, and expand the limitations that are in my mindset."
F18.PHYS.112.01.10,"I have attended the physics lab class this semester. There are some factor why I enrolled this class. Beside getting the credit and meeting the GE requirement, I have the interest in it.To be more detail, Last semester, I have finished the general physics class and with a decent performance but what I learned just are some theoretical knowledge. Now I want to have a try to touch with practice so in my mind there exists a motivation of taking part in the physics lab class. Of course, because of my proficiency of theoretical knowledge, I think this class is relatively easy for me and I can do it well. This is a challenging class that test my cooperation and communication ability. During this class, I work with my partner. We make and analyze some datas together, which is a joy in the class, and can build up my oral communication ability. It’s the most important that, I think my practice ability also have a increase to a degree. I never feel repentant to enrolling the lab class. These just are the reasons why I’m in here. I think it’s vital to feel a class interesting. In the future, I hope that I can still do well and get a great grade.",This is a challenging class that test my cooperation and communication ability.
F18.PHYS.112.01.12,"I am a first generation college student and I am here to prepare myself for my future in teaching special education. I came here from Texas in order to experience life in a different place and try something new. My reason for San Francisco State University is that it was originally started as a teacher’s college and although it isn’t one anymore, it still has a wonderful teaching program. I am taking Physics as a freshman because coming from out of state, college is quite expensive, so I want to get my GE classes out of the way as quickly as possible so I can eventually graduate as quickly as possible. Because I am a freshman, I didn’t realize that I needed to be in a lab along with my physics class, so it was a bit of a struggle to get into it. Luckily I got added to this lab just before the last day that I was allowed to get into a lab to stay in class. I was excited coming into this semester to take physics because I am a very logical thinker and I feel physics really falls in line with that line of thinking. In my junior year of high school I had been excited to take physics, but we had a teacher that didn’t teach and just asked us to cheat on the tests so that he didn’t look like a bad teacher, so I’m excited to get a real education on physics.","In my junior year of high school I had been excited to take physics, but we had a teacher that didn’t teach and just asked us to cheat on the tests so that he didn’t look like a bad teacher, so I’m excited to get a real education on physics."
