sentence,phrase,label
but also because science has always been my favorite subject and so taking a physics lab interested me a lot more than other labs that were available.,"['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",0
"i am here at college because the career choices i want to take, require me to to get a degree in biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.","['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",1
"and to be honest, i am here because there is nothing else for me to do besides work, especially because of the whole pandemic situation that is going on, this helps to further progress my study, as well as help occupy my time.","['. I am here at college because the career choices I want to take, require me to to get a degree in Biology and also, more importantly, because my parents have sacrificed a lot to make it in this country as far as they could have and they would want me to be better off than they are.']",0
jose castillo reflection honestly im only here because is part of my requirement for my major.,['Honestly Im only here because is part of my requirement for my major.'],1
also part of it is for my mom im only here because im just trying to make her proud and also make myself proud that i can get a degree.,['Honestly Im only here because is part of my requirement for my major.'],0
not going to lie sometimes i dont feel like i can just because most of the classes are hard and especially doing every class online makes it harder for me.,['Honestly Im only here because is part of my requirement for my major.'],0
honestly dont even know how long im going to be here it really depends how much effort in time i actually put in all my classes.,['Honestly Im only here because is part of my requirement for my major.'],0
hopefully im able to graduated in 4 years just because i do want to work for my master degree in the future i feel like its going to benefit me and especially for my mom and family.,['Honestly Im only here because is part of my requirement for my major.'],1
overall taking this class and so many other labs its not bad i mean i dont usually do good but it does help you learned new things that you havent before and thats something im trying to expend my mindset and what i can get out of in order to help me in the long run.,['Honestly Im only here because is part of my requirement for my major.'],0
i am here because i am a prekinesiology major and it is a prerequisite for my major.,"['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0
i am a prekinesiology major hopefully a kinesiology major next fall because i hope to be a physical therapist in the near future.,"['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",1
i am taking this class because i am also in physics lecture and intriguing and it seemed interesting.,"['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0
i hope to get knowledge from this class that will better prepare myself for the kinesiology courses i will be needing to take next school year.,"['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0
"i am trying to get all my general education courses as well as a few prerequisite courses because i am also interested in getting a business minor, so i need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.","['I am here because I am a prekinesiology major and it is a prerequisite for my major. I am a prekinesiology major hopefully a kinesiology major next fall because I hope to be a physical therapist in the near future. I am taking this class because I am also in physics lecture and intriguing and it seemed interesting. I hope to get knowledge from this class that will better prepare myself for the kinesiology courses I will be needing to take next school year. I am trying to get all my general education courses as well as a few prerequisite courses because I am also interested in getting a business minor, so I need to try to get everything out of the way as soon as possible to be able to graduate on time and hopefully get into a graduate physical therapy school.']",0
estefan dinarte 9102020 phys 102 why am i here i am here because i would like to fu rther my knowledge and education.,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0
my major is kinesiology and physics is a pre requisite for m y end goal of be coming a physical therapist.,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",1
i also enjoy the team work an d bondi ng aspect s of lab because it is a great way to make new friends an d connections.,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0
"physics will teach me interesting and useful knowledge like motion and behavior through space and time , and the related entities of energy and force.","['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0
being here is also important for my growth and development.,"['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0
"without educati on and a diploma to show for it, it is difficult to find a stable job and have that financial freedom.","['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0
"all in all, i am here because it is a pre requisite but i also enjo y the ext ra knowledge to further enhance my brain.","['My major is Kinesiology and Physics is a pre requisite for m y end goal of be coming a Physical Therapist. All in all, I am here because it is a pre requisite but I also enjo y the ext ra knowledge to further enhance my brain.']",0
i think the reason that i am here is to complete my physics classes.,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
"i took the lecture last semester and i did just fine in that class, although it sucked that i had to finish that class online.","['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
that is what screwed my grade up last minute.,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
other than that i dont know why i am here other than that.,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
"i do like physics, at least basic physics, and if i were to pursue a higher level of physics with trigonometry and things like that, my brain would honestly explode.","['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
but taking this level of physics isnt too bad.,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
im excited to see what is in store for this lab.,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
i should be able to apply what i learned from last semester into this class and maybe help some people out if they are stuck.,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
5 minutes to talk about why i think i am here..,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
"uhh, oh i would like to be able to apply the labs into real life especially because i think this lab would help me in my major which is kinesiology.","['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",1
i think being able to apply that into the field of kinesiology would be huge because we study range of motion and the movements of the body.,"['Uhh, OH I would like to be able to apply the labs into real life especially because I think this lab would help me in my major which is Kinesiology.']",0
why am i here?,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0
i am here in this class because it is a pre requisite for my major.,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0
i guess in the grand scheme of things i am just here on this by chance.,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0
i think i am just the sum of all these random chances and probabilities.,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0
i also think i am here based on my past experiences.,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],1
if i hadnt taken one specic class in high school by chance then i would not be pursuing the career i am right now.,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0
i also think i would not be here at this school to even be taking this class in the rst place.,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0
i think i am here from a combination of chances and choices.,['I am here in this class because it is a pre requisite for my major. I also think I am here based on my past experiences. If I hadnt taken one specic class in high school by chance then I would not be pursuing the career I am right now. I also think I would not be here at this school to even be taking this class in the rst place.'],0
milka abdosh why am i here?,['Taking this physics class is the building block for my success because I need this class to graduate.'],0
i believe that i am here because i want to be successful.,['Taking this physics class is the building block for my success because I need this class to graduate.'],0
i want to be able to support my parents and have a career.,['Taking this physics class is the building block for my success because I need this class to graduate.'],0
most people wont want to take care of their parents but i believe i owe it to them to be as money motivated and goal striving as possible.,['Taking this physics class is the building block for my success because I need this class to graduate.'],1
taking this physics class is the building block for my success because i need this class to graduate.,['Taking this physics class is the building block for my success because I need this class to graduate.'],1
i have been in school for a while and i am looking forward to be able to start my career and travel the world (once the pandemic is over).,['Taking this physics class is the building block for my success because I need this class to graduate.'],0
why am i here?,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0
i am where i am due making tons of different decisions that all made sense at the time.,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0
"feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since i didnt have real academic interests, choosing to start in community college to do general education classes.","['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0
"i used to think that there wasnt a real place for me in school and barely skated by in it, and now im making up for where i was before.","['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0
at this moment ive found things that interest me.,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0
through learning about the body and how to get stronger ive also found reasons to be more connected to this world and other people.,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",0
by listening to myself more ive been able to find a path to move forward on.,"['Feeding bad habits starting in middle school through high school, deciding to postpone getting a degree after highschool since I didnt have real academic interests, choosing to start in community college to do general education classes. I used to think that there wasnt a real place for me in school and barely skated by in it, and now Im making up for where I was before. At this moment Ive found things that interest me. Through learning about the body and how to get stronger Ive also found reasons to be more connected to this world and other people. By listening to myself more Ive been able to find a path to move forward on.']",1
week 3 reflection: why am i here?,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0
college is a place where you can further your knowledge and learn new skills.,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0
im here because i want to become either a physical therapist or an occupational therapist.,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0
"in order to get there, i need to graduate from college with a bachelors degree.","['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0
"as a kinesiology major, i need to fulfill many prerequisites and physics is just one of them.","['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0
physics is one of the basic sciences i need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.,"['College is a place where you can further your knowledge and learn new skills. Im here because I want to become either a physical therapist or an occupational therapist. In order to get there, I need to graduate from college with a bachelors degree. As a kinesiology major, I need to fulfill many prerequisites and physics is just one of them. Physics is one of the basic sciences I need to learn about since it is useful in understanding how much force a patient is able to exert or in measuring a range of motion.']",0
patrick bialy reflection 1 why am i here?,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0
i am in this physics because it is a class i have to take to satisfy my major requirements.,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",1
i am currently a kinesiology major that recently switched from prenursing.,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0
"i am pursuing this major because i have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor.","['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",1
"during my countless hours volunteering at hospitals to the countless hours being admitted, i feel like i would be comfortable to pursue a career.","['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0
i is a hard goal to achieve but hopefully my passion can drive me to my destination.,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0
"i am currently at sf state, in the beautiful city of san francisco.","['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0
i chose this school because of the city and the constant chilly weather.,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0
"on my free time, i am a pretty avid photographer and the city is perfect for just that.","['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0
this is why i am here.,"['I am in this physics because it is a class I have to take to satisfy my major requirements. I am currently a Kinesiology major that recently switched from prenursing. I am pursuing this major because I have had a lot of experience with the healthcare industry, my mom being a nurse and my sister a doctor. During my countless hours volunteering at hospitals to the countless hours being admitted, I feel like I would be comfortable to pursue a career.']",0
why am i here?,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
i'm currently enrolled in both physics lecture and lab.,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
i'm here in physics lab because i need to take this lab for my requirement for kinesiology .,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",1
"since this is a broad paper about why we are here, i'm not sure if were supposed to be talking about here as in physics lab or here as in what our purpose in this world is.","[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
"but since i'm not sure, ill talk about both.","[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
as i mentioned earlier im here because i need to take physics in as a course for my kinesiology degree.,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
"now talking about in general, i feel like my purpose in this world is to make a positive impact on people s lives.","[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
one of the reasons why i feel like im here in this world is to spread love and positivity .,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
i feel like im here to make the people i love and the people around me live their life to the fullest.,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
another reason why i feel like im here is to further my education and career .,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
to keep striving at being a better person each and every day .,"[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
"overall, i feel like i have many reasons and ways to answer why am i here but those are just a few to mention.","[""I'm currently enrolled in both physics lecture and lab. I'm here in physics lab because I need to take this lab for my requirement for Kinesiology As I mentioned earlier Im here because I need to take physics in as a course for my Kinesiology degree.""]",0
austin noriega 9102020 phys 102 reflection 1: why am i here?,"['I think firstly that I had a good time learning physics in high school, so I already had an interest in this so I can also complete my requirements to graduate. But for San Francisco State as a whole, the reason that I applied to attend was that I needed something different from the consistencies and the same things that I had left in San Jose. Dorming at San Francisco gave me an opportunity to explore more of the things around me, and myself. I went to college so I get an education about the things that I will need for my future careers inside of the business field.']",0
i am here for a multitude of reasons.,"['I think firstly that I had a good time learning physics in high school, so I already had an interest in this so I can also complete my requirements to graduate. But for San Francisco State as a whole, the reason that I applied to attend was that I needed something different from the consistencies and the same things that I had left in San Jose. Dorming at San Francisco gave me an opportunity to explore more of the things around me, and myself. I went to college so I get an education about the things that I will need for my future careers inside of the business field.']",0
